PC1,Result
-0.03779572590581137,0-1
0.2250791211499118,1-0
0.320866950223721,0-1
0.04391425320733178,1-0
0.009543494208102521,1-0
0.11584765482810067,1-0
0.023415277959941583,0-1
-0.08912176745637179,1-0
-0.23533398866939415,0-1
-0.12728464891036861,1-0
-0.264176924704578,1-0
-0.04252464926276578,1-0
-0.17597236839739383,1-0
-0.10322312422356972,0-1
-0.1951496594020129,0-1
0.04002269205853948,1-0
0.3768054574731624,0-1
0.1696656431000716,1-0
0.015095462151107797,0-1
0.2532220413573095,1-0
-0.03870027531194831,0-1
-0.17230608740952502,0-1
0.13747584584580963,1-0
0.05001183113699248,1-0
0.17846004923209147,0-1
0.03647728533759331,1/2-1/2
-0.11515462585630543,0-1
0.5181648248732938,0-1
-0.1427201581999319,0-1
-0.006243890572000033,0-1
-0.02984819262676075,1-0
0.4205299148271736,0-1
-0.1581932849060168,0-1
-0.5584701435796049,1-0
0.2975405251967326,0-1
0.15733166100971796,1-0
0.10626593014293007,0-1
-0.18342631122815445,1-0
0.251968479987165,1-0
0.01194265214018686,1-0
-0.09081734536876485,0-1
-0.29149746494056417,1-0
-0.4103148727838967,1-0
-0.20580499649989104,0-1
0.14809045294740852,1-0
-0.11517934259090234,1-0
-0.11208475319732147,0-1
0.1368455864442526,1-0
-0.13839973066156552,1-0
-0.013232097469012105,1-0
-0.4054892513295363,1-0
0.008481950105240221,0-1
-0.2808976499045116,1-0
0.1228457951709565,1-0
-0.1363737072586848,1-0
-0.09286051149010821,1-0
-0.09119605561698496,1-0
-0.1449386500752653,0-1
-0.044982551536352666,1-0
-0.36379586658683605,1-0
-0.24164207989461883,1-0
-0.15727101823935707,0-1
-0.4844399255319482,0-1
0.006622888109239833,1-0
-0.13856262057577173,1-0
0.26801952705797716,1-0
-0.29876424633732185,0-1
-0.1976306252292539,1-0
0.12124984055094612,0-1
-0.23129003681750648,0-1
0.06599282469687517,0-1
-0.016576308164050424,1-0
0.07224342118086702,1-0
0.1497408590544861,1-0
-0.5277633289698226,0-1
0.30369342902664476,1-0
0.14249865949221885,0-1
-0.09065249919854523,1-0
