PC1,Result
-0.08912176745637179,1-0
-0.23533398866939415,0-1
-0.264176924704578,1-0
-0.1951496594020129,0-1
0.2532220413573095,1-0
0.17846004923209147,0-1
-0.11515462585630543,0-1
0.5181648248732938,0-1
-0.006243890572000033,0-1
0.4205299148271736,0-1
-0.1581932849060168,0-1
-0.4103148727838967,1-0
0.14809045294740852,1-0
0.1368455864442526,1-0
-0.2808976499045116,1-0
-0.09119605561698496,1-0
0.26801952705797716,1-0
0.14249865949221885,0-1
-0.3405840274616404,1-0
0.09714651168218558,1-0
-0.21508441893454633,0-1
0.24130945855389208,0-1
-0.023751909124897552,0-1
-0.10035067039609669,0-1
-0.052425720485065774,1-0
0.4733282408631053,0-1
0.12984551824951718,1-0
-0.06608490618256813,0-1
0.029189468755210335,1-0
0.18710787579628796,0-1
-0.1750152249108311,0-1
0.05387381372753852,1-0
0.3160317180259279,0-1
-0.1321463739536144,0-1
0.39955936731057606,0-1
0.4116238535611839,1-0
-0.2558782947027469,1-0
-0.14414950459336118,0-1
0.3912543407808654,0-1
-0.05503208813725147,0-1
-0.23769739536839152,0-1
-0.30938679943819386,1-0
0.04929598664588197,0-1
0.06247874702732048,1-0
-0.022034817130244022,1-0
-0.01644859494087081,0-1
-0.03488341649524318,0-1
-0.10301011938461302,1-0
-0.5261904094993322,1-0
0.2707873356691247,1-0
-0.15411632241766104,0-1
0.20836189847343822,1/2-1/2
0.44579058865173116,1-0
0.06284188365581211,1-0
0.39999177868223834,0-1
-0.2811896515967681,0-1
-0.024980734133104643,1-0
-0.019778775497204082,0-1
0.09621643391635881,0-1
-0.3193471671302933,0-1
-0.0005242217090367651,0-1
-0.29706894309586546,0-1
-0.1646360948188652,0-1
-0.25591750363176646,1-0
-0.2379204533791579,0-1
0.1558588440233909,1-0
0.3019913813547105,0-1
0.27074131019761205,0-1
0.16309915498845984,0-1
-0.32110425239457163,0-1
-0.44994916988292705,1-0
0.29738003076297026,1-0
0.2657184261059645,0-1
-0.3356913677639059,0-1
0.2907340041133325,0-1
-0.021893328811955493,0-1
-0.019464752839441823,0-1
0.28774707687040924,0-1
-0.25925074149675964,0-1
-0.12734850691516997,1-0
-0.34694547190770936,1-0
-0.29399383941651636,0-1
-0.24042551170068405,0-1
-0.42119158352104136,1-0
0.26346130583404215,1-0
0.36737812457462804,1-0
-0.07154802192881504,0-1
-0.5403160369618258,1-0
0.22781895788945128,1-0
0.29798816228552527,0-1
0.21118103193740134,1-0
0.2666530189124888,1-0
0.13783852320500667,0-1
-0.2062373346398918,0-1
-0.11461860419931891,1-0
0.21528085903141359,1-0
0.21219354935568957,0-1
-0.23379998104322286,1-0
-0.3688240909812445,0-1
0.08146380497574235,0-1
0.043774933730024945,0-1
-0.13374947978872254,1-0
0.34257240123855504,1-0
0.00875679223811654,1-0
-0.159211100585962,1-0
-0.29191851353847875,1/2-1/2
-0.13237189231721647,1-0
0.31088702470537466,0-1
0.3703927105880417,1-0
-0.2614366679504252,0-1
-0.16275716913512417,1-0
-0.594482462655744,1-0
0.03690078023384935,1-0
-0.4201488156902438,0-1
-0.529064138127262,1-0
0.04389538964911133,1-0
-0.1697794740842803,1-0
-0.38503102570576586,1-0
0.2586314871706711,0-1
0.3102596904987941,1-0
0.10987085830636079,0-1
0.08086386643193255,1-0
-0.3013518208765253,0-1
0.09356346513095393,0-1
0.4478590460497319,1-0
