PC1,PC2,Result
0.2250791211499119,-0.05248057058150592,1-0
0.04391425320733189,-0.08764748988159601,1-0
0.009543494208102632,0.07832192984232447,1-0
0.015095462151107908,0.15816625425063183,0-1
0.13747584584580963,-0.13112783574787595,1-0
-0.5584701435796049,-0.01771338356742652,1-0
0.2975405251967329,-0.03997495377271021,0-1
-0.18342631122815434,0.13867493978769999,1-0
-0.11517934259090223,0.09130261202472334,1-0
-0.4054892513295361,-0.08079190321248181,1-0
0.008481950105240332,-0.13104190906569246,0-1
-0.14493865007526519,-0.040527332258013735,0-1
-0.29876424633732174,-0.024610859302012622,0-1
-0.1976306252292538,-0.08242412232851296,1-0
-0.016576308164050202,-0.12851911670501406,1-0
-0.09065249919854512,0.08833813077793556,1-0
0.4330218249094586,-0.11551265571503619,1-0
-0.09252255365193107,0.0008299163937174614,0-1
0.3515877921857853,0.0348734918461954,1-0
-0.09747510677528926,-0.11323135353219704,1-0
0.019394392448131126,0.0905552576434758,1-0
-0.13918889577081017,0.019457519713021287,1-0
0.24392221188341012,0.046694787757760065,0-1
-0.05364809536107218,-0.07737170609634735,1-0
-0.00816010539700518,-0.014913841349087464,1-0
0.10021993210968105,-0.1474330524116678,1-0
0.15032758898112364,0.23193580196399496,1/2-1/2
0.830853294834105,-0.021100227854070966,0-1
0.22249910378592563,-0.011783823300121926,0-1
0.2568397577163224,-0.08289910616081855,0-1
-0.29328530192775015,0.014967859428921149,0-1
0.3887215684177505,-0.022891517469224562,1-0
-0.22514358311979488,0.021845376941983408,0-1
0.24645445174556913,0.019421986785488704,0-1
-0.04096194069547887,-0.017971820901778957,0-1
-0.07424907254037139,-0.047920689229759825,0-1
-0.19797632484100558,-0.1095482820298458,1-0
-0.4963541478793379,-0.029971935032917063,1-0
-0.050837300626508375,0.01740875800304051,0-1
0.05067162106532164,0.02639950781831829,0-1
0.2765967791735049,0.26594523156498573,1/2-1/2
-0.4303338945740524,0.043550440226764076,0-1
0.3761856384006945,0.24225668849199986,0-1
0.13225539396805053,0.18654676533754902,1/2-1/2
-0.1329044562782704,0.02547546980813764,0-1
0.3408913155205846,-0.08443701692521693,0-1
0.20570563529634123,0.13164078209052885,1/2-1/2
0.11323139897512269,-0.11494890895836629,1-0
-0.2515286168813916,-0.00930252502128634,1-0
0.27619604196940895,0.016419233022941515,0-1
0.08431216742857661,0.12185926122190918,1-0
-0.21361855659476547,-0.09440770790709264,0-1
0.19289838251078617,0.13336039473515907,1-0
-0.3112780905164804,0.010505149523879764,0-1
-0.046205245910823534,0.10463291272293523,1/2-1/2
0.06024521403321481,0.03225305200100109,1-0
-0.1459999559754489,0.10779369986350845,1-0
-0.221264160726086,-0.06626550434273959,0-1
0.06591445208388746,-0.1910384982355282,0-1
-0.13302684882602978,-0.08248102129702747,0-1
0.15069587852759503,-0.1055062254736733,0-1
-0.10616266877909131,-0.01791794022213246,0-1
-0.09414648932731995,0.0012133210061942845,1-0
0.07340781642863548,-0.02314686109128307,1-0
-0.3824905143554994,-0.07668994402446774,1-0
0.6643630187340346,0.20510508309053474,1/2-1/2
0.03348414017477852,-0.11359981400533069,0-1
-0.20591637417650066,-0.07474226864057912,1-0
-0.2022919526416912,0.10696841642943594,0-1
0.04191693074556668,0.04103675998872,1-0
0.08867661935491444,0.21186083237721595,1-0
-0.15451169091486183,-0.10045576852220284,1-0
0.003034175766413072,-0.07652719666486338,1-0
0.5242997143579824,0.01674228648359838,0-1
-0.23006738448414,0.08950000944548006,1-0
-0.3727258374155297,-0.03009668986121515,0-1
-0.1284280625768326,-0.21118106926671687,0-1
0.4925970798335737,-0.07444122273110805,1-0
-0.14863818796640516,-0.03383453491405142,0-1
0.022413288156897915,0.01590982640943467,1-0
0.3985186110068899,-0.04929696889875701,1-0
0.19499811368908038,-0.24636201360129065,0-1
0.30317802741139377,0.047570153275079324,1-0
0.15662651467771582,0.13009768870842456,0-1
-0.490699370832531,0.05654376165141317,0-1
0.04423765718264139,0.04083176992669213,1-0
-0.30916912976166283,0.17873163507072817,1-0
-0.18826322501102422,-0.06253968436195621,0-1
0.2299030922097527,0.2572458507335784,1-0
0.06324696980994227,-0.029348785789657883,0-1
0.21419135628693664,0.009291973287307576,0-1
0.35136775389577424,-0.13150672548687162,0-1
0.1918484054073698,0.0653535442087623,0-1
0.04037808969987966,0.08850876865652155,0-1
0.4182632482666868,-0.18162341452889694,0-1
0.39356766735659354,-0.0650447156228853,1-0
-0.5173576580009294,-0.10933898582448229,1-0
-0.36681262144123133,-0.017286630931861266,0-1
-0.06069720986772198,-0.03653991657287026,0-1
-0.1903772261974792,0.018108195913691033,0-1
-0.2855992228437467,0.007616686132641076,1-0
0.13309500673050334,0.22687415010234982,1/2-1/2
0.21485122111370414,-0.022695742471089686,0-1
-0.024611838854015522,0.06735173140121681,0-1
0.0336424713404061,0.12948808318673408,0-1
0.040055515310226886,-0.0334578643617329,1-0
0.01213751330666013,-0.08424556686507689,0-1
-0.476239800928936,0.04170752253884136,1-0
0.046175643919926124,0.16177092806403057,0-1
-0.0562866440640698,0.01750989241255199,0-1
-0.28018874321903,-0.08070932288703879,1-0
0.5491259817177065,0.02863572800181391,0-1
0.21987133175139895,-0.07915521535763526,1-0
-0.10891531612797656,-0.01047718349933624,1-0
-0.14601523251047677,-0.0879602157338376,1-0
0.06693093686777707,0.03141558830107957,1-0
-0.019721900125559078,-0.04030478937694468,1-0
0.19968267241261206,-0.009676407901958811,1-0
-0.02448062868022216,-0.08725879425722459,1-0
0.0650023538618032,0.17334215496896302,1/2-1/2
-0.01958333978867033,-0.0004778542968124355,1-0
-0.44923489727697363,0.02458880227026694,0-1
0.2552222721731341,-0.001751219267551063,0-1
0.5635493803736014,-0.12851692857802427,0-1
-0.0886200677045682,0.08827266020448546,1-0
0.25890734348756217,-0.04913662933982618,0-1
-0.2658402959484485,0.025816092484304026,1-0
-0.3995298269521442,-0.13581936858355817,1-0
-0.07666564786185504,0.09414994108894265,1-0
-0.2939322195782883,-0.05205365969740533,0-1
-0.32605656731525084,0.079619105167336,1-0
-0.2907710764108149,-0.05917648238117487,0-1
-0.252329020714825,0.031092905538784327,0-1
-0.1097259220878204,0.16479759929122753,1/2-1/2
-0.19172385660073277,0.024871384144636438,1-0
0.14535761568194305,-0.10491932321466349,1-0
0.4025840741546147,-0.02304370420500075,0-1
0.20630449520126848,-0.023751201170158248,0-1
-0.1884394972902136,-0.07008884089951009,1-0
-0.5928209827954949,-0.13551735437982265,0-1
0.15454740993850458,0.03543732142797476,0-1
0.25722598031223187,0.04547518173075005,0-1
0.10103964750255845,0.20336897663503614,0-1
0.14006793709248766,0.010248345173277357,1-0
0.06636750869747243,0.28122303782774905,1/2-1/2
0.2508843655769235,-0.007678026604899774,0-1
0.1965547949252031,0.038120687646808704,0-1
0.17274330556410478,0.007003641769374291,1-0
0.12658108150876046,0.07920504774623924,1-0
-0.13213383801520506,0.018674272649417706,1-0
-0.22619464485246377,-0.0865603655004004,0-1
-0.09297804221421802,-0.032953952037336115,1-0
0.2946536720338393,0.06182250841750933,1-0
0.20520340583000474,0.07122065396241217,1-0
0.6020304319961189,-0.11325841279255994,1-0
0.24620269279368712,0.005827188377036385,0-1
0.06534325652229744,-0.06957943428600327,1-0
0.03739171737167635,-0.019322408270309385,0-1
-0.03471852828391886,0.021329991006770688,1-0
0.2906680024677364,-0.05285391117355227,1-0
0.1092413804589859,-0.013309109447811093,0-1
-0.09403133166989008,0.0752952105317082,1-0
-0.17474414034501096,-0.050761908063744435,1-0
0.3192950957551428,-0.014936374792430998,1-0
0.11874252443550604,-0.0750948092784216,1-0
-0.13591126126342834,-0.04160477665886966,1-0
-0.5380737676374714,0.04798132508676403,1-0
0.23610459713677878,0.06760986991877882,0-1
0.07076901268204194,0.03784847229166291,0-1
-0.44479908822813835,-0.04292176658241073,1-0
-0.4057611174495383,0.08741084563259222,1-0
0.2666916953405525,0.06452394545874324,0-1
-0.0005741789023930854,0.24112601281050042,1/2-1/2
0.16320456978877385,0.12293920218859358,1/2-1/2
-0.318981886861007,-0.1169763752251245,0-1
-0.43344964862067215,-0.04303734942674241,1-0
0.04748198396885439,0.06094262302321618,1-0
0.10389613776660045,-0.012710543642499114,1-0
-0.4405781798550815,-0.023771425377857744,1-0
-0.15270148505957182,-0.006346606206823202,1-0
0.12326425769969951,-0.08900414728574085,1-0
0.3237884251629215,-0.04281374468987216,1-0
0.10028328601766034,0.12218568949369216,1-0
-0.4354573681106224,0.3131608004626747,1/2-1/2
0.17316633561821992,-0.02007538962012305,0-1
0.15994789723535574,0.21066776166716464,0-1
0.06617533730972036,0.024834506106606036,0-1
0.202838701916787,-0.05033514625556823,1-0
-0.6677289771600528,0.04751347158205757,0-1
-0.0037820461329987065,-0.10218603010637886,0-1
-0.19901109585463217,-0.08896156862664585,0-1
-0.1238633852303268,-0.03621282055686255,0-1
-0.1911008741306095,0.03167407371885125,1-0
0.02521612811539542,-0.11963393835111216,1-0
-0.011101188980350063,-0.15570684495513212,1-0
-0.19543929081401235,-0.042025263870404214,1-0
0.30640014264337334,-0.07465873818826736,1-0
-0.06319436589785632,-0.08259951987390572,1-0
0.16517182922281126,-0.0327383331519116,0-1
-0.16059938064373003,-0.08627298504841581,1-0
0.06192443356775068,-0.08939869872497302,1-0
-0.21120388949782087,-0.08108333667624001,1-0
-0.21305113544114906,-0.026924191090920493,1-0
-0.20664914559715886,-0.08820466694451466,1-0
-0.2605626856688381,0.07907535554299827,1-0
0.6315690124952911,0.05999939070257515,1-0
-0.3871917902100339,-0.01592117179267427,0-1
0.2522229571219019,-0.001070599028953817,1-0
-0.06788246082668292,0.2273423262219986,1-0
-0.024271847074963437,0.23686228984762905,0-1
-0.13156906738562868,0.01840190998927485,0-1
-0.031235068556811907,-0.07296239360928389,1-0
0.15292292213481906,0.08989561812195784,1-0
0.41471687984640093,-0.04583773358487253,0-1
0.04906461510590343,0.03325556135263272,0-1
0.19991724660492705,-0.036440523541297454,0-1
-0.19755790156694375,-0.12944728926826587,0-1
-0.027085424447250483,0.23756169301658944,0-1
-0.24639700884112115,0.0168280341738338,1-0
0.05337750509639361,-0.034378762347127625,0-1
0.2583597860216864,0.22050242136927004,0-1
-0.09892456590968512,0.03540913850172506,1-0
0.011267291378552868,0.10481517523701506,1/2-1/2
-0.023980038757858146,-0.1884125957881749,1-0
0.0534339184123207,-0.06184570905346469,1-0
0.11720587185814113,0.052819646535951004,1-0
0.05454436069699775,-0.14966086712756219,0-1
-0.048028792089992445,0.0365759466554135,1-0
-0.023847718754625213,-0.10067304596045654,1-0
-0.3645312885315341,-0.0249403497769647,0-1
0.2487993400025208,-0.11568568259963653,0-1
0.1802699524298348,-0.10822905412496836,0-1
0.015458618406940183,-0.06426301277787673,0-1
-0.24360526504955882,0.10479716344157272,1-0
0.10847076219592044,-0.0065079122890911445,0-1
-0.049057645054850885,-0.10473998105168579,1-0
0.12824313869749304,-0.056104363281939254,1-0
0.13976812318141818,-0.050510025797602276,0-1
-0.20730486124639047,-0.04120784538623416,1-0
0.5202779740603285,-0.06982979244969954,1-0
0.1791775441177219,-0.12209103129204582,1-0
0.10953075404096613,-0.1753562572759776,1-0
-0.4517221034378704,-0.014986488562628755,1-0
-0.1549500143449224,0.054667953173534206,0-1
-0.22776196019980388,-0.16021674039047004,1-0
0.09528800181448194,-0.02501947969002956,1-0
-0.35942713782247915,-0.011449704066891858,1-0
-0.10638415490470032,0.12415764386798114,0-1
0.1855322889608404,-0.075473776839034,0-1
-0.07984495071822861,-0.16942204268131572,1-0
0.25162280278917715,-0.014754604712630667,1-0
-0.0019962315234710593,0.14669739058272094,1-0
0.16418835786181318,-0.07315448212488859,0-1
0.21885829060894757,0.24500648635469105,0-1
-0.38924064453673635,0.01838758967985532,1-0
-0.00540644386410527,-0.08911605782364602,0-1
0.5064864683595929,-0.034579857645917214,1-0
0.03982170025833032,-0.10734147360010991,0-1
0.047555559630584776,0.04713333661908356,1-0
0.17349945725045823,-0.040490168117658445,0-1
-0.18398488635160282,0.03763218020908357,1-0
0.26751868209201723,-0.02314670589748695,0-1
0.3217124554172315,-0.055703546418676336,1-0
-0.04381058227244994,-0.09248868953851133,1-0
0.26912382186800055,0.003544819784340708,1-0
0.008045515272378179,0.017235487159489082,0-1
