WhiteElo,BlackElo,MovesCount,GameElo,EloDiff,Result
1247,1218,15,1233,29,1-0
1043,1000,44,1022,43,1-0
2015,2028,29,2022,-13,1-0
2139,2145,56,2142,-6,0-1
1756,1737,21,1747,19,1-0
1638,1696,45,1667,-58,1-0
1699,1713,29,1706,-14,0-1
1496,1575,24,1536,-79,1-0
1314,1334,8,1324,-20,0-1
1953,1951,37,1952,2,1-0
1268,1272,16,1270,-4,1-0
1892,1886,18,1889,6,1-0
1413,1396,19,1405,17,1-0
1355,1368,31,1362,-13,0-1
1679,1755,43,1717,-76,1-0
2558,2659,77,2609,-101,1/2-1/2
1326,1323,26,1325,3,1-0
2259,2257,30,2258,2,0-1
1433,1491,50,1462,-58,0-1
1683,1641,57,1662,42,0-1
2080,2082,15,2081,-2,1-0
944,1064,17,1004,-120,1-0
1371,1342,68,1357,29,0-1
1493,1520,11,1507,-27,1-0
1902,1895,16,1899,7,1-0
1707,1720,60,1714,-13,1-0
1940,1922,45,1931,18,0-1
1773,1654,40,1714,119,1/2-1/2
1474,1473,43,1474,1,0-1
2139,2159,19,2149,-20,0-1
2541,2376,48,2459,165,0-1
1460,1451,20,1456,9,0-1
1682,1652,22,1667,30,0-1
2005,1944,7,1975,61,0-1
1601,1649,27,1625,-48,1-0
2300,2331,40,2316,-31,0-1
1442,1447,8,1445,-5,0-1
808,797,22,803,11,1-0
2138,2125,32,2132,13,0-1
1921,1934,18,1928,-13,1-0
1362,1354,51,1358,8,1-0
1498,1548,33,1523,-50,0-1
993,1075,23,1034,-82,1-0
1990,1801,33,1896,189,1-0
1451,1492,45,1472,-41,1-0
1876,1893,28,1885,-17,1-0
1490,1545,76,1518,-55,0-1
1384,1393,19,1389,-9,1-0
1038,1062,15,1050,-24,1-0
1697,1701,14,1699,-4,0-1
1243,1262,8,1253,-19,1-0
1486,1436,24,1461,50,1-0
1509,1517,39,1513,-8,1-0
1803,1797,41,1800,6,1/2-1/2
1522,1533,28,1528,-11,1-0
1426,1468,25,1447,-42,0-1
1596,1597,31,1597,-1,1-0
1769,1777,27,1773,-8,0-1
1421,1423,30,1422,-2,0-1
2060,2129,24,2095,-69,1-0
1204,1208,25,1206,-4,0-1
1565,1539,41,1552,26,0-1
1368,1376,18,1372,-8,1-0
1291,1295,42,1293,-4,0-1
1928,1917,13,1923,11,0-1
1667,1652,14,1660,15,1-0
1913,1896,28,1905,17,1-0
1842,1939,31,1891,-97,0-1
1525,1494,45,1510,31,1-0
2616,2813,27,2715,-197,0-1
1617,1737,42,1677,-120,0-1
1155,1139,19,1147,16,1-0
2142,2070,45,2106,72,1-0
2415,2291,23,2353,124,1-0
1781,1867,27,1824,-86,1-0
1432,1373,6,1403,59,1-0
1535,1507,32,1521,28,0-1
1312,1371,21,1342,-59,0-1
1287,1219,29,1253,68,1-0
1928,1916,38,1922,12,0-1
1935,1932,27,1934,3,0-1
2251,2154,44,2203,97,1-0
2048,2039,32,2044,9,0-1
1587,1577,35,1582,10,0-1
1637,1631,43,1634,6,0-1
1534,1530,15,1532,4,1-0
1491,1485,44,1488,6,0-1
1552,1554,35,1553,-2,0-1
1562,1573,21,1568,-11,0-1
1523,1520,33,1522,3,1-0
1672,1688,47,1680,-16,1-0
1614,1624,41,1619,-10,0-1
1493,1503,42,1498,-10,0-1
1610,1599,13,1605,11,1-0
1438,1454,34,1446,-16,1-0
1965,1911,24,1938,54,0-1
2435,2407,19,2421,28,0-1
1709,1588,44,1649,121,0-1
1816,1886,49,1851,-70,1-0
1372,1393,25,1383,-21,0-1
1560,1567,31,1564,-7,0-1
1917,1919,19,1918,-2,0-1
1988,1927,65,1958,61,1-0
2034,2035,44,2035,-1,0-1
1809,1818,31,1814,-9,1-0
1719,1739,0,1729,-20,0-1
1742,1749,1,1746,-7,1-0
1599,1589,21,1594,10,1-0
1770,1770,16,1770,0,0-1
1549,1492,41,1521,57,0-1
2077,2039,36,2058,38,1-0
1682,1626,31,1654,56,1-0
1875,2049,40,1962,-174,1-0
1197,1175,41,1186,22,0-1
1860,1857,42,1859,3,1-0
1965,2062,32,2014,-97,0-1
1948,1963,35,1956,-15,0-1
1375,1398,37,1387,-23,0-1
1476,1477,21,1477,-1,0-1
941,1047,40,994,-106,1-0
2448,2405,51,2427,43,0-1
1610,1576,35,1593,34,0-1
2081,2063,43,2072,18,1-0
1202,1315,25,1259,-113,0-1
1740,1752,36,1746,-12,1-0
2162,2159,32,2161,3,0-1
1943,1906,40,1925,37,0-1
1844,1843,13,1844,1,1-0
1389,1523,22,1456,-134,0-1
1543,1424,9,1484,119,0-1
1860,1859,70,1860,1,1/2-1/2
1805,1773,46,1789,32,1-0
1388,1337,19,1363,51,0-1
1014,894,18,954,120,1-0
2296,2320,17,2308,-24,0-1
1773,1769,21,1771,4,0-1
1725,1756,27,1741,-31,0-1
1264,1276,14,1270,-12,1-0
1506,1540,27,1523,-34,0-1
794,809,15,802,-15,0-1
2096,2088,21,2092,8,0-1
1965,1970,51,1968,-5,1-0
1231,1176,52,1204,55,0-1
2268,2191,46,2230,77,1-0
2246,2467,13,2357,-221,0-1
1880,1869,37,1875,11,0-1
2288,2342,28,2315,-54,1-0
1267,1248,39,1258,19,1-0
1643,1640,27,1642,3,1-0
1402,1402,67,1402,0,0-1
2302,2223,46,2263,79,0-1
1613,1595,26,1604,18,0-1
2169,2153,43,2161,16,0-1
1553,1618,27,1586,-65,0-1
2911,2999,43,2955,-88,0-1
1654,1693,36,1674,-39,0-1
1916,2000,44,1958,-84,1-0
1288,1280,41,1284,8,0-1
1202,1165,30,1184,37,1-0
2297,2310,1,2304,-13,1-0
1291,1380,5,1336,-89,1-0
2248,2181,48,2215,67,1-0
1546,1501,25,1524,45,1-0
1386,1440,48,1413,-54,1-0
2010,2012,35,2011,-2,0-1
1747,1737,33,1742,10,0-1
2078,2073,25,2076,5,0-1
2004,1989,30,1997,15,0-1
1796,1722,36,1759,74,1-0
1570,1602,46,1586,-32,0-1
1654,1617,28,1636,37,1-0
1610,1680,28,1645,-70,0-1
1714,1719,34,1717,-5,1-0
1236,1179,31,1208,57,0-1
1595,1583,30,1589,12,1-0
2308,2231,36,2270,77,1-0
1550,1451,27,1501,99,0-1
985,992,54,989,-7,0-1
1978,1965,29,1972,13,1-0
1293,1332,33,1313,-39,0-1
2044,2042,40,2043,2,0-1
1578,1623,42,1601,-45,0-1
1524,1529,12,1527,-5,1-0
924,859,16,892,65,1-0
1197,1307,62,1252,-110,1-0
1769,1761,26,1765,8,0-1
1139,1185,35,1162,-46,0-1
2114,2160,30,2137,-46,0-1
1609,1599,30,1604,10,0-1
821,784,68,803,37,1-0
1199,1177,8,1188,22,1-0
1353,1337,34,1345,16,1-0
1656,1658,33,1657,-2,0-1
2090,2162,26,2126,-72,1-0
1535,1580,25,1558,-45,0-1
2217,2248,24,2233,-31,1-0
1965,2226,28,2096,-261,1-0
1387,1364,14,1376,23,1-0
1414,1411,43,1413,3,0-1
1431,1423,30,1427,8,1/2-1/2
816,988,21,902,-172,1-0
1533,1634,35,1584,-101,0-1
1435,1427,42,1431,8,1-0
1189,1139,15,1164,50,1-0
1909,1908,19,1909,1,0-1
1744,1733,38,1739,11,0-1
1378,1305,14,1342,73,1-0
1996,1979,36,1988,17,1/2-1/2
1617,1547,15,1582,70,0-1
2049,2050,77,2050,-1,1/2-1/2
954,1029,33,992,-75,0-1
2185,2231,75,2208,-46,0-1
1844,1834,63,1839,10,1/2-1/2
1542,1590,22,1566,-48,0-1
2060,2088,31,2074,-28,0-1
1904,1906,27,1905,-2,0-1
1714,1705,32,1710,9,0-1
1695,1693,44,1694,2,0-1
1925,1981,61,1953,-56,0-1
1453,1456,35,1455,-3,0-1
1698,1699,39,1699,-1,0-1
2359,2351,40,2355,8,1-0
1199,1191,24,1195,8,1-0
2045,2058,16,2052,-13,0-1
2347,2290,33,2319,57,1-0
2161,2252,26,2207,-91,0-1
1964,1959,56,1962,5,1/2-1/2
1761,1761,42,1761,0,0-1
1849,1868,18,1859,-19,1-0
1273,1280,28,1277,-7,1-0
2080,2099,40,2090,-19,0-1
1863,1803,28,1833,60,0-1
1298,1361,28,1330,-63,1-0
1774,1770,25,1772,4,1-0
2267,2282,48,2275,-15,0-1
2129,2124,25,2127,5,0-1
2035,2036,18,2036,-1,1/2-1/2
1982,1563,53,1773,419,1-0
1473,1471,57,1472,2,1-0
1871,1754,53,1813,117,0-1
