WhiteElo,BlackElo,MovesCount,GameElo,EloDiff,Result
1577,1593,52,1585,-16,0-1
1841,1825,45,1833,16,1-0
1443,1491,32,1467,-48,1-0
1622,1607,18,1615,15,1-0
1356,1614,51,1485,-258,0-1
1922,1948,29,1935,-26,1-0
1587,1584,50,1586,3,0-1
1769,1910,26,1840,-141,0-1
2007,2108,35,2058,-101,1-0
1711,1691,17,1701,20,1-0
1166,1285,18,1226,-119,1-0
1339,1406,6,1373,-67,0-1
1487,1503,28,1495,-16,0-1
1447,1403,54,1425,44,1-0
1677,1628,25,1653,49,1-0
1825,1810,69,1818,15,1-0
1104,1080,36,1092,24,1-0
1244,1321,37,1283,-77,1-0
855,970,28,913,-115,0-1
1676,1690,26,1683,-14,1-0
1496,1403,31,1450,93,1-0
1895,1822,29,1859,73,0-1
1769,1743,44,1756,26,0-1
1780,1811,17,1796,-31,1-0
852,854,20,853,-2,0-1
2146,2130,35,2138,16,1-0
1962,1965,34,1964,-3,0-1
1764,1772,30,1768,-8,1-0
2023,2011,36,2017,12,1-0
1591,1539,22,1565,52,0-1
1651,1662,48,1657,-11,1-0
896,1148,1,1022,-252,1-0
1474,1479,77,1477,-5,0-1
2014,1960,50,1987,54,0-1
1959,1931,34,1945,28,1-0
1880,1829,54,1855,51,1-0
1469,1379,43,1424,90,0-1
1770,1798,50,1784,-28,1-0
1719,1711,50,1715,8,1-0
1019,774,35,897,245,1-0
1529,1490,34,1510,39,0-1
1390,1434,25,1412,-44,0-1
2023,2014,22,2019,9,0-1
1836,1850,21,1843,-14,1-0
1726,1709,40,1718,17,1-0
1063,1002,25,1033,61,1-0
1854,1872,15,1863,-18,1-0
1264,1220,10,1242,44,1-0
1854,1811,50,1833,43,1-0
1354,1386,37,1370,-32,0-1
1985,1867,58,1926,118,1/2-1/2
1027,1069,17,1048,-42,0-1
1413,1353,24,1383,60,1-0
1834,1827,41,1831,7,1/2-1/2
2006,2018,29,2012,-12,0-1
1997,1953,46,1975,44,1-0
1166,1284,20,1225,-118,1-0
980,922,10,951,58,1-0
1698,1701,14,1700,-3,1-0
1397,1404,26,1401,-7,0-1
1245,1313,8,1279,-68,1-0
1349,1350,12,1350,-1,0-1
1443,1479,15,1461,-36,1-0
1411,1386,29,1399,25,0-1
1768,1773,24,1771,-5,0-1
1660,1683,49,1672,-23,0-1
1685,1673,45,1679,12,0-1
1749,1797,33,1773,-48,1-0
1448,1481,7,1465,-33,0-1
2376,2376,48,2376,0,1-0
2011,1994,25,2003,17,1-0
2341,2304,60,2323,37,1-0
1150,1163,6,1157,-13,0-1
2110,2109,27,2110,1,0-1
1494,1498,21,1496,-4,0-1
2271,2248,45,2260,23,0-1
1242,1301,33,1272,-59,1-0
1523,1465,24,1494,58,0-1
1904,1914,28,1909,-10,1-0
1680,1647,44,1664,33,0-1
1600,1646,38,1623,-46,1-0
1597,1496,37,1547,101,0-1
1216,1230,37,1223,-14,1-0
2321,2242,53,2282,79,1-0
1723,1763,28,1743,-40,1-0
1566,1558,28,1562,8,1/2-1/2
1633,1634,35,1634,-1,1-0
1792,1761,32,1777,31,1-0
2344,2335,47,2340,9,0-1
1915,1916,50,1916,-1,0-1
2070,2088,52,2079,-18,1-0
1736,1740,39,1738,-4,0-1
2150,2156,19,2153,-6,0-1
2197,2266,37,2232,-69,0-1
1458,1470,43,1464,-12,0-1
1805,1760,23,1783,45,0-1
2685,2713,83,2699,-28,1-0
1604,1572,43,1588,32,1-0
1534,1540,33,1537,-6,1-0
839,867,23,853,-28,1-0
1298,1302,14,1300,-4,0-1
1913,1927,32,1920,-14,0-1
2103,2111,52,2107,-8,0-1
1328,1326,22,1327,2,1-0
1740,1912,1,1826,-172,1-0
1794,1796,6,1795,-2,1-0
1744,1675,24,1710,69,1-0
1747,1786,28,1767,-39,0-1
1578,1607,34,1593,-29,1-0
1262,1278,33,1270,-16,1-0
1426,1448,14,1437,-22,1-0
1376,1339,4,1358,37,1-0
1016,1017,7,1017,-1,1-0
1986,1987,26,1987,-1,0-1
1191,1308,30,1250,-117,0-1
947,1008,22,978,-61,1-0
1307,1402,14,1355,-95,1-0
1240,1290,41,1265,-50,1-0
1834,1863,11,1849,-29,1-0
1313,1330,22,1322,-17,0-1
1734,1672,30,1703,62,1-0
1871,1882,45,1877,-11,0-1
1973,1911,20,1942,62,1-0
2083,2162,42,2123,-79,0-1
1313,1586,6,1450,-273,0-1
1326,1484,9,1405,-158,1-0
1515,1496,16,1506,19,0-1
1705,1761,35,1733,-56,1-0
859,854,34,857,5,0-1
1520,1517,25,1519,3,1-0
1891,1913,38,1902,-22,0-1
1795,1936,30,1866,-141,0-1
2256,2200,37,2228,56,0-1
1501,1536,30,1519,-35,1-0
1575,1652,45,1614,-77,1-0
1574,1473,47,1524,101,1-0
1271,1277,16,1274,-6,0-1
1723,1737,22,1730,-14,1-0
1533,1496,71,1515,37,0-1
1142,1109,60,1126,33,1/2-1/2
1907,1985,28,1946,-78,0-1
1267,1143,24,1205,124,0-1
1686,1703,36,1695,-17,0-1
1583,1535,32,1559,48,0-1
1977,1979,45,1978,-2,1-0
1282,1333,20,1308,-51,1-0
1448,1383,52,1416,65,0-1
1275,1319,5,1297,-44,1-0
1353,1374,36,1364,-21,0-1
1972,1978,21,1975,-6,1-0
1278,1266,24,1272,12,1-0
1753,1753,32,1753,0,1-0
1969,1944,41,1957,25,0-1
1791,1800,39,1796,-9,1-0
1635,1693,64,1664,-58,1-0
1840,1721,40,1781,119,1-0
1545,1538,28,1542,7,1-0
1162,1223,40,1193,-61,1-0
2634,2520,42,2577,114,1-0
1409,1341,14,1375,68,1-0
1534,1542,33,1538,-8,1-0
1727,1715,33,1721,12,1-0
1852,1850,45,1851,2,0-1
1644,1687,31,1666,-43,0-1
2281,2365,47,2323,-84,1-0
2155,2097,58,2126,58,0-1
1993,2004,40,1999,-11,1-0
1957,1945,46,1951,12,0-1
1529,1519,39,1524,10,0-1
1530,1555,11,1543,-25,1-0
1575,1537,104,1556,38,1/2-1/2
1500,1484,58,1492,16,1/2-1/2
1959,1968,52,1964,-9,1-0
1220,1287,19,1254,-67,1-0
2299,2314,42,2307,-15,0-1
2426,2414,39,2420,12,1-0
1143,1140,15,1142,3,1-0
1679,1666,23,1673,13,0-1
1527,1520,35,1524,7,0-1
1358,1083,14,1221,275,0-1
1530,1543,33,1537,-13,1-0
1929,1930,27,1930,-1,1-0
866,847,25,857,19,0-1
1776,1748,17,1762,28,1-0
2095,2072,30,2084,23,0-1
1618,1616,15,1617,2,1-0
2274,2351,30,2313,-77,1-0
2237,2239,25,2238,-2,1-0
2196,2192,26,2194,4,1-0
1440,1508,16,1474,-68,1-0
3033,1855,35,2444,1178,1-0
2408,2345,22,2377,63,0-1
2032,2045,47,2039,-13,1-0
626,757,33,692,-131,1-0
1430,1433,40,1432,-3,0-1
1467,1531,39,1499,-64,1-0
1277,1185,21,1231,92,0-1
1570,1658,21,1614,-88,0-1
2298,2125,40,2212,173,1-0
1751,1745,35,1748,6,0-1
1221,1224,18,1223,-3,1-0
1520,1350,32,1435,170,1-0
1769,1771,37,1770,-2,1-0
2038,1917,67,1978,121,1-0
2040,2064,51,2052,-24,1-0
1896,1879,41,1888,17,1-0
2492,2541,46,2517,-49,1-0
1019,1005,20,1012,14,0-1
995,891,24,943,104,1-0
1573,1569,32,1571,4,0-1
1384,1493,21,1439,-109,0-1
1082,1082,30,1082,0,1-0
1798,1756,38,1777,42,1-0
2379,2403,35,2391,-24,1-0
1786,1786,37,1786,0,1-0
2031,1937,67,1984,94,0-1
2269,2272,13,2271,-3,1-0
1696,1732,33,1714,-36,1-0
1252,1314,15,1283,-62,0-1
1882,1896,41,1889,-14,0-1
2025,1914,13,1970,111,1-0
1302,1303,52,1303,-1,1-0
1921,1929,57,1925,-8,1-0
1433,1478,30,1456,-45,1-0
2333,2345,44,2339,-12,1-0
1945,1858,43,1902,87,0-1
1697,1777,67,1737,-80,1-0
2074,2081,46,2078,-7,1/2-1/2
1848,1871,14,1860,-23,1-0
1638,1545,61,1592,93,0-1
2586,2480,48,2533,106,0-1
1833,1808,22,1821,25,1-0
2031,2050,29,2041,-19,0-1
1068,1010,39,1039,58,0-1
1571,1551,44,1561,20,1-0
1019,923,22,971,96,1-0
