PC1,Result
-223.34563734819676,1-0
-589.9991489686299,0-1
-683.4791551939534,1-0
-524.6419033997458,0-1
721.1932932342265,1-0
461.5490578043341,0-1
-330.5866269619669,0-1
1375.5928219704033,0-1
4.187999071182276,0-1
1127.7470146958353,0-1
-380.9912399981049,0-1
-1092.2540345805498,1-0
400.40190823457715,1-0
381.1923093696132,1-0
-713.5499582829693,1-0
-237.13842105532058,1-0
744.8653966833572,1-0
391.54767997099225,0-1
-896.4911875989144,1-0
276.06648025792356,1-0
-559.3612433756425,0-1
656.6214234898621,0-1
-78.88188596273312,0-1
-288.45256626466653,0-1
-103.83162772625883,1-0
1310.1223565737578,0-1
322.9496328613682,1-0
-174.76804237216538,0-1
140.31402799484067,1-0
504.2020825579475,0-1
-481.31813766366395,0-1
141.0600397067942,1-0
859.2650305720349,0-1
-313.35728342477614,0-1
1114.3596791554519,0-1
1126.518580732958,1-0
-704.7130855283485,1-0
-454.59819677168616,0-1
1036.049776293993,0-1
-136.7204005576741,0-1
-659.1002323197331,0-1
-832.9158847004719,1-0
134.13136150817672,0-1
163.63183173426614,1-0
-50.04829117168856,1-0
-33.951613392046966,0-1
-110.6534044400455,0-1
-238.94516198916108,1-0
-1492.6325731055165,1-0
746.4933730465632,1-0
-436.23914896244423,0-1
559.6525596399501,1/2-1/2
1195.898644547297,1-0
186.04909797826303,1-0
1056.7833943182445,0-1
-749.1982089554399,0-1
-74.30791342937891,1-0
-53.481352703630364,0-1
265.42310865526315,0-1
-837.5671455186873,0-1
18.032396860480276,0-1
-804.6506301429599,0-1
-411.5657145170685,0-1
-681.707277636785,1-0
-634.928545600028,0-1
385.36228955299384,1-0
779.6906887549371,0-1
698.3076845620926,0-1
407.93070205942104,0-1
-815.1684779722395,0-1
-1227.2101495653123,1-0
842.456230141981,1-0
743.7378568664026,0-1
-901.6729560670933,0-1
749.0972990753753,0-1
-97.78508374222292,0-1
-21.842771704107236,0-1
805.4977156833984,0-1
-758.3551432477943,0-1
-304.7738864940361,1-0
-967.3230855646639,1-0
-731.1144175027043,0-1
-585.1026285203711,0-1
-1111.2714015769502,1-0
701.6831754591994,1-0
937.9402217922466,1-0
-217.454495086924,0-1
-1425.3313755326944,1-0
641.0953442499467,1-0
769.8056328098482,0-1
520.4805653026074,1-0
693.622023729974,1-0
373.2223257996975,0-1
-529.2527342015378,0-1
-327.13520974566654,1-0
599.4210470692847,1-0
533.7873291505557,0-1
-629.6983956709996,1-0
-992.2610837862001,0-1
234.55728266400047,0-1
124.87591241554765,0-1
-368.78388350989053,1-0
987.211629988944,1-0
49.17229319232774,1-0
-406.8818282271368,1-0
-806.846628014277,1/2-1/2
-347.3791627128976,1-0
835.0965764736543,0-1
989.7778499326664,1-0
-689.2240114565902,0-1
-478.8908852002496,1-0
-1636.4758864112664,1-0
49.39708254177458,1-0
-1132.6021174966552,0-1
-1427.105146409132,1-0
116.74486436964708,1-0
-440.9490259181125,1-0
-1021.698490187563,1-0
698.8475282857612,0-1
824.6748359763642,1-0
299.8529451509071,0-1
144.13425999065748,1-0
-770.1768653327667,0-1
278.9645583299912,0-1
1223.5972848895885,1-0
412.83541150626934,0-1
218.9405212911547,0-1
-222.65306504685304,1/2-1/2
-316.3205163268058,1-0
-1035.3898655997473,1/2-1/2
102.3013737931301,0-1
287.7183331468091,0-1
-1215.1540635756362,1-0
26.80267936961127,1/2-1/2
-291.8706516332927,0-1
366.2259157395006,1-0
-1022.8366772576414,1-0
-746.4364705458183,1-0
-531.4901568056484,0-1
79.99606152469914,1-0
770.9677422040381,1-0
-487.737337041764,0-1
628.9192567268083,0-1
430.2872611607286,0-1
892.7433678900234,0-1
-238.2350591564973,1-0
57.32079831968849,1-0
-1250.4083870114064,0-1
331.02029022762827,1-0
230.577544916443,0-1
1304.54559496502,0-1
911.7843407474857,1-0
284.81480721207345,1-0
84.95783291639145,1-0
-721.8689383372684,1/2-1/2
650.3736248368459,1/2-1/2
580.4366727938982,0-1
-99.67003422743528,1-0
488.7313641705482,0-1
855.7573312367072,1-0
413.03443053955834,1-0
-240.51432452894687,1-0
257.1124482220771,0-1
-396.40142080614487,0-1
991.4197796201811,0-1
-1184.4707208027123,0-1
-1100.820533906069,0-1
-319.76041035069466,0-1
-78.77318727210286,0-1
-555.8579690639776,0-1
244.99059713995075,0-1
-494.62431937176234,0-1
727.7891435141137,1-0
-751.09619149845,1-0
-165.52764289271045,1-0
-779.2548610341801,0-1
597.7306398074506,0-1
156.61264096604737,0-1
-198.36971269199375,1-0
43.45335414556757,0-1
1663.5815216845763,1-0
-314.90665486467606,1-0
-1151.478448671121,1/2-1/2
556.6722822329803,0-1
-511.9743254911509,1-0
-1005.9230663479927,1/2-1/2
-732.518310892422,1-0
-646.9677847707312,1-0
-446.13295884138734,0-1
-589.9626806131005,1-0
392.1456538057341,1-0
1143.9984104858931,1-0
729.7936104337996,1-0
470.11485075389555,0-1
-720.3077217828823,1-0
520.3448304436233,1-0
331.6318555964067,0-1
354.1441328835258,1/2-1/2
377.8062673328536,1-0
-1261.9152197538515,1-0
-255.4532694141858,0-1
-13.70506072958915,1-0
512.8258360552518,1-0
717.1540407463176,0-1
127.20808038597943,1-0
-23.509985681399485,1-0
-1016.6104669103099,1-0
-526.4213424884315,0-1
308.96232859447764,0-1
751.8846609014349,1-0
264.1343855852415,1-0
-815.1711511173262,0-1
153.22176132910545,1-0
11.211592199452298,0-1
198.2699952142666,0-1
-583.6228605250976,0-1
-91.11284831200874,1-0
471.90612949804154,0-1
322.9437724221789,1-0
27.844713780477377,0-1
-1211.804806357455,1-0
263.5799048249187,1-0
-723.3249309081493,1-0
-169.56310328305608,1-0
593.1407190580226,0-1
1000.3788183633596,0-1
241.4507075730371,1-0
504.7449666759994,1-0
630.7154465209956,0-1
-1849.6562564833168,0-1
867.8967581773759,0-1
403.7482266308707,0-1
-970.9893231306082,1-0
-423.31128540163263,1-0
-1337.0673455625122,1-0
360.96114544699003,1-0
-214.54892893319902,1-0
-385.5903499215183,1-0
-131.45643275459224,1-0
821.6938295298246,0-1
197.71962301455642,1-0
-368.16859949340824,1-0
1159.5208671915739,0-1
648.2465512294452,1/2-1/2
632.9904564331127,1/2-1/2
248.52927164091489,1-0
334.5991517318266,1/2-1/2
-777.4447405792957,1-0
-1148.2813605543772,0-1
-168.94677376395475,0-1
138.74890056580853,0-1
1185.52990276146,1/2-1/2
-723.8245876285832,1-0
1690.6220405256759,1-0
227.10422293140846,0-1
285.9203688104344,0-1
-65.08200408686025,0-1
64.26960674485372,1-0
932.6453522733864,0-1
450.4840985193073,0-1
525.34630281217,0-1
-1771.6291951008825,1-0
466.60151132895726,0-1
-1009.6513503586821,0-1
-218.07836347392958,0-1
355.76923841567805,0-1
-751.674012443033,1-0
-1227.8180189499972,1-0
-181.6945561156872,1-0
81.61124884329729,0-1
1228.8164711024442,1-0
386.4061946195184,1-0
37.12867978421036,1-0
426.1919922305942,0-1
691.8548368732686,0-1
-328.04936462850446,1-0
351.8289078455382,0-1
419.9325969353072,1-0
-257.9157525035689,0-1
319.3833400521994,1-0
1528.5088581372543,0-1
-1539.6230397703112,1-0
840.7581652351591,0-1
1590.3538777746512,1-0
334.9562184377178,1-0
-834.0891781604123,0-1
-752.724919564836,0-1
1791.5740216441886,0-1
639.3637552685091,1/2-1/2
807.3754718863911,1-0
156.01371774215886,1-0
1202.0939305152397,1-0
1711.5815160656025,1-0
262.34398278038407,0-1
195.7671555583188,0-1
-740.6641655383073,1-0
624.2916525559026,1-0
625.5226635503959,0-1
71.77112138815392,1-0
-328.2063939937352,0-1
-337.6330234618699,0-1
706.9301495435893,1/2-1/2
-418.944379459464,0-1
1138.1753954581327,0-1
-225.04399605445633,1-0
428.0300701203437,0-1
-608.9886773072476,1/2-1/2
-652.3386993858667,0-1
722.4084294625059,1-0
-690.950011134666,0-1
247.78673556347667,0-1
850.6780618933085,0-1
-24.188214745526693,0-1
750.6951254259834,1-0
7.0459635898746455,1-0
-502.17027647862824,0-1
177.4587497784928,1-0
-508.48780188498813,0-1
-223.214400962735,1-0
26.165270234816035,1-0
-362.97202442524394,0-1
-197.2422463248986,1-0
641.0302402062325,0-1
253.12813855113836,1-0
760.5786271784636,0-1
-1279.3133869845112,0-1
-1080.0168500018126,1-0
-1504.9664979423408,1-0
-185.23493170897973,1-0
-40.808304268754455,1-0
604.7691356491764,0-1
74.53132826877754,0-1
-276.30008460258887,0-1
40.23992244081546,1-0
493.77535756075486,0-1
-1327.8404133809868,1-0
972.4143257291003,1-0
906.7318137730026,0-1
793.3967746536355,1-0
-716.2019017130942,0-1
-455.44952765322523,0-1
-183.45427755434594,0-1
-1361.246786040676,1-0
868.0809706106802,0-1
-1749.201451167092,0-1
76.26666402055753,0-1
-54.6464290423437,1-0
17.990774441719623,1-0
-122.7757415485512,0-1
242.70778268312597,1-0
-480.85108375133495,1-0
284.3676405131014,1-0
61.34787202547659,0-1
506.6110527868618,1-0
497.89897383866355,0-1
418.2200418915495,0-1
123.144221861613,1-0
-173.0084678332255,1-0
1110.33452689157,0-1
101.15564785514607,1-0
618.5033993323177,0-1
209.66494197197835,1-0
632.3911206327043,1-0
284.83306678296185,1-0
-643.4406334621781,1-0
-413.7137435040563,0-1
1047.9223054400754,0-1
-108.94036336990894,1-0
507.59656206551153,1-0
352.45904924825345,1-0
-1070.0881767461979,0-1
1016.8696437292801,0-1
422.71439212161613,0-1
-857.2530382562134,0-1
518.1671882566661,0-1
-540.2948166650717,0-1
-196.62890641393324,1-0
1102.3341784185045,1-0
431.6309832929951,1-0
-85.72522831859305,1-0
642.8298321850757,0-1
-127.37251745353888,1-0
-670.1887521385988,0-1
869.7118123459136,1-0
1571.0939533433216,0-1
1157.255459029962,1-0
635.8844032809552,1-0
402.6356629772313,1-0
-529.145736603236,1-0
755.4404252345626,0-1
1547.5179798897911,0-1
-974.9949780940417,0-1
561.9292479807846,1-0
-1192.6734170438633,1-0
548.0691676522129,0-1
692.9038733394141,1-0
-476.1456318193291,1-0
-1236.3414604412287,1/2-1/2
567.1200868458659,1-0
433.90154551783826,1-0
123.71897974820104,0-1
218.48241353962158,0-1
464.8949128378599,1-0
628.9158772057631,1-0
-1066.7213663330858,1-0
66.59902812033943,0-1
292.90267864660336,0-1
-292.63630754541373,1-0
-229.70468905984671,1-0
577.4476187894634,0-1
-491.6798773942228,0-1
909.648903119139,1-0
176.67853573860248,0-1
523.9460827429352,0-1
-649.3786483189147,1-0
-1059.2093005501329,1-0
901.0911350638626,1/2-1/2
-185.1671490611525,1-0
99.44221687210029,1-0
-1160.4005838186397,1-0
893.8198757646537,0-1
-283.2826374519477,0-1
407.2432103714491,1-0
600.0156187193707,1-0
267.4459593819447,1-0
-773.3642782491452,1-0
1600.7080559736946,1-0
378.5594506634161,0-1
-321.3200672534467,1-0
-236.6138926216281,1-0
-409.65720349801677,1-0
-1026.3579173407568,0-1
-861.8288587816141,0-1
59.118276629684715,1-0
184.3044261527798,1-0
878.3150964900115,0-1
-284.93759919726017,1-0
-921.1721101259479,0-1
241.59150038178223,1-0
53.96203546447305,1-0
582.7800248300819,1-0
-91.50414546847378,0-1
-214.42518062939462,0-1
623.4226497023501,0-1
-269.99833784897237,1-0
-306.23087470867677,1-0
-891.1382614188406,0-1
-1232.851291637221,0-1
329.2604726754994,0-1
422.86206274953065,0-1
220.12828222441885,0-1
-1359.3041180209104,1-0
369.2423223753394,1/2-1/2
-55.260887905785694,1-0
-163.75681083816062,0-1
-1253.8460431303404,0-1
355.9288221489137,1-0
753.6179790978381,0-1
-1402.0218850279664,1/2-1/2
-976.1792126065425,0-1
-51.7492495731758,0-1
1216.19615570222,0-1
-472.7364699478876,0-1
-537.8188662777598,1-0
-701.339442623289,1-0
-337.6380079617711,0-1
-61.50965861156101,1-0
-415.13920160845737,1-0
1131.2131650622614,0-1
887.0106904095078,0-1
196.56461178911695,0-1
-94.40421843230615,0-1
1342.6331299833068,1-0
-1190.8090320253289,1-0
322.3407406376764,0-1
435.07556801734745,1/2-1/2
719.5189076383263,0-1
50.952071407673884,0-1
635.8365078464853,1-0
-583.0042931010421,1-0
-0.8754181696135674,1-0
-553.4864392433515,1-0
431.35402038513485,0-1
-621.5415265226934,1-0
295.1432150949572,1-0
-56.332484730374745,0-1
-174.16445111142457,0-1
574.206986812052,1-0
-1449.573930621833,0-1
1557.7803570034253,0-1
-474.43888642851243,0-1
719.0640098445069,0-1
-459.1430162780762,0-1
1070.830818128949,1-0
-214.55578408875817,1-0
509.3863319442712,1-0
-1067.9435272802543,1-0
-217.52821162379905,1-0
-1346.794908779602,0-1
-505.62589836901316,1-0
287.6491885333148,0-1
-459.9728581571635,1-0
770.8875604245113,0-1
-531.6430322830433,1-0
-377.4100444754804,1-0
-375.74266093485767,1-0
-657.3450093545966,0-1
-671.7617067759488,1-0
439.0254268881331,1-0
413.03202307127276,0-1
726.409269489368,0-1
-164.36781673069981,0-1
-723.2317905206851,0-1
-636.5461630505224,0-1
135.7811184040088,0-1
19.123394872046447,0-1
-715.1023701172526,0-1
-199.09447522492337,1-0
-330.0762495385502,1-0
-58.18286563835227,0-1
-75.50727100491395,0-1
-1009.5993463635989,0-1
97.21874759229831,1-0
277.34708777921514,0-1
-598.5593018285804,0-1
199.31623429921774,1-0
1237.5755695458233,1-0
568.2729336162106,1-0
-1379.8041972934968,1-0
75.10958445349252,1-0
363.8591274055857,1-0
515.1100124777436,0-1
-640.0828426597209,1-0
-85.8728028330379,1-0
1195.8327606777652,0-1
135.39811181863024,0-1
27.876683662484993,0-1
140.37634011638738,1-0
-711.6461153007699,0-1
-1482.0292244017842,0-1
-864.051452122128,1-0
-628.6376156628644,0-1
798.7731371314403,0-1
-1523.9307646547916,1-0
71.77933850938007,0-1
1465.5445126074742,1-0
19.882291742078905,1/2-1/2
615.0537566582047,1-0
-1601.990841421851,0-1
875.4494008764723,0-1
-699.6198120743929,1-0
140.3652295004954,1-0
162.02704865560236,1-0
1057.3549422471187,1-0
37.13850188429387,1-0
-387.9428684680752,1-0
367.92412754604175,1-0
1122.703580781867,1-0
-973.3704320381282,1-0
-799.3094701684872,1-0
2030.835414608035,0-1
