y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,5.193891321344026e-05,0.3620681777274566,0.619240570259284
1-0,0-1,5.044825687956079e-05,0.5085235492120619,0.41527682354789586
1-0,0-1,6.858408561335265e-05,0.4931288230168601,0.48675439111966123
1-0,1-0,9.041508378461853e-05,0.4870372980711455,0.5003140398790529
1/2-1/2,1/2-1/2,6.480536539047241e-05,0.3441535090587532,0.3116273826246728
1-0,0-1,5.1746366469469126e-05,0.536107341233621,0.4516483063545045
0-1,0-1,5.015047255236252e-05,0.526710670495998,0.44773285812704455
1-0,0-1,4.400858374891365e-05,0.5676641135042876,0.4213780086381335
1-0,1-0,6.913744313493193e-05,0.3908516773576343,0.5852290566449581
0-1,0-1,5.625543145516291e-05,0.5229112525454696,0.46277192862790417
0-1,1-0,6.599322232990319e-05,0.39265744996112306,0.5953696364994232
0-1,0-1,8.787383595083396e-05,0.615154260590675,0.18259880511018658
1-0,0-1,5.7709881045721133e-05,0.536426899105605,0.4519420211032209
1/2-1/2,0-1,7.191434276643281e-05,0.5222580310467475,0.4393668808988582
0-1,1-0,9.612361428381034e-05,0.3974319396194906,0.5891467518293068
0-1,0-1,6.88837305792923e-05,0.5503965577002494,0.4330278444814559
0-1,1-0,8.148879363948757e-05,0.4795291156097815,0.5081861512429625
0-1,0-1,5.706702701363471e-05,0.6036991688859231,0.3750723680241202
1-0,1-0,5.5028234660664715e-05,0.3807785967992499,0.591260334108878
1-0,0-1,5.1756780129366845e-05,0.5946999906748716,0.3929720523718308
0-1,0-1,7.101123018375913e-05,0.5387544866371496,0.4409710890383331
0-1,1-0,8.25389538585603e-05,0.43897487612768477,0.5468235061892197
0-1,1-0,5.9032778108021104e-05,0.47442732550290345,0.5048920597432446
0-1,0-1,7.254205540998245e-05,0.5860976271514124,0.3995670598856533
0-1,0-1,7.514710412750427e-05,0.5993454164401223,0.3240482899852989
0-1,1-0,8.602873602115964e-05,0.4934124047587394,0.4936872734258264
1-0,0-1,8.764201069977123e-05,0.5765581273482101,0.40903985721789654
0-1,1-0,7.079669491559535e-05,0.4119744483267724,0.5762907523071517
0-1,1-0,9.859430165983705e-05,0.3177344351357118,0.6701578885355902
1-0,0-1,6.252241584742633e-05,0.5183314010553928,0.4236346989736869
1-0,0-1,5.4235443816280315e-05,0.6120380074101754,0.37213359208356006
1-0,1-0,6.739751915151204e-05,0.4509559814786461,0.5268374122720771
1-0,1-0,4.206065348820492e-05,0.47588149069904223,0.5024814976263301
0-1,1-0,4.607876105087215e-05,0.4646797935485596,0.5236772740011516
0-1,1-0,7.04012024858989e-05,0.47213809914574073,0.5091461470086449
0-1,0-1,5.5228435137709516e-05,0.568481312809727,0.41757887059299714
0-1,1-0,6.0757088593464854e-05,0.4286748842812786,0.5599675484091652
1-0,1-0,5.131046286215502e-05,0.41202744897855875,0.5745117124601771
1-0,1-0,5.107947390600155e-05,0.4142948635118813,0.5744247438619068
0-1,1-0,4.9446354835116836e-05,0.36483413379114327,0.6238182651390901
0-1,0-1,6.273056071294263e-05,0.5291521422434297,0.4542061486449266
1-0,1-0,5.068681240488253e-05,0.4386464587357754,0.5286157095418766
0-1,1-0,7.620985424820721e-05,0.4255015790950444,0.550174236891326
0-1,1-0,5.180765771157483e-05,0.23797100324483517,0.7333274700539519
