y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,0-1,5.997972150800883e-05,0.5522262403404348,0.3588141016536816
0-1,0-1,9.273489771815345e-05,0.5385211125815436,0.44762496950697345
1-0,0-1,7.182330570091333e-05,0.5050084500979479,0.48312045844349744
1-0,0-1,7.907136279400907e-05,0.6120115157482551,0.35663606129044834
0-1,1-0,5.998613704578001e-05,0.3139363754221951,0.6609338528695753
0-1,0-1,5.828602172390908e-05,0.5263746850883777,0.3442572330460094
1-0,1-0,6.666789143952044e-05,0.4383957565584661,0.46027991068997043
1/2-1/2,1-0,9.165224927667071e-05,0.44895616453687137,0.5356733579132541
0-1,0-1,7.589065052373044e-05,0.5093735919368629,0.4785879228640925
1-0,1-0,8.739111295579549e-05,0.39193965714223244,0.5949326663612265
1-0,1-0,8.883680292841191e-05,0.39955390465709445,0.5872127064886966
0-1,0-1,7.596790674348154e-05,0.5209568050281735,0.4650608671564286
1-0,1-0,7.700927311874907e-05,0.4085599713127079,0.5766800480749638
1-0,1-0,7.181021133704219e-05,0.4584617650711404,0.5229937845947523
1-0,0-1,8.376890138495463e-05,0.5612591475524135,0.4223730170534358
0-1,0-1,6.883555160745564e-05,0.6119550999933726,0.3198088882427671
0-1,0-1,5.9374473367065236e-05,0.576998893726352,0.4012124891277923
1-0,0-1,9.06154007644259e-05,0.5323688671758393,0.4530276425355978
0-1,0-1,6.799718896168787e-05,0.5717097640324854,0.4009972146059841
1-0,1-0,7.651257601822833e-05,0.4436784984169804,0.5451004779250099
0-1,0-1,7.980759922085916e-05,0.5266184405574817,0.4510553898207022
0-1,0-1,7.659685736823595e-05,0.5021109049435348,0.47155411670195224
0-1,1-0,8.671429126234466e-05,0.4820451043149735,0.5055958505634379
1-0,1-0,7.583060492521941e-05,0.47971244599762364,0.5061926396620313
0-1,0-1,9.070194941137212e-05,0.5521011932415077,0.4341842289761494
0-1,1-0,6.692722700122536e-05,0.4836980143647641,0.503879213159137
1-0,0-1,6.29876070722025e-05,0.5572378510746876,0.33810202769354974
0-1,1-0,7.283990341885594e-05,0.45217220485985044,0.5314690393000367
0-1,1-0,5.767709894014794e-05,0.34435376563213727,0.6396035741482834
0-1,1-0,7.277626528287735e-05,0.47475232368680553,0.49922877605180427
0-1,0-1,7.71895075730115e-05,0.5961689547160973,0.391663123821918
0-1,1-0,5.680442168136973e-05,0.33292702639787924,0.598366676986943
0-1,1-0,8.19576747819189e-05,0.3401118896190771,0.5876783222500492
1-0,0-1,6.766740306792648e-05,0.5273431503879515,0.35678111908605803
1-0,1-0,7.99942787068454e-05,0.39335920080050385,0.5238804593637124
0-1,0-1,0.00010087750997163514,0.4972728525888307,0.48733012728677977
0-1,0-1,9.452871883561241e-05,0.5466826775782282,0.43972239496532073
0-1,0-1,7.832955268674979e-05,0.5817599842567929,0.4053300427880534
1-0,1-0,6.83604564046581e-05,0.3926968369194462,0.5091852983176721
0-1,1-0,5.75131991967297e-05,0.36543256605516405,0.6053114466414367
0-1,0-1,6.755090973263325e-05,0.5835194889139205,0.40326389443272814
1-0,1-0,9.12409491170468e-05,0.4869281387230866,0.4998161719173582
0-1,1-0,8.941283616178238e-05,0.3973545653911878,0.589687356645939
1-0,0-1,5.611123402100281e-05,0.5247978206295374,0.4601704789351577
1-0,1-0,6.0684678262989e-05,0.38867220112969814,0.5115304521702162
1-0,1-0,8.297333755117953e-05,0.35854653126028146,0.6289404080158294
1-0,1-0,6.693279411523935e-05,0.4060855463110624,0.5179348879407505
0-1,1-0,8.055985841935517e-05,0.2796047173551564,0.701955342154404
0-1,0-1,7.231556090534992e-05,0.6255923387536668,0.35373073703339625
1-0,1-0,8.449760464963121e-05,0.4539944327810423,0.5274027148283977
0-1,0-1,8.264896782524825e-05,0.5082632511972673,0.4795078813607929
1-0,0-1,5.980232441855431e-05,0.5449991277660526,0.40205388175506446
0-1,0-1,5.645207537913123e-05,0.5485887434248369,0.4349196504279216
1-0,1-0,6.366271804521403e-05,0.4761205313065777,0.5127002856654472
1-0,1-0,6.009264050036541e-05,0.40399997002720545,0.5288714425177623
1-0,1-0,6.23803279324502e-05,0.41109457059446824,0.5774500790932382
0-1,1-0,9.519655924758546e-05,0.41278605935205115,0.5755061725489513
0-1,1-0,7.068665233349574e-05,0.3644224522883356,0.6182673797423323
0-1,0-1,6.566399246267064e-05,0.4889614029028878,0.42622208316725174
0-1,0-1,8.179054650559627e-05,0.5033518512596098,0.4697705278057655
0-1,1-0,9.85319201736552e-05,0.4647595796029981,0.5214637227037333
0-1,1-0,6.902394112058449e-05,0.46377972689854907,0.5177764327745313
1/2-1/2,0-1,7.720484846071084e-05,0.5222777531256416,0.46139148114538375
0-1,1-0,7.968224840453678e-05,0.33560987679187493,0.6141373665658202
1-0,1-0,9.355792544244104e-05,0.47499235044375443,0.502731269168849
0-1,1-0,7.365008982459794e-05,0.3717974435094039,0.588149509698713
1-0,0-1,6.96858587051021e-05,0.5385075414755167,0.44719218741205435
1-0,0-1,6.270506083862727e-05,0.558302835585511,0.42670235537533174
0-1,0-1,6.236901775874013e-05,0.5348910566328184,0.39694060810600934
1-0,0-1,5.7833811853899015e-05,0.5167855114630171,0.3981567849722373
1-0,1-0,6.999363027264421e-05,0.36735308090039864,0.5922669588730293
1-0,1-0,5.8828433876810036e-05,0.33189243267613266,0.6001889781116551
0-1,1-0,6.449203754638314e-05,0.27776537971172405,0.6942499064601071
1-0,0-1,8.386118415990774e-05,0.5430572570636764,0.4380784011858606
0-1,1-0,8.592803355543687e-05,0.2814012535944827,0.7054648332483936
1-0,1-0,9.889842787694835e-05,0.4510191489590405,0.5364646362599846
1-0,1-0,7.32700646435472e-05,0.390720313457843,0.5121901795118489
1-0,0-1,7.414207287253031e-05,0.5262050756957071,0.45932537362627157
1-0,1-0,7.968776394767519e-05,0.4410597976740641,0.5448133111690084
1-0,1-0,9.210367024851008e-05,0.36324663405891877,0.6212855817532467
1-0,1-0,8.797280688438845e-05,0.403432496265755,0.5824880539316241
1-0,1-0,6.314297577012457e-05,0.43456254202799743,0.5540313445641072
1-0,1-0,6.31686181917318e-05,0.4898835218473563,0.4982722762832615
1-0,1-0,6.827884465508706e-05,0.2997418052400931,0.6524737763067331
1-0,1-0,6.761848455388161e-05,0.4271460138928639,0.5521997529086199
1/2-1/2,1-0,5.620781357843335e-05,0.28409830174494316,0.6162300615142698
0-1,0-1,6.841544047366583e-05,0.5299197683452507,0.45830483517783
1-0,1-0,7.072094681919565e-05,0.3687613293163199,0.6004366963412567
1-0,1-0,6.352592402681288e-05,0.3778168279295956,0.6093494154608579
0-1,1-0,8.19936044471268e-05,0.38591924969029007,0.6024620550306652
0-1,1-0,6.65460070844844e-05,0.4877738146817086,0.4968815535048742
1-0,0-1,6.594612808441984e-05,0.5208355722005906,0.4647706027515738
