y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,0-1,8.428228520805207e-05,0.6144941139759825,0.3660548288888859
1-0,0-1,8.578966443015072e-05,0.51394016749964,0.4655428646902009
1-0,0-1,8.354136245881924e-05,0.5689403015770393,0.41194159296233146
1-0,1-0,8.423033191726242e-05,0.28448355648696677,0.6960872739894208
0-1,0-1,8.368309506165816e-05,0.5716591615867292,0.40914769831634473
1-0,0-1,8.583715400548562e-05,0.5808489449684459,0.3981145702345891
0-1,0-1,8.427226932153122e-05,0.6244922540022327,0.35606092102846976
0-1,1-0,8.574631135599965e-05,0.37152102464771547,0.6080471901800625
1-0,0-1,8.547372107897515e-05,0.5394977785553414,0.4384826596164907
1-0,1-0,8.486643323537033e-05,0.4069902700774526,0.5732897152423664
1-0,0-1,8.367284756060907e-05,0.5042350589773582,0.35938036440630705
0-1,0-1,8.339509819883768e-05,0.49552032368705556,0.4855423866870914
0-1,1-0,8.362551249857511e-05,0.4340836999376422,0.5467518446027998
1-0,1-0,8.349162886699689e-05,0.28632569835536315,0.6945878780362411
1-0,0-1,8.456547892937225e-05,0.5220170338152275,0.4584082875110609
1-0,1-0,8.581450448306088e-05,0.2838766679327254,0.6955428149716295
1-0,1-0,8.404994989988196e-05,0.46510683581663603,0.5159261581212875
1-0,1-0,8.34686499300202e-05,0.28503690945510635,0.48356872900011594
0-1,1-0,8.437624117784879e-05,0.2743046950134768,0.7063847198074397
1-0,1-0,8.480288136367581e-05,0.44449978998074957,0.5358125424181281
1-0,0-1,8.349097416187968e-05,0.516323964835322,0.4645900620396984
0-1,1-0,8.580934925072264e-05,0.2863914862577609,0.6930425886394618
0-1,1-0,8.545439416871301e-05,0.3617902218886778,0.6181119484054992
1-0,0-1,8.551022761913273e-05,0.6017554467042181,0.3780975843148866
0-1,1-0,8.445539572278225e-05,0.3826206550631293,0.5978733644708525
1-0,0-1,8.519279573648088e-05,0.5284118643918247,0.44878788767786615
0-1,1-0,8.577437433441989e-05,0.45053940188436775,0.5281891917630852
1-0,1-0,8.54334832819849e-05,0.4543021397870539,0.5256174557377232
