y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,0-1,8.506520105828765e-05,0.3770705217041901,0.3703699682088509
0-1,1-0,8.682745668095882e-05,0.37636828016498647,0.60354353105431
1-0,0-1,8.75809281669832e-05,0.5586537824049991,0.42216763378303235
1-0,1-0,8.672581567466126e-05,0.3638293846095886,0.6160406336988536
0-1,1-0,8.522844962635689e-05,0.44256915140482955,0.5340020564552865
0-1,1-0,8.743309895278556e-05,0.4558659438330216,0.5250216336622966
1-0,0-1,8.675647047017135e-05,0.5538411732496804,0.4260412054244789
1/2-1/2,0-1,8.67565414450313e-05,0.553841200482304,0.42604120703973736
0-1,1-0,8.768349584285566e-05,0.48888459930855455,0.49184066158878625
1-0,1-0,8.738978493555399e-05,0.3465693158800338,0.4486487632025925
1-0,1-0,8.490234561743812e-05,0.4324538860537246,0.5465073985445185
0-1,1-0,8.769379166533449e-05,0.47906605356010235,0.5014904608519082
1-0,1-0,8.769002217243238e-05,0.3364042549193248,0.6443093286100534
1-0,1-0,8.770257111285569e-05,0.38154827668687896,0.5990362163377099
1-0,1-0,8.75140819670393e-05,0.3190998619382407,0.6612202660600155
0-1,1-0,8.762332381179141e-05,0.42124116438371073,0.559550539583069
0-1,0-1,8.717879552411823e-05,0.607872490219464,0.3730684933169904
1-0,0-1,8.501186264215281e-05,0.545178157403569,0.43391085449859057
0-1,1-0,0.00011232998041548697,0.263492757633845,0.6052141781499307
1-0,1-0,8.757555589666265e-05,0.42364301916809477,0.5571816571458174
0-1,1-0,8.756597346002199e-05,0.3466065378696025,0.5687643441414377
0-1,0-1,8.734280318397731e-05,0.44405484911740434,0.43112966549733467
0-1,0-1,8.760904292735482e-05,0.5991067585407017,0.3813122892008687
1-0,0-1,8.76951605226935e-05,0.5090638928234377,0.4714963676301754
0-1,0-1,8.486446693318933e-05,0.5273456067384934,0.4515542224987788
0-1,0-1,8.751807466232282e-05,0.5460300547924507,0.382324619259479
1-0,0-1,8.48141681722686e-05,0.5021274047298034,0.4766488167398897
0-1,1-0,8.769611746158748e-05,0.46656228347046136,0.5140006955336285
0-1,1-0,8.666145788060098e-05,0.45174336168073315,0.5292072542954062
0-1,0-1,8.482901627175644e-05,0.7264360618444474,0.2519519335455455
0-1,0-1,8.77037308872041e-05,0.6239565113293544,0.3567212691486484
0-1,1-0,8.606738673088274e-05,0.3960763980310295,0.5783861194310221
0-1,1-0,8.75277490644798e-05,0.23160211929159868,0.7487307738729897
1-0,1-0,8.498105144621506e-05,0.3006223553028334,0.6198275580558568
1-0,0-1,8.597946172963723e-05,0.5560081723399417,0.4235897058858846
0-1,1-0,8.617153375522521e-05,0.46610029825129745,0.5135662679562927
0-1,0-1,8.6491573955383e-05,0.5662370685453747,0.34854370130143564
0-1,1-0,8.769380346036878e-05,0.47906603559685224,0.5014905104319974
1-0,0-1,8.480023255293223e-05,0.7245122170807059,0.25419887826239734
0-1,1-0,8.674395687696852e-05,0.3044564248299645,0.6764987276386953
0-1,1-0,8.556670094625491e-05,0.4278778645459077,0.547593952910502
1-0,0-1,8.73004267099349e-05,0.5290410131312276,0.39111503925988483
0-1,0-1,8.748502464397662e-05,0.5090941440581329,0.4712000326667564
1-0,1-0,8.53379882309509e-05,0.36411906193505006,0.6120023137758227
1-0,1-0,8.513494403577131e-05,0.40837345242957024,0.568549425811746
1-0,0-1,8.769305852575105e-05,0.511567149255794,0.4689874210011063
1-0,0-1,8.76022792314084e-05,0.6786971454215844,0.30211029500458203
0-1,1-0,8.480214493166802e-05,0.27915676758201075,0.6393542744530876
0-1,0-1,8.755256373184147e-05,0.5166053480450539,0.46375178413583557
1-0,0-1,8.754224950345752e-05,0.5691041550074782,0.4112427242044375
0-1,0-1,8.770833436415401e-05,0.6740218939293559,0.3065957712380581
1-0,0-1,8.698418811082072e-05,0.6724852413523321,0.3084704097572098
0-1,0-1,8.656030403968369e-05,0.5564386598798545,0.4220024518987254
1-0,1-0,8.667005282005146e-05,0.3992667725650553,0.5816844358261444
1-0,1-0,8.517159652033301e-05,0.33555112249038543,0.5862331463036421
1-0,1-0,8.65680895704986e-05,0.3489643858086723,0.5294776454614236
0-1,1-0,8.756608568075385e-05,0.2916065459511393,0.5687644532713158
0-1,1-0,8.498566904698596e-05,0.4505940727234653,0.5248412190397889
0-1,1-0,8.482347105715885e-05,0.2846808466511287,0.6941256219396719
0-1,0-1,8.627759825634263e-05,0.5836474930098754,0.3960565587239378
0-1,0-1,8.554313377413e-05,0.628246175210233,0.35117758654578224
0-1,1-0,8.505868646820725e-05,0.2823084994480854,0.6952411121620855
1/2-1/2,1-0,8.488259121845977e-05,0.4086382946205881,0.46708600202501116
0-1,0-1,8.573635128761234e-05,0.5858739705129905,0.39363171929876417
1-0,1-0,8.579409627008778e-05,0.3534080948441732,0.6261203274757643
0-1,1-0,8.505462474903044e-05,0.41990956022843795,0.5576874221197049
1-0,1-0,8.754872377131268e-05,0.3085898882437528,0.672249796792256
1-0,0-1,8.723840052733305e-05,0.5554888697609429,0.4254439219507018
0-1,0-1,8.502334546193583e-05,0.5803189712903576,0.3974766916421675
1-0,1-0,8.513183676218613e-05,0.3909027083522396,0.5860326549988093
1-0,1-0,8.767351478591516e-05,0.23158686267473738,0.7489254856245288
1-0,1-0,8.684858896712113e-05,0.2846985941177406,0.6962590083193345
0-1,1-0,8.530174769017533e-05,0.3094201806188457,0.6668484622174475
1-0,1-0,8.751407912308184e-05,0.31909986143717456,0.6612202639443068
0-1,1-0,8.483296874994665e-05,0.4322267036601454,0.5466057332038404
1-0,1-0,8.600166375754428e-05,0.4735193443097644,0.5060865905859993
1-0,1-0,8.533066672343832e-05,0.3380715958303506,0.4262458892960706
1-0,0-1,8.482501408906756e-05,0.6114627303423981,0.3669400673730084
1-0,0-1,8.47935355454751e-05,0.5018654755343639,0.4767628265243318
1-0,1-0,8.59728380694095e-05,0.2810048093620352,0.6985906568832705
1-0,1-0,8.751442850449823e-05,0.3190999228933012,0.6612205240824829
1-0,1-0,8.689861333625234e-05,0.2873069990845056,0.693650566055726
1-0,1-0,8.707658033160473e-05,0.36017110228942684,0.6207795909529815
1-0,1-0,8.702017144430362e-05,0.28394070871678406,0.6935583305584969
1-0,1-0,8.766958500645122e-05,0.35134715640069947,0.6293982808174656
1/2-1/2,1-0,8.528121498894196e-05,0.2871015733385088,0.4917536506490586
0-1,0-1,8.750977506091762e-05,0.6260139499009063,0.354844451765917
1-0,0-1,8.485895555929821e-05,0.5698273222727304,0.40656213788642376
