y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,0.0,0.3921114004770185,0.5743510087031487
1-0,0-1,0.0,0.5033042419733749,0.46132394430408613
1-0,1-0,0.0,0.4562576460337201,0.5085087822393224
1-0,1-0,0.0,0.4632642398019142,0.5256280797581059
1/2-1/2,0-1,0.0,0.41500000000000004,0.37
1-0,0-1,0.0,0.527963025747408,0.45658620800931465
0-1,0-1,0.0,0.5284213409919958,0.42546571625408913
1-0,0-1,0.0,0.5623506091289843,0.4344035008636077
1-0,1-0,0.0,0.41921591693338534,0.5617745325851226
0-1,0-1,0.0,0.5323193992321591,0.4581544500204323
0-1,1-0,0.0,0.4081496406767561,0.5864321819515332
0-1,0-1,0.0,0.6160610097459802,0.14424410583308256
1-0,0-1,0.0,0.5402781371637502,0.45546788482370526
1/2-1/2,0-1,0.0,0.5239778256170927,0.43850454949903805
0-1,1-0,0.0,0.41982944550471324,0.5608354654212009
0-1,0-1,0.0,0.5427518450547606,0.4434095084019231
0-1,1-0,0.0,0.4476298134889785,0.531372302485925
0-1,0-1,0.0,0.5871924181279777,0.39391864788922193
1-0,1-0,0.0,0.41155719359849985,0.5375206682177558
1-0,0-1,0.0,0.56591920758455,0.41483421584669256
0-1,0-1,0.0,0.5376884439787045,0.4459079164364824
0-1,1-0,0.0,0.45294975225536954,0.5186470123784395
0-1,0-1,0.0,0.49385465100580683,0.475235459010111
0-1,0-1,0.0,0.5279031484234574,0.4614973225115504
0-1,0-1,0.0,0.5951312498754138,0.36565564810593076
0-1,1-0,0.0,0.4518248095174787,0.5223745468516529
1-0,0-1,0.0,0.532201948686253,0.45825503546097623
0-1,1-0,0.0,0.45894889665354477,0.5175815046143033
0-1,1-0,0.0,0.3120307090319425,0.6689364023571726
1-0,0-1,0.0,0.5212405478948811,0.46184522194214545
1-0,0-1,0.0,0.5690760148203506,0.39926718416712015
1-0,1-0,0.0,0.4598976668918344,0.5158807890698687
1-0,0-1,0.0,0.48743146327197856,0.4795881270385959
0-1,0-1,0.0,0.5443595870971193,0.43516906485631074
0-1,1-0,0.0,0.4392761982914816,0.5232922940172898
0-1,0-1,0.0,0.5619868168662291,0.42015774118599425
0-1,1-0,0.0,0.4283871264366117,0.5571044876414885
1-0,1-0,0.0,0.39405489795711757,0.5840234249203541
1-0,1-0,0.0,0.4223885407737947,0.558730254991247
0-1,1-0,0.0,0.41684914912656934,0.5729339289625164
0-1,0-1,0.0,0.5279502439981986,0.46293275454629834
1-0,1-0,0.0,0.40997807642834727,0.5422314190837534
0-1,1-0,0.0,0.4154798832825303,0.5553471870379684
0-1,1-0,0.0,0.2589666136416008,0.716883023870162
0-1,0-1,0.0,0.5119334150352957,0.45809424351895883
1-0,0-1,0.0,0.5598449292473512,0.41573428631182074
1-0,1-0,0.0,0.48157413803459403,0.4964268374078081
1-0,0-1,0.0,0.4964379455278355,0.47337701459618176
0-1,0-1,0.0,0.4775092447400949,0.4333500824831268
1-0,1-0,0.0,0.446769973422881,0.5235105986557831
1-0,1-0,0.0,0.3526268531211194,0.6387006883250147
0-1,1-0,0.00020202915807601457,0.45978974817644613,0.4931284123948382
