y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,1-0,0.0,0.33889435117457545,0.5501926193165656
0-1,1-0,0.0,0.4631154179006034,0.49701621397137363
1-0,1-0,0.0,0.4294200145269613,0.5500119641840924
1-0,1-0,0.0,0.3294697512669724,0.6499891371432678
0-1,1-0,0.0,0.4205766400885445,0.5516199374206945
0-1,1-0,0.0,0.462448939252151,0.4997278231872897
1-0,0-1,0.0,0.5332957750689034,0.4469660010745479
1/2-1/2,1-0,0.0,0.3894716905087432,0.589990531808803
0-1,1-0,0.0,0.4628918023628269,0.4990419226531905
1-0,0-1,0.0,0.6140123475363793,0.3673561071609936
1-0,1-0,0.0,0.3294438679768903,0.5498982042955078
0-1,1-0,0.0,0.32946392761923615,0.6499562664590243
1-0,1-0,0.0,0.42942493503582857,0.49890545598014274
1-0,0-1,0.0,0.4633947066904587,0.4481327813321567
1-0,0-1,0.0,0.6340448742478816,0.34750443718799895
0-1,1-0,0.0,0.46268647396907303,0.49936947801579623
0-1,1-0,0.0,0.4294732243578777,0.5513354400566736
1-0,0-1,0.0,0.5311003118431379,0.4473749239821078
0-1,0-1,0.0,0.3956834786683468,0.35381134013069926
1-0,0-1,0.0,0.532781186549449,0.45001200470238284
0-1,0-1,0.0,0.5340488012853837,0.4475759161585648
0-1,1-0,0.0,0.46343016829049105,0.4971969317595063
0-1,1-0,0.0,0.46350631626748134,0.49776200349976363
1-0,0-1,0.0,0.5339404551152156,0.44811127665418016
0-1,1-0,0.0,0.4599728704893514,0.4974604627033278
0-1,0-1,0.0,0.5327857112239456,0.4500120369926329
1-0,1-0,0.0,0.4290771877642957,0.5499495083521753
0-1,1-0,0.0,0.4634351284245302,0.4979874233235846
0-1,1-0,0.0,0.42949275925770036,0.44994594370318663
0-1,1-0,0.0,0.4286024110495952,0.5499651742100171
0-1,1-0,0.0,0.4294301210555016,0.49874476081656016
0-1,1-0,0.0,0.4116130215336848,0.45008640861838245
0-1,1-0,0.0,0.4635382282804783,0.49745844831821406
1-0,1-0,0.0,0.45608896363017787,0.4990355771136722
1-0,0-1,0.0,0.6326209340637476,0.3470086571413591
0-1,0-1,0.0,0.6331509429133719,0.34696279794601065
0-1,1-0,0.0,0.42946754992100633,0.44697255712322914
0-1,0-1,0.0,0.6339202863318159,0.34816590932780045
1-0,0-1,0.0,0.529447264760035,0.34802164490433085
0-1,0-1,0.0,0.6303585510937167,0.34994181645034844
0-1,1-0,0.0,0.217177312527466,0.6280824303927446
1-0,1-0,0.0,0.4634644339511601,0.4972405258270203
0-1,1-0,0.0,0.4294941778795247,0.5499604486080476
1-0,1-0,0.0,0.32500892798814485,0.5518649140455796
1-0,1-0,0.0,0.45095220069484754,0.5011227386553663
1-0,1-0,0.0,0.42945943334981607,0.5499585044565224
1-0,0-1,0.0,0.5333650059168552,0.4492163273328256
0-1,1-0,0.0,0.4290671571902238,0.5499498569404028
0-1,1-0,0.0,0.42949475390929703,0.4474672713025118
1-0,1-0,0.0,0.22949193199810236,0.7499571841325792
0-1,1-0,0.0,0.4294470708888717,0.5499666836893862
1-0,1-0,0.0,0.4294873178147004,0.5517295183077535
0-1,0-1,0.0,0.6294642718674017,0.3499654228015249
1-0,1-0,0.0,0.4289296816748954,0.5545719179999793
1-0,1-0,0.0,0.3468479225454777,0.6260714523597463
1-0,0-1,0.0,0.5294408332512945,0.44998386898658904
0-1,1-0,0.0,0.2344842950220172,0.7449528384236939
0-1,1-0,0.0,0.3769686135724213,0.5499938501837442
0-1,1-0,0.0,0.4587580457855684,0.4979273649512256
0-1,1-0,0.0,0.4294561899447499,0.49693525195839416
0-1,0-1,0.0,0.5322856118077475,0.4470676446618522
0-1,1-0,0.0,0.2255494416944664,0.7499804949669051
1/2-1/2,1-0,0.0,0.3434169184830141,0.5499706508852733
0-1,0-1,0.0,0.5321775250474053,0.44709008674398154
1-0,1-0,0.0,0.46205101515129166,0.49695421267067347
0-1,0-1,0.0,0.4553699626321614,0.34934119472163117
1-0,1-0,0.0,0.42942430049057534,0.5500133757190706
1-0,0-1,0.0,0.4612013767988573,0.44997873495330676
0-1,1-0,0.0,0.4256510799148374,0.5499824142332042
1-0,1-0,0.0,0.4211520215604248,0.5513716202442662
1-0,0-1,0.0,0.6340215816638168,0.34782949994100054
1-0,1-0,0.0,0.45977567932487917,0.5030407060314929
0-1,1-0,0.0,0.4192341105104648,0.5521989890440634
1-0,0-1,0.0,0.6340448667934855,0.3475043632425589
0-1,1-0,0.0,0.4599348181817251,0.49747393422841996
1-0,1-0,0.0,0.46249821408321207,0.4969355168374906
1-0,1-0,0.0,0.46089719265047313,0.4971702213202443
1-0,0-1,0.0,0.6294484447126428,0.348181030119073
1-0,1-0,0.0,0.4590754010831789,0.49779961362292224
1-0,1-0,0.0,0.3294514419190265,0.6499535223370612
1-0,0-1,0.0,0.7340393563429802,0.24772507151359874
