y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,0.47168585522817075,0.49437189098592627,0.07578914631186205
1-0,1-0,0.4218361553571559,0.5582460328477132,0.005742845072572537
1-0,0-1,0.5912167375705228,0.3860628528668209,0.02272040956265568
0-1,1-0,0.4672193967046945,0.4761122122654336,0.029646062716091527
1-0,1-0,0.4233151834909633,0.5587544155513772,0.006626226585513869
1-0,1-0,0.28845736966830204,0.7047369961300214,0.006805634201676469
0-1,1-0,0.4686941281407764,0.4815139160145201,0.04073095865432702
1-0,1-0,0.41396161051385294,0.5154381566311236,0.0762047309265409
1-0,0-1,0.5633943335277576,0.4157546823136058,0.020850984158636992
1-0,0-1,0.5221936707362614,0.4641549221565901,0.00919171654038569
0-1,1-0,0.28534562530260926,0.6987399158470664,0.004679491623223052
0-1,1-0,0.4402413531578086,0.4755163746072558,0.0353547778568839
0-1,1-0,0.319123206317793,0.6615419303191689,0.0050613831936297095
1-0,1-0,0.46186390692090085,0.5209382222350635,0.004003556640133716
1-0,1-0,0.36891248952908506,0.6157926080989604,0.0044145683193078395
1-0,0-1,0.5086764634068693,0.4750425904137948,0.01628094617933599
1-0,1-0,0.48597675484157743,0.4947225703142858,0.016040731811968616
0-1,1-0,0.2857153854791378,0.6941957464473749,0.00704227563287623
1-0,1-0,0.38924159821880505,0.5690178428825532,0.020649809726313507
1-0,1-0,0.46567412306278244,0.4876241393556471,0.0701443972568518
1-0,0-1,0.4852903899529183,0.4284476852429823,0.08784350207206705
1-0,1-0,0.3576192050385475,0.6170534945992187,0.012736546578929569
0-1,1-0,0.39076514960728387,0.4906516803339037,0.13336719844679928
1-0,1-0,0.39610582631792535,0.5840072918941481,0.004857435995177851
1-0,1-0,0.41149795296393016,0.5686824621323012,0.006978874945805404
1-0,1-0,0.38151316789307255,0.6029101253487816,0.005726183581792468
1/2-1/2,0-1,0.5239992909429927,0.24520227905495065,0.12995411804300824
0-1,0-1,0.51,0.3061250444842223,0.1399055250410824
0-1,1-0,0.4637418580272368,0.4979955338407943,0.017526744875446698
0-1,1-0,0.42731474686005594,0.5219280889253151,0.03356244427297227
0-1,1-0,0.4209593309438352,0.5522509009017236,0.005900173767636058
1-0,1-0,0.38550607129137104,0.5823550565508386,0.030328824729409683
0-1,1-0,0.45863550005545584,0.5206254004436124,0.006923235895080974
0-1,1-0,0.45583165078687166,0.4976539336100918,0.03582940089038629
0-1,1-0,0.32661473838221,0.653496638084534,0.006966900279524802
0-1,0-1,0.6176864831167452,0.3771504513185713,0.00516306556468357
1-0,1-0,0.363491555502805,0.6252792743585562,0.003623082397655862
1-0,0-1,0.5632028352259818,0.4341920334688943,0.002605131305125001
0-1,0-1,0.552261584472099,0.4209964394199726,0.006807457875576621
0-1,0-1,0.6036633034478305,0.37857480484495265,0.01776189170721676
1/2-1/2,1/2-1/2,0.335,0.28500000000000003,0.38
0-1,0-1,0.6228094320444499,0.36971558780154834,0.007474980154000169
0-1,1/2-1/2,0.20500000000000002,0.34,0.455
1/2-1/2,1-0,0.42000000000000004,0.5145278099331361,0.03990312430358517
0-1,0-1,0.5623695960356402,0.4193698578227786,0.0182605461415808
0-1,1-0,0.3708502395812115,0.5989150261264014,0.030234734292387842
1/2-1/2,0-1,0.5097951936725673,0.41619019887009123,0.06547037832381075
1-0,1-0,0.48137017179177366,0.4919887260449263,0.006409201305332404
1-0,0-1,0.5399753885903782,0.45440518659860757,0.005619424811014175
0-1,0-1,0.58005869765158,0.3813646879092261,0.030960640258528807
1-0,1-0,0.20708199922651016,0.7926859222094695,0.005232078564020946
0-1,1-0,0.45684327925961854,0.5306267322829867,0.003743770641781474
