y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,0-1,6.024799149620323e-05,0.6038045965021013,0.30959055260149265
0-1,0-1,9.768141552177087e-05,0.490730424385842,0.49540177678923775
1-0,1-0,7.211749458109865e-05,0.4577698854056419,0.5303578685733027
1-0,0-1,7.331269224079604e-05,0.6187905435550111,0.34996468963624794
0-1,1-0,6.685110121757955e-05,0.3161401413758501,0.6586977772259169
0-1,0-1,5.780604798001689e-05,0.5199902444005909,0.3496237425026415
1-0,0-1,5.970924339590204e-05,0.4376121780087427,0.3610869007900177
1/2-1/2,1-0,8.521760126788292e-05,0.4040034060922336,0.5806631347489499
0-1,1-0,7.596528791944258e-05,0.5073727300562778,0.4805778279792323
1-0,0-1,8.545097793055971e-05,0.39541701149570035,0.5914468436560795
1-0,1-0,9.91929838693804e-05,0.39972881612215916,0.5870888058867392
0-1,0-1,7.138803567379356e-05,0.5259934826431704,0.4600891489258423
1-0,1-0,8.08389101211232e-05,0.4591425604577729,0.5261219308343092
1-0,0-1,6.79183291322883e-05,0.49821898808276854,0.48329198207223245
1-0,0-1,8.487351825375745e-05,0.563219964560391,0.42042753101046876
0-1,0-1,6.658741623488679e-05,0.5573673555178433,0.3743994963475202
0-1,0-1,5.647224998587826e-05,0.6222895781021174,0.35596063177713605
1-0,1-0,0.00010482823189968182,0.481847120067896,0.503480902742573
0-1,0-1,8.120530127056406e-05,0.6726470046949261,0.2990449207801985
1-0,1-0,7.405590579486484e-05,0.451037262809905,0.5377976127835019
0-1,0-1,8.052716854451966e-05,0.42363160337871686,0.5540777845400139
0-1,1-0,7.481423418993931e-05,0.43754303503326647,0.5336782134418183
0-1,0-1,8.690341439032672e-05,0.4868514817112647,0.5007795039457632
1-0,0-1,7.492458755450084e-05,0.5254325553313961,0.4604988264046854
0-1,1-0,0.00010010324422888898,0.4562519920084618,0.5300078718365357
0-1,1-0,6.334872010427543e-05,0.43599579695100377,0.5515597813610833
1-0,0-1,5.898533056240507e-05,0.5032035953080186,0.3395946294451295
0-1,1-0,7.538699462121353e-05,0.45155264268553724,0.5321968518279132
0-1,1-0,5.808772139235071e-05,0.34764053470316714,0.6364134065206398
0-1,0-1,8.166491152628602e-05,0.4920122876996772,0.43184718367934294
0-1,0-1,7.644991437722838e-05,0.595044194635844,0.39276694611259366
0-1,1-0,6.0810728685802937e-05,0.32682719767050944,0.604519136162205
0-1,1-0,8.552119221486037e-05,0.3862084714954345,0.5941156216190641
1-0,0-1,7.26475822412085e-05,0.5249131151057106,0.35924517517108345
1-0,1-0,7.999311368157803e-05,0.3885982234560629,0.5286932090466797
0-1,0-1,0.00011162528554708407,0.4958832315571814,0.4887488782972744
0-1,0-1,9.954149029835728e-05,0.6069532973466087,0.37942668762711584
0-1,0-1,7.500749636905596e-05,0.4828012508336712,0.504281030605238
1-0,1-0,6.679742106018722e-05,0.3444177286784325,0.5574737229673659
0-1,1-0,5.921407814490874e-05,0.4034418998574034,0.5647579846217746
0-1,0-1,7.595767702580772e-05,0.6387220656379647,0.3480740419484535
1-0,0-1,9.602415570503925e-05,0.48449229247744807,0.502249383853066
0-1,1-0,9.450815979894374e-05,0.39366878077901085,0.5933778591238794
1-0,0-1,6.120541879013624e-05,0.5161620043098026,0.4688711402807192
1-0,1-0,6.339195926979675e-05,0.3831488247692994,0.5170079854085826
1-0,1-0,8.771752873284916e-05,0.30396276644770137,0.683545723576916
1-0,0-1,5.9887424230551334e-05,0.4545997172916607,0.4694226231378531
0-1,1-0,9.274942125181674e-05,0.3320496256535701,0.6494346109486723
0-1,0-1,6.490100550403278e-05,0.6265430287708016,0.35283129474588004
1-0,1-0,8.738070541515758e-05,0.44734468024295504,0.5340624194081474
0-1,0-1,8.567093764476448e-05,0.5067066961842546,0.4811061674884226
1-0,0-1,5.572112537047485e-05,0.5982972190527022,0.34911049790540133
0-1,0-1,5.388018211716981e-05,0.561248407879744,0.42220653274893216
1-0,1-0,6.33299077194331e-05,0.4762688097500917,0.5124931317664396
1-0,1-0,6.740013608964195e-05,0.4031682386077024,0.529657782300861
1-0,1-0,6.282066577648745e-05,0.36108389672286184,0.6275513865322222
0-1,1-0,9.571356593798676e-05,0.4147469533850224,0.5736529594248907
0-1,1-0,8.029627396835942e-05,0.3640968956067282,0.6185381043704543
0-1,0-1,6.394391268042541e-05,0.39678368138720316,0.4684323988864985
0-1,1-0,8.19096995612136e-05,0.4494643042124338,0.5236941915038538
0-1,1-0,0.00010866034789408261,0.375110602403405,0.6110487323620009
0-1,1-0,7.807894247386839e-05,0.4633399380091161,0.5181758733423638
1/2-1/2,0-1,8.675205065276772e-05,0.6219050528440182,0.36180269721117253
0-1,1-0,7.08176894245473e-05,0.3894649059223686,0.5103182071704685
1-0,0-1,0.00010460483993963923,0.4708550689937244,0.5068190286102581
0-1,1-0,6.538153209630991e-05,0.3763545104582784,0.5836417754193355
1-0,0-1,6.683177007319789e-05,0.48690537849661597,0.498739813589935
1-0,0-1,6.0771136027514425e-05,0.5625746378306818,0.42243385274362943
0-1,0-1,6.26247677480227e-05,0.4820692034073102,0.4497058245320686
1-0,0-1,5.8631986917954174e-05,0.5147959202708621,0.3999280916792931
1-0,1-0,6.355375915442966e-05,0.410831943277442,0.5488331114901298
1-0,1-0,5.5954779238365775e-05,0.3863833670898932,0.5432131223522824
0-1,1-0,6.263021805063172e-05,0.28345675780381707,0.6885744951576165
1-0,0-1,8.523635979974053e-05,0.5422807539374891,0.4388697582659825
0-1,1-0,9.474709970861618e-05,0.32643329593155174,0.66049447068365
1-0,1-0,0.0001029297183307982,0.407237329968348,0.5803215307259888
1-0,1-0,7.038044888775878e-05,0.3348512075289712,0.6180779270724772
1-0,0-1,8.28577045835116e-05,0.49205226199309016,0.49335480287603417
1-0,0-1,8.802380143227182e-05,0.49964061557796446,0.4861736261606414
1-0,1-0,0.00010112368388365728,0.3103986651933137,0.6740971925089566
1-0,1-0,7.885702579684163e-05,0.404784533333493,0.5812522752143342
1-0,1-0,6.252746860302874e-05,0.4840545082517271,0.5045286808808034
1-0,1-0,6.292230627092003e-05,0.488446484558107,0.4997403753958302
1-0,1-0,6.318725174116186e-05,0.3434311634654887,0.608791264654688
1-0,1-0,6.731202885574572e-05,0.47395097614138426,0.5079497903601246
1/2-1/2,1-0,5.7238633142231355e-05,0.33114340817413707,0.568959113143678
0-1,0-1,6.501325805934365e-05,0.4816738505402578,0.5064863359233238
1-0,1-0,6.929833049777964e-05,0.413462653872457,0.5557597050167994
1-0,1-0,6.314377906880327e-05,0.4207085620452722,0.5655044661370985
0-1,0-1,7.380701373519402e-05,0.39588436567455515,0.5924806717456284
0-1,0-1,6.336329406258114e-05,0.4798365839169784,0.5048560837083861
1-0,1-0,6.435856415342326e-05,0.420241017601377,0.5653518709053438
1-0,0-1,7.881650174860624e-05,0.5733567022177222,0.4105970115420729
1-0,1-0,5.7292502992202935e-05,0.41904622856503504,0.557698342502677
0-1,0-1,5.971272204407882e-05,0.5201699153112325,0.46991925355382924
1-0,0-1,7.911167349913645e-05,0.5804749845866423,0.3320401428941057
0-1,0-1,7.653060025610483e-05,0.5014462185449725,0.48574549137424483
1-0,1-0,7.635299006562241e-05,0.3461019107856292,0.6255209169743465
0-1,1-0,8.332586345164346e-05,0.43064095604222596,0.5559050290287597
1-0,1-0,6.531056985093743e-05,0.17389767837865705,0.8170113360554495
0-1,0-1,6.753358259245753e-05,0.529452134650021,0.4566149879920379
0-1,0-1,6.548169407996743e-05,0.6119451096716334,0.3764909789617611
1-0,1-0,6.31215248180595e-05,0.37079083599476154,0.5396608211862086
0-1,0-1,6.249812734189072e-05,0.6126313618634425,0.37580448642986797
1-0,1-0,6.425295169597198e-05,0.386130446528237,0.5645908403736415
0-1,1-0,8.904795223889294e-05,0.4394529720675905,0.5447085560404008
0-1,1-0,6.54637330775978e-05,0.37432632863483545,0.5375122205574029
0-1,0-1,6.830809750958524e-05,0.6306705786881378,0.3417383269748836
1-0,1-0,6.444109563811592e-05,0.3385565383967435,0.5654222837695615
1-0,1-0,9.148232974651353e-05,0.52601538307954,0.46190322333819533
1-0,1-0,6.458757913975542e-05,0.40408262525785016,0.3976100116031483
0-1,1-0,8.792568379806224e-05,0.470588157191996,0.5174021998377066
1-0,0-1,7.385132211585784e-05,0.6980665663261403,0.28855034836514415
0-1,1-0,5.549361044114568e-05,0.35822231566029344,0.63003604488225
0-1,0-1,6.081457386316274e-05,0.6612348988030251,0.3261532083006369
1-0,0-1,5.867486720421735e-05,0.5475727291709457,0.4411557962678275
0-1,0-1,9.030521816885697e-05,0.6497083019001404,0.33416081424208177
1-0,1-0,6.080077023557712e-05,0.3812340618242552,0.4622295705270302
0-1,1-0,6.405190092219949e-05,0.31158509567592674,0.5771759776941053
0-1,0-1,0.00010152932216925178,0.467500766810915,0.5183667892412841
1-0,1-0,8.064772692606148e-05,0.39952839613989144,0.5843829911480375
1-0,0-1,0.00010167059820327051,0.5157289777875091,0.46777562483468793
0-1,1-0,5.608170206989918e-05,0.5080527310773817,0.4774502513697164
0-1,1-0,5.773082474374376e-05,0.33144587218478744,0.5576667488936008
1/2-1/2,1-0,6.723648651406541e-05,0.410705115266905,0.5297720718583178
1-0,0-1,6.668412487764367e-05,0.30069818663355086,0.41063917640054526
1-0,0-1,7.049155784465445e-05,0.5169776024023753,0.4520701861572923
0-1,0-1,7.30739275488897e-05,0.5517522316671806,0.4358042713462422
0-1,0-1,7.098271289797327e-05,0.6012868145893765,0.2833815365776762
0-1,1-0,8.362039991650734e-05,0.4662636970593473,0.4943127024767614
0-1,1-0,9.327021924845447e-05,0.4505359305566564,0.5374998320103619
0-1,1-0,8.791061244257025e-05,0.4423729439599136,0.5456295743446246
0-1,1-0,6.991673793135044e-05,0.4961692503374286,0.47220560092334574
1-0,0-1,6.287122528519802e-05,0.5188845318387993,0.46953021006790924
0-1,0-1,5.987519144516281e-05,0.5070933745958233,0.45495020155456833
