y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,5.4231614139590585e-05,0.3259858096771864,0.662660915674685
1-0,0-1,5.2362596001917284e-05,0.5016722022958833,0.3897469183038666
1-0,1-0,7.209411990571866e-05,0.5157648640119291,0.4611169706046917
1-0,1-0,9.395621829987737e-05,0.4757238084500662,0.5119772659108025
1/2-1/2,0-1,6.93919960498985e-05,0.378858704720658,0.4095403846575021
1-0,1-0,5.4466153316696805e-05,0.49715560043881735,0.48984193310026003
0-1,0-1,5.38087905659862e-05,0.5670348295446347,0.3996426222309327
1-0,0-1,4.662545528342963e-05,0.5363233356048303,0.4517975986291333
1-0,1-0,7.214728082723486e-05,0.4308201660833293,0.557339242683096
0-1,0-1,5.9374353349769764e-05,0.556107041892872,0.43074508372568954
0-1,1-0,6.85929682360198e-05,0.4080796529434191,0.5731279785876376
0-1,0-1,0.00017262687417121493,0.5959390251426202,0.1916070737379148
1-0,0-1,6.034274572392419e-05,0.5194229747535057,0.4684876020133857
1/2-1/2,1-0,7.457013851594794e-05,0.4604038623940502,0.5020431753057127
0-1,1-0,9.919510519095993e-05,0.42007306947727807,0.5666027011274714
0-1,1-0,7.033676476384811e-05,0.4971810491394413,0.4823177736526544
0-1,0-1,8.458866471820651e-05,0.5312737986951327,0.4567873700059296
0-1,0-1,6.23935012542345e-05,0.5768988993774875,0.38827356866947116
1-0,1-0,5.7915593700305014e-05,0.3284987316082377,0.6455686071141293
1-0,0-1,5.392058633612824e-05,0.5508813048102228,0.4360282920817906
0-1,1-0,7.442286207345524e-05,0.4434471060542756,0.5406585951576135
0-1,1-0,8.664033509052473e-05,0.46327666820899194,0.5233677883832568
0-1,0-1,6.118763351411315e-05,0.480947235925101,0.48311807645724036
0-1,0-1,7.437378329898773e-05,0.6234036991283081,0.36139714423729186
0-1,0-1,7.674379608776577e-05,0.5544853965198773,0.3355880513661651
0-1,1-0,8.976132398832088e-05,0.4649744589463284,0.5225165044015055
1-0,0-1,9.098520785477957e-05,0.5733423719321009,0.4126140891879128
0-1,1-0,7.37886977870125e-05,0.4079066135034344,0.579832459941519
0-1,1-0,0.00010169268967880615,0.44034190098284864,0.5475753349371153
1-0,0-1,6.590038446102977e-05,0.49305397809988577,0.47708450759636833
1-0,0-1,6.017383119465213e-05,0.6035965831602426,0.3810499465440793
1-0,1-0,7.032741126092197e-05,0.39498095526606664,0.5819375275975377
1-0,0-1,4.488230958694188e-05,0.43877067332594905,0.5427106398203383
0-1,0-1,5.035989218011792e-05,0.4222306063223549,0.5648464070677333
0-1,1-0,7.364583128345074e-05,0.44961891990081737,0.5314590425001836
0-1,0-1,6.00171537434448e-05,0.5703035269793123,0.4045935693574765
0-1,1-0,6.295384332141886e-05,0.3888367563020983,0.5921764416160316
1-0,1-0,5.3684242668344345e-05,0.4124232618308664,0.5716527791277065
1-0,1-0,5.354769537718158e-05,0.42063743849061097,0.565212250857751
0-1,1-0,5.176895796958239e-05,0.39206051298455263,0.5963717506382977
0-1,0-1,6.614301835868482e-05,0.5060878437880321,0.47856206863487716
1-0,1-0,5.33642084289695e-05,0.41053959676544055,0.5656391682081173
0-1,1-0,7.955197451512975e-05,0.39938597846358326,0.585070627998536
0-1,1-0,5.456411674971902e-05,0.27930629392268824,0.7023904391611883
0-1,0-1,7.486206111115486e-05,0.36863431423292703,0.6033465824220674
1-0,0-1,5.379406221913073e-05,0.5665005271867294,0.396895421182613
1-0,0-1,5.455202854736067e-05,0.5525608892282391,0.43563179561438015
1-0,0-1,8.673974517819996e-05,0.5369162209527304,0.4458386561214487
0-1,0-1,5.286608934407189e-05,0.5003265166491834,0.43448866441069467
1-0,1-0,8.063028778484997e-05,0.4133367598443872,0.5705827665057585
1-0,1-0,5.3977525284781806e-05,0.37003541688691677,0.6186948935552614
0-1,0-1,0.00010389299551554191,0.5697657519476301,0.41718253496892593
0-1,1-0,5.591025567297399e-05,0.42867837419788035,0.5393626805486679
1-0,1-0,5.607281938519035e-05,0.4456024031486673,0.5292992008358512
0-1,1-0,8.62791095490871e-05,0.45619857254063817,0.5268427085293816
1-0,0-1,5.545979121026527e-05,0.5222508440589066,0.45870917558141655
1/2-1/2,0-1,6.426860531333882e-05,0.5655218048026606,0.4207127721100966
1-0,0-1,5.926647540944629e-05,0.6385139381567415,0.29204274883849174
0-1,1-0,9.139910534636685e-05,0.4468742846757707,0.5381603221990241
1-0,1-0,6.266102570247051e-05,0.4845242454384844,0.5047021875545317
0-1,0-1,7.783129544113879e-05,0.6146829770044967,0.37254316195063886
