y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,6.14622350982693e-05,0.41283403344064185,0.5684944704597074
1-0,1-0,6.07616909983716e-05,0.45989573040156795,0.5136090759387948
1-0,0-1,7.969661080228447e-05,0.5414889198924576,0.438337418237242
1-0,1-0,9.176111442576699e-05,0.48867135495861935,0.49944749757476053
1/2-1/2,0-1,0.00018903418993900808,0.3365052457128113,0.3138325919518929
1-0,0-1,6.13678489157257e-05,0.5346196586157358,0.4532201497296108
0-1,0-1,6.260148636791378e-05,0.4801173299276165,0.49477618195745937
1-0,0-1,5.643061264153602e-05,0.5637639078913244,0.42533990808180294
1-0,1-0,7.844074066472777e-05,0.3407764354712775,0.6359890590875275
0-1,1-0,6.889885018893969e-05,0.4782722697706866,0.5081042945359192
0-1,1-0,8.017645071128138e-05,0.4405288296955307,0.547740779505195
0-1,0-1,0.00012321926937567738,0.5552106863711866,0.22859882215473587
1-0,0-1,6.624167451516833e-05,0.5860335680525917,0.40282643934289675
1/2-1/2,0-1,8.294595944778019e-05,0.47302891488592075,0.4885134513430529
0-1,0-1,9.304793950759929e-05,0.44476643009108435,0.5422535338649759
0-1,1-0,7.158356381003416e-05,0.45971957849842393,0.5236787674414759
0-1,1-0,8.785478306778061e-05,0.4817348011190964,0.5065618370257124
0-1,0-1,7.580485190383795e-05,0.5436985859700941,0.43490867291788027
1-0,1-0,6.803530996144564e-05,0.38297321128301515,0.5890842052644978
1-0,1-0,5.963795796327392e-05,0.49739386977569733,0.49024089701421886
0-1,0-1,8.168660446920099e-05,0.5348324160511286,0.44480264662986024
0-1,1-0,8.604864102671696e-05,0.44480482519632003,0.5415619244998857
0-1,0-1,6.610303342291405e-05,0.6289397257962936,0.3505086000824773
0-1,0-1,7.43694866177213e-05,0.5383402392294356,0.44721433557068757
0-1,0-1,8.043815389557324e-05,0.5505596943805102,0.3727966362383703
0-1,0-1,8.891818355467662e-05,0.5475642052269485,0.4403257564503865
1-0,0-1,9.015171843572894e-05,0.5785328787511658,0.4072607010788282
0-1,1-0,8.683020334557996e-05,0.4126523811044394,0.5751419620550389
0-1,1-0,9.698082901444736e-05,0.41920473374221934,0.569391409073758
1-0,0-1,7.316861307394774e-05,0.56962437577996,0.3223621036138888
1-0,0-1,7.404026549186932e-05,0.5501411586741602,0.4338614272833131
1-0,0-1,8.111130409041248e-05,0.5016125409150896,0.47609963635222824
1-0,0-1,5.5403193615367585e-05,0.5200224484082192,0.45904407696410654
0-1,0-1,5.806014194999663e-05,0.409064181704505,0.5793628241709138
0-1,1-0,8.14608677048862e-05,0.42350442270363714,0.5576640179549672
0-1,0-1,6.658867828234879e-05,0.6112816726263393,0.37537949029227213
0-1,1-0,6.689945187419167e-05,0.33147630964466074,0.657465655581166
1-0,1-0,6.402688380424035e-05,0.3591476957111654,0.6280773749331707
1-0,1-0,6.169817836345543e-05,0.41447075307053965,0.5745128528138699
0-1,1-0,6.024740014861219e-05,0.31986903835000313,0.6701611203023737
0-1,0-1,7.38373737446943e-05,0.5310439639054181,0.45303115882700906
1-0,1-0,6.270453724315047e-05,0.43641859922397885,0.5308922367871556
0-1,1-0,8.501210530364562e-05,0.4212788645078315,0.5543288626515136
0-1,1-0,6.381330180841332e-05,0.2423131241318004,0.7288822429380531
0-1,0-1,8.088176974241527e-05,0.603825206862887,0.38099999736092294
1-0,0-1,7.203242357146985e-05,0.6561653426084669,0.3169618366538242
1-0,1-0,6.507483589137399e-05,0.4457127957868787,0.543720301299311
1-0,0-1,8.656599161801418e-05,0.46649623404943114,0.5137694561308828
0-1,0-1,5.788914413055176e-05,0.5465311773222717,0.35583413577300166
1-0,1-0,8.238126098116948e-05,0.47428885791159825,0.5113055465928027
1-0,1-0,6.322659213146943e-05,0.33014496226774975,0.6570915295018039
0-1,1-0,0.0025947954184031706,0.48815490405899004,0.4791506498959344
0-1,1-0,6.60718152749754e-05,0.4341210932952324,0.5470815757623325
1-0,1-0,6.170153467850183e-05,0.3901895789118299,0.5860941182324704
0-1,1-0,8.385632027000826e-05,0.3236972872984861,0.6621291632919077
1-0,0-1,6.660467993322366e-05,0.6196931435652845,0.3658074235335222
1/2-1/2,0-1,6.677520251004832e-05,0.5972506925581857,0.3898675427625993
1-0,0-1,6.432918193412162e-05,0.6101471254320641,0.310631506653291
0-1,1-0,8.988503400168695e-05,0.4570614441379703,0.5308707763526193
1-0,0-1,6.813604408796802e-05,0.5164884722808823,0.46785615019161986
0-1,0-1,7.879990895795493e-05,0.5999076408220372,0.38855992832428954
0-1,1-0,8.8129703119746e-05,0.3967549224122589,0.5897497613762549
0-1,1-0,8.879450910239595e-05,0.31492998089830226,0.6685386021667099
0-1,0-1,7.695677066298657e-05,0.6645973593615393,0.30594659644527944
0-1,0-1,8.154961966431612e-05,0.407618785552587,0.5057725770697512
1-0,1-0,5.7937948670169355e-05,0.5035127434920009,0.484435495946877
0-1,0-1,7.634405142764182e-05,0.611790811434739,0.37320141719954025
1-0,0-1,6.132251158946718e-05,0.5445829232878548,0.39759212248187425
1-0,0-1,6.111864157078784e-05,0.5473407158763457,0.43782274222693757
1-0,0-1,6.047979201769323e-05,0.40240385551969565,0.3537653259030707
1-0,0-1,5.710360093347099e-05,0.5005960633844889,0.48780145661439767
1-0,1-0,7.443164452272307e-05,0.3231292094143043,0.6318243917623316
0-1,1-0,7.409745617067828e-05,0.2879617744816816,0.600003853553289
1-0,0-1,6.49185180347858e-05,0.43682028194602607,0.5525463535331463
0-1,1-0,5.52202173321355e-05,0.45423253749793435,0.5299931162556604
1-0,0-1,8.11016816553549e-05,0.5742415218717286,0.40828111832820396
1-0,1-0,9.251485989566963e-05,0.3885118368914869,0.5983560033010823
0-1,1-0,8.736078181072569e-05,0.3711749402127895,0.6002829467818582
0-1,1-0,6.525328915692634e-05,0.5402896417199885,0.44089596647105056
1-0,1-0,6.067128193771944e-05,0.4863514985282483,0.49526057478051033
1-0,0-1,6.882287081319416e-05,0.5747125402275762,0.30599979513399783
0-1,0-1,8.206004924922613e-05,0.5732968353625839,0.39171732332176556
0-1,1-0,9.284009347844258e-05,0.47027079506034536,0.5186824564063041
1-0,0-1,8.138198534814199e-05,0.47903114545862535,0.5035721590268785
0-1,1-0,9.510188226398096e-05,0.46215339903369324,0.5262073970385828
0-1,0-1,5.8679006457400714e-05,0.5533185030792865,0.43422852693892855
0-1,0-1,6.129107028972697e-05,0.5520069036961407,0.4362301543835905
0-1,0-1,8.640349401912764e-05,0.5112428472840427,0.4707115419797702
1-0,0-1,5.835994213217964e-05,0.5348005641939149,0.4531170044896743
0-1,1-0,7.664586653551365e-05,0.3644682154359877,0.6109310738557765
1-0,0-1,7.893066275159718e-05,0.4897656917025114,0.46649063132018787
1-0,1-0,6.0712560903853214e-05,0.46193220673607815,0.5218818862001923
1-0,0-1,7.199427390479918e-05,0.5181889532411915,0.44525310750239167
1-0,0-1,7.661104877798545e-05,0.5115027957534097,0.473773090847281
0-1,0-1,5.567735703566828e-05,0.5899322422647859,0.39653164289593246
1-0,1-0,6.256290851172252e-05,0.3953185145131432,0.5905054870421573
0-1,1-0,7.345393409844286e-05,0.46435093586547993,0.5236482145101756
0-1,0-1,9.66313853755522e-05,0.5606615179874299,0.42788206485946106
0-1,0-1,7.568121470684248e-05,0.5669712691955504,0.40429840427338115
1-0,1-0,7.419210785271398e-05,0.37642431719391944,0.6078257888885052
0-1,0-1,9.943740274816787e-05,0.6392954480921378,0.34861424106591327
0-1,1-0,7.39217234191137e-05,0.4671739589833701,0.5199869377475755
0-1,0-1,7.734859129938575e-05,0.6397376299076,0.3422364510538197
0-1,0-1,7.165741975215196e-05,0.710672957652754,0.2672778783635125
0-1,1-0,8.86440563923921e-05,0.43491546338937775,0.5021516092150062
1-0,1-0,9.557365389803148e-05,0.4308671377840573,0.5569035888723786
0-1,1-0,9.216355381921818e-05,0.4640107435578889,0.5246397799259995
1-0,0-1,6.706887032136718e-05,0.5431792630633745,0.4409515599762321
0-1,1-0,6.627388898317286e-05,0.46138048583372887,0.5177826245429864
0-1,1-0,9.528140851678923e-05,0.16992205961935047,0.8215971152920741
0-1,1/2-1/2,0.00025014182256804325,0.02527034877217466,0.1537314248897273
0-1,1-0,7.590090717253551e-05,0.4419005067887537,0.5461117715066535
