y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,0-1,8.580528185400338e-05,0.5435620359453983,0.44399554447510425
0-1,1-0,6.902096305027585e-05,0.3615167542200233,0.62715364488597
1-0,1-0,7.014157086695092e-05,0.4402982982712549,0.5481536313314387
0-1,1-0,7.60202932814791e-05,0.31441006866011245,0.671980849939197
1-0,1-0,7.495745698061215e-05,0.2898754513465434,0.6977024226626651
0-1,1-0,7.435883881665956e-05,0.36012376043406213,0.6108034716187907
0-1,0-1,8.1921139352826e-05,0.5408036450338196,0.44065989771396996
0-1,1-0,6.885101763886116e-05,0.49996243578235294,0.467587038960893
0-1,1-0,9.391835956633532e-05,0.4578911639159927,0.5297634408251402
0-1,0-1,6.85307170215861e-05,0.550430554770368,0.4273178339487041
0-1,1-0,7.079934688842647e-05,0.44133095162017755,0.5471192420853814
1-0,1-0,6.977277753851897e-05,0.39349405184856245,0.5937999563485996
1-0,1-0,8.418595352664118e-05,0.38817479023647855,0.5978486987423399
1-0,1-0,8.77608148812776e-05,0.5002715097282175,0.48658458868992543
1-0,1-0,6.87930817642081e-05,0.32395983395795414,0.6648445016365045
1-0,0-1,8.71943165246325e-05,0.5265767442525697,0.46049191180644045
1-0,0-1,7.405049166019556e-05,0.5559938281067025,0.4309525210997821
0-1,1-0,8.58257793048484e-05,0.40389418735888405,0.5824828995059622
1-0,1-0,6.960787165291532e-05,0.4556959508787344,0.5324304605665247
1-0,1-0,9.31948369289852e-05,0.44044966898051535,0.5465918098559536
0-1,1-0,7.264673766198004e-05,0.42599669334439083,0.5619695434816541
0-1,0-1,7.457390951284528e-05,0.5772759622744468,0.4087132308145126
0-1,0-1,8.949854082233116e-05,0.5342541586786309,0.3988418150761176
0-1,0-1,8.366938321011607e-05,0.6712318859816895,0.31098881053760147
1-0,0-1,8.081843681994285e-05,0.5267330808075861,0.4614588360919437
0-1,0-1,6.96980317747632e-05,0.6071465819716899,0.3792201100083741
1-0,1-0,7.526464107318873e-05,0.5220492800883921,0.45265571996908716
0-1,0-1,9.105569291828025e-05,0.6042896265780332,0.3822397970443521
1-0,1-0,7.449755730806839e-05,0.3914115016245367,0.596691664297792
0-1,0-1,7.846467899110499e-05,0.5580010454792043,0.42744288244123624
0-1,1-0,7.801926632451992e-05,0.31166313307803034,0.6728464310177417
1-0,1-0,9.281934316391797e-05,0.40154761360696095,0.43621568387366344
0-1,0-1,7.05588768073679e-05,0.5288942802115068,0.4568303897401746
0-1,1-0,7.231961937663197e-05,0.3788773050061739,0.6095119262418317
0-1,1-0,7.004085460313965e-05,0.5004644245405205,0.486313218458828
1-0,0-1,6.93692745437541e-05,0.6518562805077486,0.3164657894827256
1-0,1-0,7.295612808712063e-05,0.4432079949954789,0.537439005489371
0-1,0-1,0.0001000145098331818,0.3770722622819266,0.2994096908664328
0-1,1-0,6.815264839207657e-05,0.47765315179862466,0.49181471880610017
0-1,0-1,9.178311877714156e-05,0.6013199305721487,0.3858642696683021
0-1,0-1,7.373647400058749e-05,0.6051722419448581,0.37687348530301396
1-0,1-0,7.080676500351827e-05,0.37919186076638506,0.6071052272586086
0-1,1-0,9.546925103394033e-05,0.5363842217576572,0.44968937707332957
1-0,1-0,9.218740190994378e-05,0.3864901428468349,0.5987961221372635
1-0,0-1,9.572261953691904e-05,0.5237760221956842,0.4632560765975723
0-1,0-1,9.621425283238636e-05,0.6387578340982758,0.34825756749254916
0-1,0-1,8.813764681416317e-05,0.6141065673264332,0.3133682669630924
1-0,1-0,7.591968707127344e-05,0.47176416444193114,0.5165079443337277
1-0,0-1,0.0016401007187839235,0.3702856031154648,0.3071370948165267
1-0,0-1,7.330966931881374e-05,0.5215213699568091,0.46247284317292764
0-1,1-0,7.877034808288496e-05,0.4728292405556256,0.4983828394212594
1/2-1/2,1-0,7.601047251309473e-05,0.44536079023333636,0.5347723558645355
1-0,1-0,6.861218766689137e-05,0.38758594664777685,0.5951103121993284
1-0,1-0,9.626280809679236e-05,0.4054152257780319,0.581901893181571
0-1,0-1,6.807825005321448e-05,0.5569134133988387,0.29824574255421055
0-1,1-0,7.102167437232165e-05,0.4740802463804533,0.5131736026447599
1-0,0-1,9.279063632267475e-05,0.5519426784495652,0.43292457674706375
0-1,1-0,9.540387567921845e-05,0.49926061969041063,0.48683064624370465
0-1,1-0,0.0025929803237924928,0.4531459621130343,0.5311838867908626
0-1,1-0,6.968452868052992e-05,0.32806044683731267,0.6602285588205167
0-1,0-1,9.510919453857907e-05,0.6005070204335702,0.38705859764080386
0-1,1-0,7.131923173138606e-05,0.5165920493962963,0.4688813494017754
0-1,0-1,7.339919069162322e-05,0.6524646151418726,0.3358155482906112
1-0,1-0,7.19469667738034e-05,0.44667876100274617,0.5404327691542059
0-1,0-1,7.286185239345975e-05,0.5442531923246323,0.44270447520511325
1-0,1-0,7.199010561999255e-05,0.42730748977429023,0.32701958374430473
0-1,1-0,6.80331133447017e-05,0.38976617306704886,0.5656149003541855
0-1,1-0,6.868600106295147e-05,0.37904300278831476,0.5946030024592508
0-1,0-1,7.252487657671804e-05,0.6634054262460876,0.30408658057222837
0-1,0-1,6.841500761333009e-05,0.6005121147978943,0.38830164449992294
1-0,0-1,7.043079877107243e-05,0.5731702305310817,0.40498052638644333
1-0,1-0,7.248864553462176e-05,0.4417443360431944,0.5457536077187675
0-1,1-0,7.440171895538452e-05,0.5030932884697653,0.4841019463744658
0-1,0-1,7.035740830314216e-05,0.6366055700591088,0.34981474733561835
0-1,1-0,6.815622013835095e-05,0.34990074862142534,0.4655037370613384
0-1,1-0,7.833870279347407e-05,0.3243569910556186,0.5310021805355709
0-1,1-0,8.791074601826895e-05,0.4772205886173647,0.510766471874084
0-1,0-1,7.308325925636257e-05,0.6476820529250078,0.3395199188297725
0-1,0-1,9.325098594569893e-05,0.2726003281019296,0.49663284828526605
1-0,1-0,7.423971163746152e-05,0.4668585165530327,0.521450674842239
1-0,1-0,7.12217266378738e-05,0.5219405133502935,0.43754918456234565
0-1,1-0,6.790203520581492e-05,0.3798858540348004,0.6086274766021054
0-1,1-0,6.769842279797685e-05,0.42009981489423665,0.5683002974744096
1-0,1-0,6.952327724442295e-05,0.3152564351262379,0.6727920132239307
1-0,1-0,7.117410078408767e-05,0.4073561900320352,0.5037096015792729
1-0,0-1,6.791455544527433e-05,0.5664969770944107,0.2987923448629334
0-1,1-0,8.297828145395387e-05,0.32023069347469185,0.6589907301415573
1-0,1-0,7.002850843001084e-05,0.30655065350044214,0.6819223307520278
1-0,0-1,7.740079978459051e-05,0.6508393122926593,0.33653398317035244
0-1,1-0,6.806701644971951e-05,0.3672412122123376,0.5604891502260487
1-0,0-1,6.851919279577275e-05,0.6522925779434043,0.28877338648445794
