y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,7.169873340903998e-05,0.46182469942754356,0.5160409421119656
1-0,0-1,7.019906407246863e-05,0.5575184981231751,0.41410935285624617
1-0,0-1,7.175302701294597e-05,0.5460268240765915,0.4323056722888105
1-0,1-0,7.155052101230931e-05,0.4545162500041659,0.5313372599243764
1/2-1/2,0-1,9.894856444616476e-05,0.4639044040415596,0.2447104732471036
1-0,0-1,7.169452734220065e-05,0.5261799183489255,0.45786115100333813
0-1,0-1,8.096885722332263e-05,0.5164100533042398,0.4560779083758855
1-0,0-1,6.026546703524598e-05,0.5704640649608551,0.419600251890744
1-0,1-0,7.912418599562476e-05,0.39842675375152786,0.5752018139367954
0-1,1-0,7.368968734417404e-05,0.4774679229638149,0.5046329916660262
0-1,1-0,8.319347489313895e-05,0.2823200535479096,0.7030476853998936
0-1,0-1,7.875535817315138e-05,0.6216305449452928,0.18723039817773518
1-0,0-1,7.393477167325553e-05,0.5117408847128602,0.4732089857494913
1/2-1/2,0-1,6.959489471392006e-05,0.524583372482501,0.4369668420174424
0-1,1-0,7.132919017328487e-05,0.351914266715472,0.6342416637977542
0-1,0-1,7.312429797481289e-05,0.5477997054136258,0.43439865337226247
0-1,1-0,7.300683804048764e-05,0.3778016367955054,0.6077871536705749
0-1,0-1,8.726794160178346e-05,0.6949060389239545,0.28364251429518206
1-0,1-0,9.038696555822834e-05,0.4254387447020101,0.5439857718429315
1-0,0-1,7.440644996685043e-05,0.5866816787866518,0.3971883200479734
0-1,0-1,7.133135396778207e-05,0.6413202268600451,0.33727567250489704
0-1,1-0,7.187140162324798e-05,0.34841024121664826,0.6358575838558034
0-1,0-1,7.47014291458109e-05,0.5157251644731392,0.46168653634069323
0-1,0-1,7.527291396256516e-05,0.48142167572613803,0.5029027168517203
0-1,0-1,7.181745492996241e-05,0.5436934042635274,0.42928414809958404
0-1,0-1,7.175228312388692e-05,0.5489352594306689,0.43643743912623123
1-0,0-1,7.045644519655232e-05,0.48291536954858905,0.50221452674445
0-1,1-0,7.555411141266206e-05,0.46799722669414795,0.5186481463236281
0-1,1-0,7.180293424503228e-05,0.3718274188947903,0.6151080912492808
1-0,0-1,8.151018763119721e-05,0.5678544390549285,0.3215188451133568
1-0,0-1,9.32093813376774e-05,0.5610952960173359,0.4207509726833854
1-0,1-0,6.952937770290921e-05,0.4483918265151434,0.5290039429210456
1-0,0-1,6.217261965289455e-05,0.5170685177751048,0.4606338137815886
0-1,0-1,7.580333870104725e-05,0.6088566699915332,0.37630144132648874
0-1,1-0,7.334277484672293e-05,0.4728292601375376,0.5074526527443693
0-1,0-1,9.78453365356755e-05,0.5645262878658404,0.4192920682066365
0-1,1-0,7.2680195808169e-05,0.47639045054674267,0.5083375543391502
1-0,1-0,7.020420660939244e-05,0.30796593614242873,0.6806775602601624
1-0,1-0,7.005873124100324e-05,0.3661583986252762,0.6190134387323352
0-1,1-0,5.94080890334639e-05,0.3186635041966442,0.673781144847907
0-1,0-1,7.74783845330454e-05,0.532869009235596,0.4472561548190288
1-0,1-0,8.602195178033533e-05,0.43408457952415536,0.5302982389896982
0-1,1-0,7.019500730425509e-05,0.4234353145160338,0.5515524729687368
0-1,1-0,7.880955037856847e-05,0.2895978350431258,0.6781979478530574
0-1,0-1,7.58586737993591e-05,0.6517829536526758,0.33287255649752745
1-0,0-1,7.2948366844639e-05,0.6588895179229834,0.3125216851811069
1-0,1-0,7.87880274001099e-05,0.45984070431305296,0.5258316334409652
1-0,0-1,7.183426363585825e-05,0.5180387727967466,0.4570230835281635
0-1,0-1,6.622595106537902e-05,0.4985089794037918,0.4035591443074402
1-0,0-1,7.393537626743285e-05,0.5840480091444037,0.3992198323376495
1-0,1-0,6.495083146906539e-05,0.38029149402049534,0.6089835579420941
0-1,1-0,0.0025708839076277316,0.4418329735824444,0.4745229400511867
0-1,1-0,7.279107470343245e-05,0.4400424900973975,0.537027575100323
1-0,1-0,7.215990769673888e-05,0.3264310633741098,0.6462767732482182
0-1,1-0,7.326157788688956e-05,0.37305521249144447,0.6122875196837811
1-0,0-1,7.366553001870802e-05,0.5756923339679496,0.40530482117817446
1/2-1/2,0-1,7.40674517727988e-05,0.6346595561243804,0.3494692256608906
1-0,0-1,7.413516344091397e-05,0.5949448200297142,0.37309048595160244
0-1,1-0,7.168295344740491e-05,0.38326909467714515,0.6022480112844263
1-0,0-1,7.403146471403518e-05,0.5131253535032565,0.46680643396226407
0-1,0-1,8.1422805253827e-05,0.5530447588154914,0.4334049658411916
0-1,1-0,7.097785459086751e-05,0.4010191906618815,0.583688803714406
0-1,1-0,7.137927490771975e-05,0.3186231229044678,0.6644584645229955
0-1,0-1,7.135011626372625e-05,0.6129524707097466,0.3575574991004437
0-1,0-1,7.16878262073653e-05,0.5146040072526227,0.39877805590425747
1-0,1-0,7.013207081591953e-05,0.44878016489574984,0.5361788685045381
0-1,1-0,7.450091768073095e-05,0.5147926068468123,0.4661848444739617
1-0,0-1,7.15307365241907e-05,0.4398707564574062,0.44828509098391656
1-0,0-1,7.57277387060656e-05,0.6394187632921668,0.34228032278562703
1-0,0-1,7.475373372423283e-05,0.4907767604756139,0.41319135627689774
1-0,0-1,6.590991142288365e-05,0.5050923930424883,0.48161538383914815
1-0,1-0,6.889818566245538e-05,0.32529578701124395,0.629596387985303
0-1,1-0,6.983007272936545e-05,0.38956673159389205,0.5504832486071362
1-0,1-0,7.559650615103615e-05,0.3930220570099416,0.592282902905271
0-1,1-0,6.706208883884645e-05,0.44929901967035135,0.5319355674000235
1-0,0-1,9.79157726268395e-05,0.5659806922438391,0.4140367307868958
1-0,0-1,7.070357801668572e-05,0.49355933053014,0.49225089499811914
0-1,1-0,6.980800899642313e-05,0.42868468727613496,0.5424739423626579
0-1,0-1,7.587538623996655e-05,0.5919161067938825,0.3856743091119573
1-0,1-0,7.219040716664435e-05,0.4226781467713435,0.5551795744383381
1-0,0-1,8.111560631807594e-05,0.5638731840550122,0.3153501144760878
