y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,0-1,0.0,0.4669183421937453,0.4636270534745627
0-1,0-1,0.0,0.4827801159407505,0.47225694989368655
1-0,1-0,0.0,0.45583235376645215,0.5110709553713381
1-0,0-1,0.0,0.52620289833058,0.4228363010249483
0-1,1-0,0.0,0.441159685863988,0.4934791226048147
0-1,0-1,0.0,0.484999642239532,0.4755285274086577
1-0,0-1,0.0,0.4998925394568336,0.4490524218907717
1/2-1/2,1-0,0.0,0.3896317352150964,0.5852870378319257
0-1,1-0,0.0,0.4629479419444087,0.5019679241086653
1-0,0-1,0.0,0.5042005800958584,0.4502408694496198
1-0,1-0,0.0,0.46750792812068215,0.4834101182883249
0-1,0-1,0.0,0.5100984435975828,0.44595244792049704
1-0,1-0,0.0,0.4355719052055313,0.5344711357642803
1-0,0-1,0.0,0.4884399733348978,0.47005544529217974
1-0,1-0,0.0,0.47763119047574976,0.48127249233792446
0-1,1-0,0.0,0.47801918300166435,0.4843188077083696
0-1,0-1,0.0,0.486678948236129,0.475653782318841
1-0,1-0,0.0,0.4543436583947106,0.4996455248735216
0-1,0-1,0.0,0.4853330893035764,0.4090023822192199
1-0,1-0,0.0,0.41094882890625756,0.5647357337774607
0-1,1-0,0.0,0.47319361183767367,0.4866297357285623
0-1,0-1,0.0,0.4804141550347755,0.4760579054138857
0-1,1-0,0.0,0.4775932483336496,0.482626863339202
1-0,1-0,0.0,0.4770047984464423,0.48357675319695265
0-1,1-0,0.0,0.4230035930355017,0.538608963331551
0-1,0-1,0.0,0.48639817211567726,0.4754295402559853
1-0,1-0,0.0,0.44299917634702035,0.5060798908278278
0-1,1-0,0.0,0.44445397530197145,0.5221912525816967
0-1,1-0,0.0,0.46589036611992957,0.5005406139872373
0-1,0-1,0.0,0.517859939691273,0.4201601559515267
0-1,1-0,0.0,0.47086528114992177,0.4922479069655392
0-1,1-0,0.0,0.4060321557555411,0.5183057339157202
0-1,1-0,0.0,0.45620501656667317,0.506828899997802
1-0,1-0,0.0,0.45217848920494447,0.4907151577852334
1-0,1-0,0.0,0.4602498637287656,0.494973355252795
0-1,1-0,0.0,0.46383891679869516,0.49372356246462645
0-1,0-1,0.0,0.4913446904734193,0.46125468977633255
0-1,0-1,0.0,0.49670506671108433,0.46113948395201676
1-0,0-1,0.0,0.4776264895477242,0.4639242583213747
0-1,1-0,0.0,0.4521545454966042,0.516328273143252
0-1,0-1,0.0,0.5417468710637622,0.39293430411465247
1-0,1-0,0.0,0.4715245062061292,0.48769919024778546
0-1,1-0,0.0,0.46085922340381824,0.5015146771869088
1-0,1-0,0.0,0.43368817322597797,0.5067746007298505
1-0,1-0,0.0,0.4101101444577067,0.5358065068202305
1-0,1-0,0.0,0.44048242849364977,0.5276848594506421
1-0,0-1,0.0,0.5216681473992485,0.43528515299746584
0-1,1-0,0.0,0.4521115829446837,0.49767392406281535
