y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,0.0,0.4640499100667188,0.5287020173024819
1-0,1-0,0.0,0.4466084841730508,0.5226478884168015
1-0,1-0,0.0,0.47931312303385903,0.48848732725576083
1-0,1-0,0.0,0.4765284795149743,0.511013208646495
1/2-1/2,1/2-1/2,0.0,0.046662765559867155,0.05742439270648415
1-0,0-1,0.0,0.4959260513696003,0.4934208095400435
0-1,0-1,0.0,0.5235808278933795,0.42280501864242354
1-0,0-1,0.0,0.5247012176161552,0.46880700233577116
1-0,0-1,0.0,0.504974875254347,0.4873671617304704
0-1,1-0,0.0,0.46463879819245885,0.516308900339284
0-1,1-0,0.0,0.41629928179601067,0.5728643634563035
0-1,1/2-1/2,0.0,0.2284950234569753,0.18848821250286016
1-0,0-1,0.0,0.5005562741212662,0.4909357698662697
1/2-1/2,0-1,0.0,0.48795565115242784,0.4770090991501686
0-1,0-1,0.0,0.5000688672643328,0.4849160767012728
0-1,1-0,0.0,0.4855036901827189,0.4868190167751572
0-1,1-0,0.0,0.46525962693879735,0.5230482619255089
0-1,0-1,0.0,0.5604118385959531,0.4124521768883819
1-0,1-0,0.0,0.4017292005751001,0.5348915785824477
1-0,1-0,0.0,0.446961548018529,0.5422197772923695
0-1,1-0,0.0,0.47537688791643773,0.4918158329708706
0-1,1-0,0.0,0.48050602323613695,0.501312529837153
0-1,0-1,0.0,0.4968416060244032,0.46909732110727315
0-1,0-1,0.0,0.5058062966860455,0.47527359471314695
0-1,1-0,0.0,0.40711916708657997,0.5648818624874672
0-1,1-0,0.0,0.4801861788165971,0.5064666114131227
1-0,0-1,0.0,0.4994038971620087,0.4815100711623983
0-1,1-0,0.0,0.4808433327443379,0.5099610588337211
0-1,1-0,0.0,0.48687632234598444,0.5027587495769784
1-0,1-0,0.0,0.44248109596497776,0.5236904437368161
1-0,0-1,0.0,0.5599934376337445,0.41468750467961835
1-0,0-1,0.0,0.48402859203365045,0.4755880711305178
1-0,0-1,0.0,0.528663035591874,0.4507497370252748
0-1,0-1,0.0,0.5512822466749357,0.44033813032069297
0-1,1-0,0.0,0.4566133377434399,0.5068244280493819
0-1,0-1,0.0,0.5639736330828249,0.4287086995974423
0-1,1-0,0.0,0.45792528457202786,0.5342089749617024
1-0,1-0,0.0,0.36961431097352926,0.6243532474882092
1-0,1-0,0.0,0.4924023722809283,0.5002384656959269
0-1,1-0,0.0,0.4456382366715377,0.5458678581783721
0-1,1-0,0.0,0.4559004879218695,0.5258655091921828
1-0,1-0,0.0,0.374629682588084,0.5426930672303028
0-1,1-0,0.0,0.48104654976267475,0.4900025735910565
0-1,1-0,0.0,0.43395078571945833,0.49954383258074797
0-1,0-1,0.0,0.5248856040669322,0.4533189156149061
1-0,0-1,0.0,0.5196898579057989,0.431468573173325
1-0,0-1,0.0,0.5246441503644396,0.46912936361176094
1-0,0-1,0.0,0.5028758908742805,0.47675402940813216
0-1,1-0,0.0,0.4550184894006276,0.466700165294506
1-0,1-0,0.0,0.47061323579935677,0.5085039541389769
1-0,1-0,0.0,0.4052537067060483,0.5874013761781184
0-1,1-0,0.0,0.4895794962697346,0.49625682489252226
0-1,0-1,0.0,0.4861975089121379,0.4856133139049746
