y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,0.4828512990205363,0.4908424860313821,0.026306214948082548
1-0,1-0,0.4748294358977641,0.5136848739570895,0.011485690145145075
1-0,0-1,0.5324334751410458,0.4321257057336418,0.03544081912531136
0-1,1-0,0.42466275204948584,0.4722244245308672,0.10311282341964577
1-0,1-0,0.4692387157262191,0.5175088311027544,0.013252453171027738
1-0,1-0,0.37691473933660413,0.6094739922600428,0.013611268403352937
0-1,1-0,0.4473882562815527,0.5130278320290401,0.03958391168940572
1-0,1-0,0.4625943944248216,0.4849961437220976,0.05240946185308179
1-0,0-1,0.5167886670555151,0.45150936462721164,0.03170196831727398
1-0,1-0,0.44438734147252296,0.5472292254467037,0.008383433080771378
0-1,1-0,0.4831611850594228,0.5074798316941327,0.009358983246446104
0-1,0-1,0.5180384619619398,0.4722250112438964,0.009736526794162889
0-1,1-0,0.46679337297440354,0.5230838606383377,0.010122766387259419
1-0,1-0,0.48011644224960665,0.5118764444701269,0.008007113280267432
1-0,1-0,0.46958564716346396,0.521585216197921,0.008829136638615679
1-0,1-0,0.4673529268137386,0.5000851808275896,0.03256189235867198
1-0,1-0,0.32972280283996047,0.6381957335360995,0.03208146362393723
0-1,1-0,0.475240528122563,0.510674920611684,0.01408455126575246
1-0,1-0,0.3663355208611516,0.5578185016553433,0.07584597748350504
1-0,1-0,0.47688531935056305,0.5150570543234528,0.008057626325983896
1-0,0-1,0.49741762536989953,0.4568953704859646,0.04568700414413409
1-0,0-1,0.5035403440191387,0.48098656282300195,0.015473093157859136
0-1,1-0,0.458832450085646,0.47443315302075395,0.06673439689359856
1-0,1-0,0.48227054422134863,0.5080145837882962,0.009714871990355702
1-0,1-0,0.45711825843853665,0.5289239916698532,0.013957749891610808
1-0,1-0,0.47272738213885335,0.5158202506975632,0.011452367163584935
1/2-1/2,1/2-1/2,0.2726211744751747,0.2904045581099013,0.43697426741492124
0-1,1/2-1/2,0.11521439409271406,0.2176712103184295,0.6671143955888581
0-1,1-0,0.47540530620147975,0.4895412040476278,0.035053489750893396
