y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,0-1,0.52,0.38,0.1
1-0,1-0,0.4,0.6,0.0
1-0,0-1,0.65,0.34,0.01
0-1,0-1,0.5,0.48,0.02
1-0,1-0,0.37,0.63,0.0
1-0,1-0,0.07,0.93,0.0
0-1,0-1,0.49,0.45,0.06
1-0,1-0,0.38,0.52,0.1
1-0,0-1,0.61,0.38,0.01
1-0,0-1,0.65,0.34,0.01
0-1,1-0,0.11,0.89,0.0
0-1,1-0,0.27,0.7,0.03
0-1,1-0,0.14,0.86,0.0
1-0,1-0,0.47,0.53,0.0
1-0,1-0,0.29,0.71,0.0
1-0,0-1,0.53,0.47,0.0
1-0,0-1,0.65,0.35,0.0
0-1,1-0,0.13,0.87,0.0
1-0,1-0,0.49,0.51,0.0
1-0,1-0,0.44,0.46,0.1
1-0,0-1,0.63,0.24,0.13
1-0,1-0,0.25,0.74,0.01
0-1,1-0,0.33,0.4,0.27
1-0,1-0,0.34,0.66,0.0
1-0,1-0,0.31,0.69,0.0
1-0,1-0,0.3,0.7,0.0
1/2-1/2,0-1,0.58,0.2,0.22
0-1,0-1,0.6,0.34,0.06
0-1,1-0,0.35,0.65,0.0
0-1,1-0,0.42,0.52,0.06
0-1,0-1,0.64,0.36,0.0
1-0,1-0,0.32,0.66,0.02
0-1,1-0,0.46,0.54,0.0
0-1,1-0,0.42,0.55,0.03
0-1,1-0,0.13,0.87,0.0
0-1,0-1,0.72,0.28,0.0
1-0,1-0,0.29,0.71,0.0
1-0,0-1,0.76,0.24,0.0
0-1,1-0,0.45,0.55,0.0
0-1,0-1,0.72,0.27,0.01
1/2-1/2,1-0,0.27,0.37,0.36
0-1,0-1,0.75,0.25,0.0
0-1,1/2-1/2,0.23,0.29,0.48
1/2-1/2,1-0,0.44,0.52,0.04
0-1,0-1,0.63,0.35,0.02
0-1,1-0,0.23,0.75,0.02
1/2-1/2,0-1,0.56,0.34,0.1
1-0,0-1,0.55,0.45,0.0
1-0,0-1,0.69,0.31,0.0
0-1,0-1,0.68,0.3,0.02
1-0,1-0,0.14,0.85,0.01
0-1,1-0,0.47,0.53,0.0
1-0,0-1,0.57,0.28,0.15
0-1,1-0,0.32,0.67,0.01
1/2-1/2,0-1,0.69,0.26,0.05
1-0,1-0,0.31,0.63,0.06
1-0,1-0,0.36,0.55,0.09
0-1,0-1,0.59,0.41,0.0
0-1,1-0,0.4,0.58,0.02
0-1,1-0,0.17,0.83,0.0
0-1,0-1,0.86,0.14,0.0
0-1,0-1,0.71,0.29,0.0
1-0,1-0,0.35,0.63,0.02
1-0,1-0,0.17,0.83,0.0
1-0,0-1,0.55,0.45,0.0
1/2-1/2,1-0,0.21,0.54,0.25
0-1,1-0,0.22,0.77,0.01
1-0,0-1,0.82,0.18,0.0
0-1,0-1,0.53,0.44,0.03
1-0,0-1,0.73,0.25,0.02
1-0,1-0,0.32,0.64,0.04
1-0,0-1,0.53,0.47,0.0
1-0,0-1,0.58,0.42,0.0
0-1,1-0,0.41,0.52,0.07
1-0,0-1,0.83,0.15,0.02
0-1,0-1,0.78,0.22,0.0
0-1,1-0,0.4,0.6,0.0
1-0,1-0,0.34,0.53,0.13
0-1,1-0,0.38,0.62,0.0
1-0,0-1,0.37,0.28,0.35
1-0,0-1,0.86,0.1,0.04
0-1,0-1,0.54,0.46,0.0
1-0,1-0,0.37,0.62,0.01
0-1,1-0,0.16,0.68,0.16
0-1,0-1,0.82,0.12,0.06
1-0,0-1,0.74,0.24,0.02
1-0,1-0,0.18,0.68,0.14
0-1,0-1,0.68,0.32,0.0
1-0,1-0,0.3,0.63,0.07
0-1,0-1,0.59,0.41,0.0
0-1,1-0,0.4,0.49,0.11
0-1,0-1,0.65,0.35,0.0
0-1,1-0,0.18,0.8,0.02
0-1,1-0,0.41,0.57,0.02
0-1,1-0,0.41,0.57,0.02
1-0,1-0,0.01,0.98,0.01
1-0,0-1,0.48,0.47,0.05
0-1,1-0,0.39,0.6,0.01
0-1,0-1,0.6,0.4,0.0
0-1,1-0,0.33,0.67,0.0
1-0,0-1,0.56,0.44,0.0
1/2-1/2,1-0,0.2,0.42,0.38
0-1,0-1,0.82,0.04,0.14
0-1,0-1,0.66,0.33,0.01
0-1,1-0,0.46,0.52,0.02
1-0,1-0,0.2,0.8,0.0
0-1,0-1,0.67,0.32,0.01
1-0,1-0,0.43,0.5,0.07
0-1,1-0,0.17,0.78,0.05
0-1,0-1,0.78,0.22,0.0
1-0,1-0,0.45,0.55,0.0
0-1,1-0,0.09,0.82,0.09
1-0,1-0,0.38,0.62,0.0
1-0,0-1,0.73,0.25,0.02
1-0,1-0,0.43,0.57,0.0
1-0,1-0,0.23,0.77,0.0
1-0,0-1,0.56,0.44,0.0
1-0,0-1,0.52,0.48,0.0
1-0,1-0,0.46,0.54,0.0
1/2-1/2,1-0,0.15,0.48,0.37
1-0,1-0,0.4,0.59,0.01
0-1,1-0,0.29,0.43,0.28
0-1,0-1,0.54,0.45,0.01
0-1,1-0,0.42,0.58,0.0
1-0,1-0,0.33,0.67,0.0
0-1,1-0,0.45,0.54,0.01
1-0,0-1,0.76,0.24,0.0
1-0,1-0,0.39,0.61,0.0
1-0,0-1,0.68,0.3,0.02
0-1,1-0,0.23,0.77,0.0
1-0,0-1,0.77,0.23,0.0
0-1,1-0,0.22,0.78,0.0
0-1,0-1,0.66,0.28,0.06
1/2-1/2,0-1,0.52,0.34,0.14
1-0,0-1,0.56,0.44,0.0
1-0,0-1,0.8,0.2,0.0
0-1,0-1,0.77,0.11,0.12
0-1,1-0,0.35,0.55,0.1
1-0,1-0,0.37,0.63,0.0
0-1,1-0,0.09,0.9,0.01
0-1,1-0,0.39,0.6,0.01
0-1,1-0,0.43,0.5,0.07
0-1,1-0,0.08,0.65,0.27
1-0,1-0,0.41,0.58,0.01
1/2-1/2,1-0,0.29,0.47,0.24
0-1,1-0,0.3,0.69,0.01
0-1,1-0,0.45,0.55,0.0
1-0,0-1,0.5,0.5,0.0
1-0,0-1,0.86,0.12,0.02
1-0,1-0,0.37,0.63,0.0
0-1,0-1,0.61,0.39,0.0
1-0,1-0,0.07,0.93,0.0
1-0,1-0,0.49,0.5,0.01
1-0,0-1,0.64,0.24,0.12
1-0,1-0,0.09,0.91,0.0
0-1,0-1,0.56,0.4,0.04
1-0,0-1,0.5,0.5,0.0
0-1,0-1,0.6,0.4,0.0
1-0,0-1,0.52,0.4,0.08
1-0,1-0,0.14,0.86,0.0
0-1,0-1,0.55,0.45,0.0
1-0,0-1,0.5,0.5,0.0
1-0,0-1,0.68,0.32,0.0
1-0,0-1,0.6123333333333334,0.36766666666666664,0.02
1-0,1-0,0.32,0.68,0.0
1-0,1-0,0.4,0.6,0.0
1-0,0-1,0.9,0.08,0.02
0-1,0-1,0.53,0.41,0.06
0-1,1-0,0.17,0.83,0.0
1-0,1-0,0.2,0.8,0.0
1-0,0-1,0.54,0.45,0.01
0-1,1-0,0.36,0.5,0.14
1/2-1/2,0-1,0.72,0.24,0.04
1/2-1/2,0-1,0.85,0.12,0.03
0-1,0-1,0.53,0.45,0.02
1-0,1-0,0.23,0.76,0.01
1-0,0-1,0.52,0.45,0.03
1-0,0-1,0.61,0.36,0.03
1-0,1-0,0.13,0.87,0.0
1-0,0-1,0.55,0.41,0.04
1-0,0-1,0.52,0.48,0.0
1-0,0-1,0.61,0.35,0.04
1-0,1-0,0.29,0.69,0.02
1/2-1/2,1/2-1/2,0.08,0.4,0.52
0-1,1-0,0.3,0.7,0.0
0-1,1-0,0.26,0.55,0.19
0-1,1-0,0.31,0.67,0.02
1-0,0-1,0.66,0.25,0.09
0-1,1-0,0.35,0.65,0.0
0-1,0-1,0.57,0.42,0.01
0-1,0-1,0.85,0.15,0.0
0-1,0-1,0.82,0.18,0.0
1-0,0-1,0.76,0.24,0.0
1-0,1-0,0.27,0.73,0.0
1-0,0-1,0.8,0.2,0.0
1-0,0-1,0.62,0.38,0.0
1-0,0-1,0.54,0.41,0.05
1-0,0-1,0.78,0.22,0.0
0-1,1-0,0.18,0.82,0.0
1-0,0-1,0.61,0.39,0.0
1-0,0-1,0.57,0.43,0.0
1-0,0-1,0.72,0.28,0.0
1-0,1-0,0.21,0.79,0.0
1-0,0-1,0.83,0.17,0.0
1-0,1-0,0.27,0.71,0.02
1-0,0-1,0.51,0.48,0.01
0-1,1-0,0.27,0.73,0.0
1-0,1-0,0.21,0.79,0.0
1-0,0-1,0.57,0.29,0.14
0-1,0-1,0.55,0.33,0.12
0-1,1-0,0.45,0.46,0.09
1-0,0-1,0.63,0.37,0.0
1-0,1-0,0.38,0.56,0.06
0-1,1-0,0.49,0.51,0.0
0-1,0-1,0.74,0.22,0.04
0-1,1-0,0.32,0.68,0.0
0-1,1-0,0.26,0.74,0.0
0-1,0-1,0.48,0.21,0.31
1-0,1-0,0.42,0.53,0.05
0-1,0-1,0.66,0.3,0.04
0-1,1-0,0.38,0.51,0.11
1-0,0-1,0.77,0.23,0.0
1/2-1/2,1-0,0.32,0.57,0.11
1-0,1-0,0.39,0.55,0.06
1-0,0-1,0.56,0.44,0.0
1-0,1-0,0.25,0.71,0.04
0-1,0-1,0.76,0.24,0.0
1-0,1-0,0.48,0.51,0.01
1-0,1-0,0.38,0.62,0.0
0-1,0-1,0.75,0.25,0.0
0-1,1-0,0.43,0.57,0.0
0-1,1-0,0.48,0.52,0.0
0-1,1-0,0.47,0.52,0.01
1-0,0-1,0.5,0.44,0.06
0-1,0-1,0.6,0.4,0.0
1-0,1-0,0.27,0.68,0.05
1-0,0-1,0.58,0.42,0.0
0-1,1-0,0.28,0.72,0.0
1-0,1-0,0.35,0.65,0.0
1-0,1-0,0.33,0.61,0.06
1-0,1-0,0.48,0.51,0.01
1-0,1-0,0.41,0.59,0.0
1-0,0-1,0.56,0.43,0.01
0-1,0-1,0.59,0.4,0.01
1-0,0-1,0.64,0.36,0.0
1-0,0-1,0.59,0.4,0.01
