y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,0-1,0.49,0.47,0.04
1-0,0-1,0.5,0.5,0.0
1-0,1-0,0.32,0.67,0.01
0-1,0-1,0.7,0.3,0.0
1-0,0-1,0.51,0.49,0.0
1-0,1-0,0.37,0.63,0.0
0-1,0-1,0.7083333333333335,0.2916666666666667,0.0
1-0,1-0,0.24,0.41,0.35
1-0,0-1,0.77,0.23,0.0
1-0,1-0,0.46,0.54,0.0
0-1,1-0,0.27,0.73,0.0
0-1,1-0,0.42,0.58,0.0
0-1,1-0,0.24,0.76,0.0
1-0,1-0,0.49,0.51,0.0
1-0,0-1,0.71,0.29,0.0
1-0,1-0,0.23,0.77,0.0
1-0,1-0,0.27,0.73,0.0
0-1,1-0,0.11,0.89,0.0
1-0,0-1,0.75,0.25,0.0
1-0,0-1,0.67,0.33,0.0
1-0,1/2-1/2,0.22,0.03,0.75
1-0,1-0,0.32,0.51,0.17
0-1,0-1,0.47,0.47,0.06
1-0,1-0,0.48,0.52,0.0
1-0,1-0,0.41,0.59,0.0
1-0,1-0,0.08,0.92,0.0
1/2-1/2,1-0,0.36,0.44,0.2
0-1,1-0,0.45,0.47,0.08
0-1,1-0,0.32,0.68,0.0
0-1,0-1,0.5,0.5,0.0
0-1,0-1,0.76,0.24,0.0
1-0,0-1,0.52,0.47,0.01
0-1,1-0,0.11,0.88,0.01
0-1,0-1,0.77,0.21,0.02
0-1,1-0,0.47,0.5,0.03
0-1,0-1,0.56,0.44,0.0
1-0,1-0,0.2,0.8,0.0
1-0,1-0,0.42,0.57,0.01
0-1,0-1,0.51,0.48,0.01
0-1,0-1,0.85,0.15,0.0
1/2-1/2,1-0,0.33,0.51,0.16
0-1,1-0,0.19,0.81,0.0
0-1,1/2-1/2,0.28,0.23,0.49
1/2-1/2,1-0,0.24,0.66,0.1
0-1,0-1,0.74,0.23,0.03
0-1,1-0,0.33,0.67,0.0
1/2-1/2,1/2-1/2,0.31,0.3,0.39
1-0,0-1,0.76,0.24,0.0
1-0,0-1,0.75,0.25,0.0
0-1,0-1,0.55,0.3,0.15
1-0,0-1,0.5,0.39,0.11
0-1,0-1,0.72,0.28,0.0
1-0,1-0,0.34,0.44,0.22
0-1,1-0,0.31,0.69,0.0
1/2-1/2,0-1,0.73,0.27,0.0
1-0,1-0,0.19,0.8,0.01
1-0,0-1,0.69,0.23,0.08
0-1,0-1,0.83,0.17,0.0
0-1,1-0,0.17,0.83,0.0
0-1,1-0,0.3,0.7,0.0
0-1,0-1,0.79,0.21,0.0
0-1,1-0,0.43,0.57,0.0
1-0,0-1,0.87,0.13,0.0
1-0,1-0,0.04,0.96,0.0
1-0,0-1,0.79,0.21,0.0
1/2-1/2,0-1,0.5,0.22,0.28
0-1,1-0,0.4,0.59,0.01
1-0,0-1,0.51,0.49,0.0
0-1,0-1,0.67,0.31,0.02
1-0,1-0,0.32,0.54,0.14
1-0,1-0,0.18,0.72,0.1
1-0,1-0,0.44,0.56,0.0
1-0,0-1,0.62,0.38,0.0
0-1,1-0,0.36,0.64,0.0
1-0,1-0,0.39,0.6,0.01
0-1,1-0,0.31,0.69,0.0
0-1,1-0,0.36,0.64,0.0
1-0,1-0,0.33,0.61,0.06
0-1,0-1,0.73,0.27,0.0
1-0,0-1,0.8,0.14,0.06
1-0,0-1,0.55,0.45,0.0
0-1,1-0,0.48,0.52,0.0
1-0,0-1,0.66,0.34,0.0
0-1,0-1,0.61,0.28,0.11
0-1,0-1,0.86,0.08,0.06
1-0,0-1,0.45,0.22,0.33
1-0,1-0,0.04,0.92,0.04
0-1,1-0,0.18,0.81,0.01
1-0,1-0,0.27,0.65,0.08
0-1,0-1,0.54,0.46,0.0
0-1,1-0,0.48,0.5,0.02
0-1,1-0,0.24,0.73,0.03
0-1,0-1,0.8,0.2,0.0
0-1,0-1,0.7,0.29,0.01
0-1,1-0,0.3,0.7,0.0
1-0,0-1,0.64,0.36,0.0
1-0,1-0,0.07,0.89,0.04
0-1,1-0,0.26,0.74,0.0
0-1,0-1,0.56,0.44,0.0
0-1,1-0,0.07,0.86,0.07
1-0,0-1,0.91,0.09,0.0
1/2-1/2,1-0,0.23,0.62,0.15
0-1,0-1,0.56,0.44,0.0
0-1,1-0,0.49,0.51,0.0
0-1,0-1,0.73,0.27,0.0
1-0,1-0,0.08,0.92,0.0
0-1,1-0,0.34,0.47,0.19
1-0,0-1,0.54,0.36,0.1
0-1,1-0,0.32,0.56,0.12
0-1,0-1,0.58,0.41,0.01
1-0,0-1,0.77,0.23,0.0
0-1,1-0,0.04,0.96,0.0
1-0,1-0,0.14,0.86,0.0
1-0,1-0,0.36,0.64,0.0
1-0,1-0,0.38,0.62,0.0
1-0,1-0,0.39,0.61,0.0
1-0,1-0,0.07,0.93,0.0
1-0,0-1,0.66,0.33,0.01
1-0,0-1,0.81,0.19,0.0
1/2-1/2,1/2-1/2,0.04,0.25,0.71
1-0,0-1,0.94,0.06,0.0
0-1,0-1,0.52,0.2,0.28
0-1,0-1,0.78,0.2,0.02
0-1,0-1,0.51,0.49,0.0
1-0,1-0,0.27,0.73,0.0
0-1,1-0,0.32,0.64,0.04
1-0,0-1,0.82,0.18,0.0
1-0,0-1,0.68,0.32,0.0
1-0,1-0,0.11,0.89,0.0
0-1,1-0,0.04,0.96,0.0
1-0,1-0,0.47,0.51,0.02
0-1,1-0,0.05,0.95,0.0
0-1,1-0,0.46,0.54,0.0
1/2-1/2,0-1,0.61,0.29,0.1
1-0,0-1,0.94,0.06,0.0
1-0,0-1,0.86,0.14,0.0
0-1,1-0,0.35,0.65,0.0
0-1,0-1,0.6,0.39,0.01
1-0,1-0,0.1,0.9,0.0
0-1,1-0,0.08,0.92,0.0
0-1,0-1,0.52,0.48,0.0
0-1,1/2-1/2,0.29,0.14,0.57
0-1,1-0,0.11,0.83,0.06
1-0,0-1,0.56,0.44,0.0
1/2-1/2,1-0,0.23,0.47,0.3
0-1,1/2-1/2,0.14,0.38,0.48
0-1,0-1,0.5,0.5,0.0
1-0,0-1,0.77,0.23,0.0
1-0,0-1,0.76,0.04,0.2
1-0,1-0,0.23,0.53,0.24
0-1,0-1,0.98,0.02,0.0
1-0,0-1,0.53,0.47,0.0
1-0,1/2-1/2,0.29,0.18,0.53
1-0,0-1,0.61,0.39,0.0
1-0,1-0,0.13,0.87,0.0
0-1,0-1,0.62,0.37,0.01
1-0,0-1,0.57,0.43,0.0
0-1,0-1,0.63,0.35,0.02
1-0,1-0,0.46,0.51,0.03
1-0,0-1,0.51,0.49,0.0
0-1,0-1,0.84,0.14,0.02
1-0,1-0,0.1,0.56,0.34
1-0,1-0,0.42,0.58,0.0
1-0,0-1,0.62,0.38,0.0
1-0,1-0,0.29,0.71,0.0
1-0,0-1,0.79,0.21,0.0
1-0,0-1,0.86,0.14,0.0
0-1,0-1,0.63,0.37,0.0
0-1,1-0,0.08,0.92,0.0
1-0,1-0,0.19,0.79,0.02
1-0,1-0,0.47,0.53,0.0
0-1,1-0,0.15,0.82,0.03
1/2-1/2,1/2-1/2,0.24,0.27,0.49
1/2-1/2,0-1,0.52,0.48,0.0
0-1,0-1,0.57,0.43,0.0
1-0,1-0,0.1,0.9,0.0
1-0,0-1,0.46,0.25,0.29
1-0,1-0,0.33,0.49,0.18
1-0,0-1,0.53,0.47,0.0
1-0,1-0,0.34,0.35,0.31
1-0,0-1,0.54,0.46,0.0
1-0,0-1,0.62,0.38,0.0
1-0,1-0,0.36,0.64,0.0
1/2-1/2,1-0,0.22,0.55,0.23
0-1,1-0,0.0,0.98,0.02
0-1,0-1,0.39,0.39,0.22
0-1,1-0,0.26,0.71,0.03
1-0,0-1,0.55,0.3,0.15
0-1,1-0,0.31,0.57,0.12
0-1,1-0,0.28,0.72,0.0
0-1,0-1,0.55,0.45,0.0
0-1,0-1,0.61,0.39,0.0
1-0,0-1,0.89,0.11,0.0
1-0,0-1,0.68,0.32,0.0
1-0,0-1,0.9,0.1,0.0
1-0,0-1,0.64,0.36,0.0
1-0,1-0,0.23,0.77,0.0
1-0,0-1,0.5,0.5,0.0
0-1,1-0,0.38,0.62,0.0
1-0,0-1,0.66,0.34,0.0
1-0,0-1,0.81,0.19,0.0
1-0,1-0,0.46,0.54,0.0
1-0,0-1,0.69,0.31,0.0
1-0,0-1,0.6,0.4,0.0
1-0,1-0,0.18,0.55,0.27
1-0,0-1,0.54,0.45,0.01
0-1,1-0,0.29,0.71,0.0
1-0,0-1,0.58,0.37,0.05
1-0,0-1,0.49,0.29,0.22
0-1,1-0,0.13,0.78,0.09
0-1,0-1,0.42,0.16,0.42
1-0,0-1,0.87,0.13,0.0
1-0,0-1,0.66,0.12,0.22
0-1,1-0,0.12,0.87,0.01
0-1,0-1,0.88,0.12,0.0
0-1,0-1,0.59,0.41,0.0
0-1,0-1,0.69,0.31,0.0
0-1,1-0,0.3,0.56,0.14
1-0,1-0,0.26,0.74,0.0
0-1,1-0,0.24,0.76,0.0
0-1,0-1,0.39,0.23,0.38
1-0,0-1,0.73,0.27,0.0
1/2-1/2,0-1,0.5,0.34,0.16
1-0,1-0,0.22,0.75,0.03
1-0,1-0,0.47,0.53,0.0
1-0,1-0,0.18,0.82,0.0
0-1,1-0,0.25,0.75,0.0
1-0,0-1,0.77,0.23,0.0
1-0,1-0,0.19,0.81,0.0
0-1,0-1,0.81,0.17,0.02
0-1,1-0,0.34,0.66,0.0
0-1,1-0,0.37,0.63,0.0
0-1,0-1,0.66,0.34,0.0
1-0,0-1,0.7,0.17,0.13
0-1,0-1,0.78,0.21,0.01
1-0,1-0,0.28,0.72,0.0
1-0,1-0,0.13,0.87,0.0
0-1,0-1,0.61,0.39,0.0
1-0,0-1,0.78,0.22,0.0
1-0,0-1,0.64,0.23,0.13
1-0,0-1,0.63,0.37,0.0
1-0,0-1,0.48,0.45,0.07
1-0,0-1,0.62,0.37,0.01
0-1,0-1,0.89,0.07,0.04
1-0,0-1,0.5,0.5,0.0
1-0,1-0,0.49,0.51,0.0
1-0,0-1,0.7,0.29,0.01
0-1,1-0,0.41,0.53,0.06
0-1,1-0,0.26,0.74,0.0
1-0,0-1,0.77,0.21,0.02
1-0,1-0,0.15,0.85,0.0
1-0,1-0,0.41,0.55,0.04
0-1,1-0,0.13,0.87,0.0
0-1,0-1,0.56,0.35,0.09
1-0,1-0,0.23,0.77,0.0
0-1,1-0,0.41,0.59,0.0
1-0,1-0,0.21,0.77,0.02
0-1,1-0,0.13,0.87,0.0
1-0,0-1,0.8,0.08,0.12
0-1,0-1,0.5,0.5,0.0
1-0,1-0,0.32,0.63,0.05
0-1,1-0,0.47,0.53,0.0
1-0,1-0,0.21,0.78,0.01
1-0,1-0,0.45,0.55,0.0
1-0,0-1,0.77,0.16,0.07
0-1,0-1,0.62,0.38,0.0
0-1,1-0,0.2,0.56,0.24
0-1,0-1,0.81,0.17,0.02
0-1,1-0,0.21,0.79,0.0
0-1,1-0,0.15,0.85,0.0
1-0,0-1,0.84,0.15,0.01
1-0,0-1,0.75,0.25,0.0
0-1,0-1,0.5,0.5,0.0
0-1,0-1,0.64,0.36,0.0
0-1,0-1,0.96,0.02,0.02
1-0,1-0,0.36,0.64,0.0
0-1,1-0,0.14,0.86,0.0
1-0,0-1,0.81,0.19,0.0
1-0,1-0,0.31,0.69,0.0
0-1,0-1,0.52,0.47,0.01
1-0,0-1,0.56,0.43,0.01
0-1,1-0,0.28,0.71,0.01
0-1,0-1,0.87,0.13,0.0
1-0,0-1,0.58,0.42,0.0
1-0,0-1,0.59,0.41,0.0
0-1,1-0,0.42,0.58,0.0
1-0,0-1,0.47,0.46,0.07
0-1,1-0,0.27,0.58,0.15
1-0,1-0,0.33,0.67,0.0
0-1,1-0,0.1,0.83,0.07
1-0,0-1,0.62,0.38,0.0
0-1,1-0,0.44,0.56,0.0
1-0,0-1,0.54,0.46,0.0
0-1,1-0,0.31,0.66,0.03
0-1,0-1,0.54,0.46,0.0
0-1,1-0,0.37,0.63,0.0
1-0,0-1,0.58,0.42,0.0
1-0,1-0,0.45,0.55,0.0
0-1,1-0,0.06,0.94,0.0
1-0,0-1,0.54,0.14,0.32
1-0,1-0,0.21,0.79,0.0
0-1,0-1,0.95,0.05,0.0
0-1,1-0,0.12,0.71,0.17
1-0,0-1,0.73,0.27,0.0
1-0,0-1,0.76,0.24,0.0
1-0,0-1,0.64,0.36,0.0
0-1,0-1,0.88,0.12,0.0
0-1,1-0,0.43,0.57,0.0
1-0,0-1,0.72,0.28,0.0
0-1,0-1,0.6,0.38,0.02
0-1,0-1,0.56,0.44,0.0
1-0,0-1,0.84,0.14,0.02
1-0,0-1,0.58,0.42,0.0
0-1,1-0,0.17,0.83,0.0
1-0,0-1,0.53,0.16,0.31
1/2-1/2,0-1,0.44,0.42,0.14
1-0,0-1,0.67,0.32,0.01
1-0,1-0,0.25,0.75,0.0
0-1,1-0,0.28,0.54,0.18
1-0,0-1,0.53,0.45,0.02
0-1,0-1,0.65,0.35,0.0
1-0,1-0,0.21,0.79,0.0
0-1,0-1,0.41,0.18,0.41
0-1,1-0,0.32,0.68,0.0
1-0,1-0,0.28,0.72,0.0
0-1,1-0,0.3,0.7,0.0
0-1,1-0,0.17,0.83,0.0
0-1,1-0,0.26,0.74,0.0
0-1,1-0,0.34,0.66,0.0
1-0,0-1,0.59,0.41,0.0
1-0,1-0,0.47,0.53,0.0
0-1,1-0,0.39,0.58,0.03
1-0,0-1,0.69,0.31,0.0
0-1,0-1,0.57,0.43,0.0
1/2-1/2,1-0,0.28,0.7,0.02
0-1,1-0,0.13,0.87,0.0
1-0,1-0,0.15,0.85,0.0
1/2-1/2,1/2-1/2,0.15,0.39,0.46
0-1,1-0,0.17,0.83,0.0
1-0,0-1,0.54,0.46,0.0
