y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,0-1,0.0,0.79,0.21
0-1,0-1,0.0,0.71,0.29
1-0,1-0,0.0,0.35,0.65
0-1,1-0,0.0,0.3,0.7
1-0,1-0,0.0,0.1,0.88
0-1,1-0,0.0,0.1,0.73
0-1,1-0,0.0,0.45,0.55
0-1,1-0,0.0,0.34,0.63
0-1,1-0,0.0,0.4,0.57
0-1,1-0,0.0,0.48,0.49
0-1,1-0,0.0,0.27,0.73
1-0,1-0,0.0,0.39,0.61
1-0,1-0,0.0,0.47,0.53
1-0,1-0,0.0,0.28,0.72
1-0,0-1,0.0,0.55,0.45
1-0,1-0,0.0,0.27,0.73
1-0,0-1,0.0,0.64,0.36
0-1,1-0,0.0,0.38,0.57
1-0,1-0,0.0,0.4,0.6
1-0,1-0,0.0,0.44,0.56
0-1,1-0,0.0,0.48,0.52
0-1,1-0,0.0,0.43,0.55
0-1,0-1,0.0,0.59,0.39
0-1,0-1,0.0,0.79,0.21
1-0,1-0,0.0,0.38,0.62
0-1,1-0,0.0,0.46,0.54
1-0,1-0,0.0,0.4,0.48
0-1,0-1,0.0,0.56,0.44
1-0,1-0,0.0,0.43,0.57
0-1,0-1,0.0,0.59,0.41
0-1,0-1,0.0,0.56,0.44
1-0,1-0,0.0,0.31,0.61
0-1,0-1,0.0,0.52,0.43
0-1,1-0,0.0,0.2,0.78
0-1,1-0,0.0,0.3,0.7
1-0,0-1,0.0,0.77,0.23
1-0,0-1,0.0,0.66,0.34
0-1,1/2-1/2,0.0,0.42,0.14
0-1,1-0,0.0,0.37,0.5
0-1,0-1,0.0,0.51,0.48
0-1,1-0,0.0,0.37,0.59
1-0,1-0,0.0,0.27,0.73
0-1,0-1,0.0,0.54,0.44
1-0,1-0,0.0,0.37,0.61
1-0,1-0,0.0,0.48,0.52
0-1,0-1,0.0,0.84,0.16
0-1,0-1,0.0,0.55,0.36
1-0,0-1,0.0,0.6,0.4
1-0,1-0,0.0,0.28,0.36
1-0,0-1,0.0,0.83,0.16
0-1,0-1,0.0,0.53,0.45
1/2-1/2,0-1,0.0,0.68,0.31
1-0,1-0,0.0,0.34,0.64
1-0,0-1,0.0,0.59,0.4
0-1,0-1,0.0,0.77,0.18
0-1,1-0,0.0,0.46,0.54
1-0,1-0,0.0,0.39,0.58
0-1,1-0,0.0,0.33,0.66
0-1,1-0,0.0,0.07,0.93
0-1,1-0,0.0,0.13,0.87
0-1,0-1,0.0,0.74,0.26
0-1,0-1,0.0,0.59,0.39
0-1,0-1,0.0,0.69,0.31
1-0,1-0,0.0,0.19,0.81
0-1,0-1,0.0,0.67,0.33
1-0,1/2-1/2,0.0,0.36,0.22
0-1,1-0,0.0,0.45,0.51
0-1,0-1,0.0,0.49,0.44
0-1,1-0,0.0,0.42,0.43
0-1,0-1,0.0,0.53,0.47
1-0,0-1,0.0,0.6,0.37
1-0,1-0,0.0,0.25,0.74
0-1,0-1,0.0,0.58,0.4
0-1,0-1,0.0,0.73,0.27
0-1,0-1,0.0,0.49,0.39
0-1,1-0,0.0,0.39,0.46
0-1,0-1,0.0,0.72,0.28
0-1,0-1,0.0,0.69,0.31
0-1,1-0,0.0,0.39,0.52
1-0,1-0,0.0,0.37,0.63
1-0,0-1,0.0,0.66,0.11
0-1,0-1,0.0,0.65,0.27
0-1,0-1,0.0,0.5,0.43
1-0,0-1,0.0,0.58,0.42
1-0,1-0,0.0,0.4,0.46
1-0,0-1,0.0,0.51,0.41
0-1,1-0,0.0,0.24,0.74
1-0,1-0,0.0,0.3,0.67
1-0,1-0,0.0,0.46,0.48
0-1,1-0,0.0,0.28,0.55
1-0,0-1,0.0,0.49,0.33
1-0,0-1,0.0,0.58,0.4
0-1,1-0,0.0,0.44,0.55
0-1,1-0,0.0,0.49,0.5
1-0,0-1,0.0,0.57,0.43
1-0,0-1,0.0,0.61,0.39
0-1,0-1,0.0,0.54,0.35
1-0,0-1,0.0,0.8,0.19
0-1,1-0,0.0,0.45,0.54
0-1,1-0,0.0,0.3,0.7
0-1,0-1,0.01,0.55,0.43
1-0,1-0,0.0,0.47,0.53
1-0,0-1,0.0,0.65,0.25
1-0,0-1,0.0,0.65,0.35
1-0,1-0,0.0,0.48,0.52
1/2-1/2,0-1,0.0,0.62,0.35
1-0,1-0,0.0,0.39,0.58
0-1,1-0,0.0,0.25,0.69
1-0,0-1,0.0,0.54,0.44
0-1,1-0,0.0,0.3,0.7
1-0,1-0,0.0,0.42,0.55
1-0,0-1,0.0,0.6,0.4
1-0,1-0,0.0,0.21,0.54
0-1,1-0,0.0,0.4,0.6
1-0,0-1,0.0,0.73,0.25
1-0,0-1,0.0,0.79,0.21
1-0,1-0,0.0,0.24,0.76
1-0,0-1,0.0,0.56,0.44
0-1,0-1,0.0,0.77,0.23
1-0,0-1,0.0,0.73,0.26
0-1,1-0,0.0,0.4,0.6
1-0,1-0,0.0,0.2,0.41
0-1,1-0,0.0,0.19,0.81
0-1,0-1,0.0,0.62,0.38
1-0,0-1,0.0,0.72,0.27
0-1,1-0,0.0,0.46,0.54
0-1,0-1,0.0,0.77,0.23
1/2-1/2,1-0,0.0,0.15,0.85
1-0,0-1,0.0,0.69,0.31
1/2-1/2,1/2-1/2,0.0,0.41,0.14
0-1,0-1,0.0,0.8,0.2
0-1,1-0,0.0,0.3,0.7
1-0,1-0,0.0,0.29,0.71
1/2-1/2,1-0,0.0,0.48,0.49
0-1,0-1,0.0,0.57,0.43
1-0,0-1,0.0,0.62,0.38
1-0,1-0,0.0,0.44,0.56
1-0,0-1,0.0,0.62,0.38
0-1,0-1,0.0,0.71,0.28
1-0,1-0,0.0,0.38,0.61
1-0,1-0,0.0,0.36,0.62
0-1,1-0,0.0,0.47,0.53
0-1,1-0,0.0,0.47,0.53
0-1,1-0,0.0,0.44666666666666666,0.5533333333333332
0-1,1-0,0.0,0.15,0.84
1-0,1-0,0.0,0.45,0.54
1-0,0-1,0.0,0.72,0.26
0-1,0-1,0.0,0.65,0.35
1-0,0-1,0.0,0.48,0.46
0-1,1-0,0.0,0.35,0.58
0-1,0-1,0.0,0.83,0.14
1-0,1-0,0.0,0.36,0.58
1-0,0-1,0.0,0.7,0.3
1-0,1-0,0.0,0.31,0.69
1/2-1/2,1-0,0.0,0.47,0.49
1/2-1/2,1-0,0.0,0.43,0.53
0-1,1-0,0.0,0.36,0.56
1-0,0-1,0.0,0.72,0.23
0-1,1-0,0.0,0.15,0.59
1-0,1-0,0.0,0.29,0.68
1-0,1-0,0.0,0.28,0.71
1-0,1-0,0.0,0.22,0.77
0-1,0-1,0.0,0.62,0.33
0-1,0-1,0.0,0.53,0.44
0-1,0-1,0.0,0.6,0.4
0-1,1-0,0.0,0.08,0.92
0-1,1-0,0.0,0.24,0.76
0-1,1-0,0.0,0.26,0.74
0-1,0-1,0.0,0.53,0.37
0-1,0-1,0.0,0.63,0.36
0-1,0-1,0.0,0.68,0.29
0-1,0-1,0.0,0.67,0.33
1-0,0-1,0.0,0.52,0.42
1-0,1-0,0.0,0.49,0.51
1-0,1-0,0.0,0.36,0.64
0-1,0-1,0.0,0.69,0.3
0-1,1-0,0.0,0.47,0.53
0-1,0-1,0.01,0.6,0.39
1-0,1-0,0.0,0.24,0.76
0-1,1-0,0.0,0.43,0.53
1-0,0-1,0.0,0.62,0.37
1-0,0-1,0.0,0.45,0.32
1/2-1/2,0-1,0.0,0.58,0.09
0-1,1-0,0.0,0.34,0.56
1-0,0-1,0.0,0.77,0.23
1/2-1/2,1/2-1/2,0.0,0.32,0.14
1-0,0-1,0.0,0.7,0.25
1-0,1-0,0.0,0.37,0.61
0-1,1-0,0.0,0.45,0.54
1-0,1-0,0.0,0.49,0.51
1-0,1-0,0.0,0.4975,0.5025
1-0,1-0,0.0,0.04,0.95
1-0,1-0,0.0,0.37,0.63
0-1,1-0,0.0,0.18,0.82
1-0,1-0,0.0,0.45,0.55
1-0,0-1,0.0,0.65,0.35
0-1,1-0,0.0,0.22,0.63
1/2-1/2,0-1,0.0,0.72,0.27
1-0,1-0,0.0,0.3475,0.6425
1-0,1-0,0.0,0.14,0.79
0-1,1-0,0.0,0.26,0.5
1-0,1-0,0.0,0.4,0.6
1-0,0-1,0.0,0.9,0.07
0-1,0-1,0.0,0.83,0.17
1-0,1-0,0.0,0.08,0.91
1-0,1-0,0.0,0.24,0.69
1-0,0-1,0.0,0.59,0.38
0-1,1-0,0.0,0.32,0.68
0-1,0-1,0.0,0.66,0.34
1-0,0-1,0.0,0.64,0.33
1-0,1-0,0.0,0.2,0.77
0-1,0-1,0.0,0.58,0.42
1-0,0-1,0.0,0.58,0.2
0-1,0-1,0.0,0.62,0.36
0-1,1-0,0.0,0.4,0.59
