y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,1-0,0.00026243495686386064,0.4560551194002344,0.503417972355945
0-1,1-0,0.0003377073825589184,0.4507556571553029,0.5084511876216896
1-0,1-0,0.00028041967724193507,0.42698125512045415,0.5323123584488438
1-0,0-1,0.00031572782481542936,0.5667039406028961,0.392170421301424
0-1,1-0,0.00027128495877800946,0.42131205661350546,0.538158979130641
0-1,1-0,0.0002760314350528966,0.4764729613756948,0.4825431685693095
1-0,1-0,0.00031303003754796946,0.4824929965366075,0.47660549858222473
1/2-1/2,1-0,0.000408855172386227,0.421493442463284,0.5376064880861882
0-1,1-0,0.0002855885678091427,0.4360187221290527,0.5231088093198557
1-0,1-0,0.00029841697351514813,0.5168768513163104,0.44214577985248105
1-0,1-0,0.0003572840119877417,0.42130023762288615,0.5377308247303727
0-1,0-1,0.0002956877313347247,0.5447941656705992,0.41403171117442544
1-0,1-0,0.0003124465367147536,0.4127953202874302,0.5462262788797816
1-0,1-0,0.00029011627323678404,0.4814553818725742,0.4774735721755545
1-0,1-0,0.0003193740395212932,0.45200066423766877,0.5069879634141742
0-1,1-0,0.00027209317957918355,0.4611476625313275,0.4980046834009506
0-1,1-0,0.00025598658607132324,0.4739793484305363,0.48541592607998457
1-0,1-0,0.0003715448746111865,0.41167689021170856,0.5473931485563778
0-1,0-1,0.0006620517731374853,0.6366549862278899,0.29968395511220597
1-0,1-0,0.0002935655866789435,0.4085161623403071,0.5505777560013415
0-1,1-0,0.00032542118626709035,0.4443755124601081,0.5145991840424359
0-1,1-0,0.0003352037843392994,0.449722134311046,0.509426460818096
0-1,1-0,0.00030171709345769976,0.456826916334663,0.5020977113412034
1-0,1-0,0.00029881053736925396,0.4564879286257189,0.5024367305873982
0-1,1-0,0.0003686860458977946,0.41105274294886807,0.5480498097098219
0-1,1-0,0.0002604059294186858,0.4768615472913022,0.48243417278335865
1-0,1-0,0.0003123136167131451,0.41233478139559365,0.546843136536875
0-1,1-0,0.0003479181430224223,0.4158051273497747,0.5431165262164204
0-1,1-0,0.00026082896084135364,0.4308292280776004,0.5286521103735644
0-1,0-1,0.0002960502472644592,0.5545546900192795,0.40420667215401973
0-1,1-0,0.0002839339342169763,0.44798618461092754,0.5110731311443841
0-1,1-0,0.00027020544008604625,0.41578172671281205,0.5430642806184146
0-1,1-0,0.0003574508056555668,0.42196997013583454,0.5370096499580463
1-0,1-0,0.0002931355665562116,0.42074811487531694,0.5385888329244545
1-0,1-0,0.0003856989627594253,0.4145230558191442,0.5446420868593367
0-1,1-0,0.00038508541159936084,0.4201647289852435,0.5390625857028374
0-1,1-0,0.0003249300195924374,0.4662411292726772,0.49298276837999166
0-1,1-0,0.00028322990644844204,0.5052304745955983,0.4536807006800527
1-0,1-0,0.0002975773719701847,0.446835922475625,0.5121907093056819
0-1,1-0,0.00026997767929791655,0.4206906797104454,0.5387957819826978
0-1,0-1,0.00043580036843415625,0.6513911426572978,0.30444003305282274
1-0,1-0,0.000341208568544514,0.4383039911252421,0.520744926457015
0-1,1-0,0.0003442631797712857,0.42748410789398555,0.5314715032735011
1-0,1-0,0.0002787187191357768,0.4133124444547162,0.5461467608920724
1-0,1-0,0.0002770524111867668,0.4072656146197785,0.551987605142626
1-0,1-0,0.00033334591397352043,0.41454047058649635,0.5443892683239416
1-0,0-1,0.00031381326273718175,0.5829646535994419,0.3756538024949442
0-1,1-0,0.00033126420866718076,0.41403389364542625,0.545015154724418
0-1,0-1,0.00030017874578226956,0.5224527066941393,0.4365904983983998
1-0,1-0,0.00033107070052361447,0.4371069133399751,0.5218487996344433
0-1,1-0,0.0003430249321079499,0.410310525592358,0.5486898174460864
1-0,0-1,0.0003849663616690465,0.6456343682469319,0.31241162835486747
0-1,1-0,0.0002501632080091566,0.49302033529629535,0.4660515575206909
1-0,1-0,0.00027098777998620153,0.41073261285972523,0.5484506859797781
1-0,1-0,0.00026571462292534993,0.44460635027381123,0.5148965176830026
1-0,1-0,0.00027284250365152454,0.40972317389116053,0.5493856754621952
0-1,1-0,0.0003624312752608793,0.4097360529719521,0.549260316827932
0-1,1-0,0.0002853736041445122,0.4491352028894199,0.5100768257352444
0-1,0-1,0.0002877060471596809,0.5394879090938179,0.41938661358030865
0-1,1-0,0.0003519317661380793,0.43861476661856486,0.5205769913448927
0-1,1-0,0.0004103981308289153,0.4104299568023691,0.5487300200659582
0-1,1-0,0.00029422865065292135,0.4173138272923472,0.5420265794302143
1/2-1/2,1-0,0.0003281325571474593,0.41529545059363515,0.5437553622439384
0-1,1-0,0.000375769346141695,0.41949763569378967,0.5395947437318969
1-0,1-0,0.0003794440968002063,0.4199969936575413,0.5391960913736888
0-1,1-0,0.00028393716152897623,0.41072093101049945,0.5489931328176909
1-0,1-0,0.0002634227345466092,0.45614662484368956,0.503219389613292
1-0,1-0,0.0002615795333740196,0.44099730829557404,0.5185161575840964
0-1,1-0,0.00028491083331088344,0.4185150696619091,0.5409358067635451
1-0,1-0,0.00025953808592393563,0.4463933441411541,0.5129134709396282
1-0,1-0,0.00029420280663367443,0.505784370111207,0.45318335952474154
1-0,1-0,0.00025350602448507474,0.4507526357865767,0.5086915060455032
0-1,1-0,0.0002711317704474698,0.41119002377420305,0.5474693338994049
1-0,1-0,0.00032151536989401497,0.44950776281909116,0.5094784737239665
0-1,1-0,0.00035211559025109015,0.4216400187403544,0.5373655864918365
1-0,1-0,0.0003471087860981925,0.4440979321857119,0.5151344805399523
1-0,1-0,0.0003620596538068195,0.41209677637094483,0.5469450645864802
1-0,0-1,0.00029775963099756776,0.5554378791238037,0.4032665389007754
1-0,1-0,0.0002926873439961059,0.4905279164008456,0.46824132191406775
1-0,1-0,0.0003960825595167292,0.4131726548338729,0.5460381849750569
