y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
0-1,1-0,0.00034581511588653477,0.4597576809649232,0.4990926027778106
1-0,1-0,0.0003426534230459534,0.4598168805825229,0.4990770391833969
1-0,1-0,0.0003456086440957766,0.45967176536709003,0.49922711262532793
1-0,1-0,0.00034570502421595425,0.45973617695512786,0.4991027797599448
0-1,1-0,0.00034568819656464675,0.45970492929666934,0.49918937527874846
1-0,1-0,0.0003411774361738295,0.45977856650637383,0.4991308857529987
0-1,1-0,0.00034581355350139407,0.459757299040237,0.49909269470590056
0-1,1-0,0.00034254003950391675,0.4598218385541859,0.499075468623069
1-0,1-0,0.00034067397459370906,0.459616149658675,0.4991918968162743
1-0,1-0,0.0003448612827257117,0.4596923100511274,0.49914023142196273
1-0,1-0,0.0003440117106946697,0.45969289081958864,0.4991978233735789
0-1,1-0,0.0003450443409241729,0.4595037807434407,0.4993862698129497
0-1,1-0,0.0003457266465768895,0.45972096032040194,0.49917003509864105
1-0,1-0,0.00034538031572287146,0.45958488872722203,0.4993166943776541
1-0,1-0,0.00034542903786768166,0.45970615049312435,0.49912441667553603
1-0,1-0,0.00034292067351549736,0.45980251068954586,0.4990830158277402
1-0,1-0,0.00034313269552108393,0.4596875518659034,0.49932445472510323
1-0,1-0,0.00034443521477210313,0.45956611139541315,0.4993025705598052
0-1,1-0,0.00034327277479939564,0.4598704043232135,0.49893608143392265
1-0,1-0,0.00034509861682573877,0.4596926994864534,0.4991373846690043
1-0,1-0,0.0003455208418519774,0.45963635892237653,0.4992650454222983
0-1,1-0,0.00034221759924643266,0.45983114857514346,0.4990748696073102
0-1,1-0,0.00034399899958026674,0.459728831994664,0.4991227357232847
1-0,1-0,0.0003433118696931211,0.4597767879589567,0.49909600305792595
0-1,1-0,0.0003433130685683917,0.4592944839029126,0.4995272286872543
1-0,1-0,0.0003407515557951224,0.4597092160900934,0.4990965262873493
0-1,1-0,0.0003409411370084933,0.4597296980614663,0.4991638455984871
1-0,1-0,0.0003437947574450777,0.4597425173012184,0.4991150190962293
1-0,1-0,0.00034071900448276357,0.45964251807065476,0.4992026256279615
0-1,1-0,0.0003458441059029033,0.45976566965686644,0.4990938100077871
1-0,1-0,0.0003453904624511746,0.45970358576239445,0.4991265833883014
1-0,1-0,0.00034305101280499776,0.4596287479612798,0.4993513807092366
0-1,1-0,0.0003456536686675965,0.45969048056662076,0.4992061317841418
0-1,1-0,0.0003408135535933836,0.4596877673164162,0.4991865870644845
1-0,1-0,0.00034108420017679806,0.4597624284956348,0.4991425432986409
1-0,1-0,0.00034228294284187127,0.459829906395312,0.49907448286999473
0-1,1-0,0.00034537420939119776,0.45958283934353533,0.4993186649526659
1-0,1-0,0.00034351544657361036,0.45976231255738537,0.4991039081536944
1-0,1-0,0.0003446574267893363,0.45969645482849847,0.4991393939692916
1-0,1-0,0.0003432945166977978,0.45983460775992413,0.4989612043667784
0-1,1-0,0.00034577453264249367,0.45974049887107094,0.49914482775054075
0-1,1-0,0.0003452997967420143,0.45955934450928515,0.49934071795920165
0-1,1-0,0.0003407156331193136,0.45964056212438276,0.49920295103456613
1-0,1-0,0.0003424822474598722,0.4598240580601703,0.49907492120497576
1-0,1-0,0.0003446176729293154,0.45969766594263406,0.49913893247922614
1-0,1-0,0.00034304381877095155,0.45962441476272026,0.49936802905298366
1-0,1-0,0.00034214773324682345,0.4598320681585877,0.49907559693425413
1-0,1-0,0.0003441374397551382,0.459657291822498,0.49922308978992436
1-0,1-0,0.00034265879515346024,0.4598166270600992,0.4990771290986299
0-1,1-0,0.0003450273133194162,0.4595016838090067,0.4993875171528381
1/2-1/2,1-0,0.0003412693367389045,0.4597915237075518,0.4991208696071347
0-1,1-0,0.0003430448135109178,0.459628874101063,0.49937645732821323
1-0,1-0,0.00034511325487218285,0.4595144612844883,0.4993788639450596
1/2-1/2,1-0,0.00034269427889994144,0.459814912612135,0.4990777565839382
0-1,1-0,0.0003407304509411483,0.45964895687529894,0.4992012362405223
1-0,1-0,0.0003408723111008924,0.45970906910291476,0.499175721349607
1-0,1-0,0.00034400658172732636,0.4596942421509653,0.49919695449068996
1-0,1-0,0.0003431930899790915,0.4598009867905544,0.4990599346690522
1-0,1-0,0.0003448800428232652,0.45969211963220175,0.49914016753824086
0-1,1-0,0.00034522804399123025,0.4595395294849837,0.4993583991637707
1-0,1-0,0.00034440871163958503,0.4595738498217823,0.49929510716711656
0-1,1-0,0.0003448913170901159,0.45949309697245877,0.49938907043852915
1-0,1-0,0.00034557910931538486,0.45965965601339315,0.4992403242782202
0-1,1-0,0.0003452153197940809,0.459536332628269,0.49936115152798816
0-1,1-0,0.00034374895997616524,0.45974570680602184,0.49911321755834087
0-1,1-0,0.0003452323313783292,0.4596960119415751,0.4991335731263753
0-1,1-0,0.0003451467048800498,0.45969360206589555,0.4991362160064919
1-0,1-0,0.0003437083582614206,0.4597485603104612,0.4991116077264947
0-1,1-0,0.0003455970802353955,0.45966700450908915,0.499232338464367
1-0,1-0,0.00034242163922536804,0.4589458460121381,0.49987617790197086
1-0,1-0,0.00034075610422610377,0.45966231223005577,0.49919718435331595
1-0,1-0,0.00034173696201174715,0.4593414417259629,0.499609435155047
0-1,1-0,0.0003434843590734283,0.4597639320380588,0.49919550464796575
0-1,1-0,0.00034070427587473175,0.4596591106695388,0.49913216251453185
0-1,1-0,0.00034573017757755995,0.4597224225718881,0.4991682217643335
0-1,1-0,0.0003411274516504711,0.4597066912911024,0.49926965939592705
1-0,1-0,0.0003443568589599537,0.45958947479497264,0.4992804531238044
0-1,1-0,0.0003457230736311847,0.4597194783779179,0.49917186338162955
1-0,1-0,0.00034147147076615017,0.4598121854493896,0.4991031890956611
0-1,1-0,0.00034531951233000743,0.45969963977244627,0.49913008029548206
