sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
5.4,3.9,1.7,0.4
5.0,3.4,1.5,0.2
5.1,3.3,1.7,0.5
4.8,3.4,1.9,0.2
5.0,3.0,1.6,0.2
5.5,4.2,1.4,0.2
4.9,3.1,1.5,0.2
5.0,3.2,1.2,0.2
5.1,3.4,1.5,0.2
5.0,3.5,1.6,0.6
4.6,3.2,1.4,0.2
5.0,3.3,1.4,0.2
5.5,2.3,4.0,1.3
6.0,2.2,4.0,1.0
5.9,3.2,4.8,1.8
6.7,3.0,5.0,1.7
5.5,2.4,3.8,1.1
5.4,3.0,4.5,1.5
5.0,2.3,3.3,1.0
5.6,2.7,4.2,1.3
5.7,3.0,4.2,1.2
6.2,2.9,4.3,1.3
5.8,2.7,5.1,1.9
6.4,2.7,5.3,1.9
5.7,2.5,5.0,2.0
5.8,2.8,5.1,2.4
7.7,3.8,6.7,2.2
6.3,2.7,4.9,1.8
6.0,3.0,4.8,1.8
6.2,3.4,5.4,2.3
