y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.9895029344497174,0.00507937127151489,0.00541769427876771
setosa,setosa,0.9895278240226643,0.004959381750495069,0.005512794226840721
setosa,setosa,0.9890737841858577,0.005009978206241566,0.005916237607900839
setosa,setosa,0.9863986452936182,0.007519289094529892,0.006082065611851938
setosa,setosa,0.9813955153356964,0.011228014320755127,0.0073764703435485164
setosa,setosa,0.98936833624677,0.005231944496212593,0.005399719257017418
setosa,setosa,0.9882094286064744,0.006174478742080292,0.005616092651445336
setosa,setosa,0.9895350865381781,0.004968495665973697,0.005496417795848198
setosa,setosa,0.9882592457551052,0.00613667221729919,0.005604082027595637
setosa,setosa,0.989329374622232,0.005269667567969006,0.0054009578097989515
versicolor,versicolor,0.00164300484872993,0.8670437809371505,0.13131321421411962
versicolor,versicolor,0.0020314075294374143,0.9248219346820048,0.07314665778855778
versicolor,versicolor,0.0017299520883653032,0.983396225168826,0.014873822742808813
versicolor,versicolor,0.013287558187477861,0.973196876071148,0.013515565741374256
versicolor,versicolor,0.0016509379835519897,0.9769838157081894,0.02136524630825858
versicolor,versicolor,0.0016601266649050519,0.9778997514721046,0.02044012186299035
versicolor,versicolor,0.0016458532012549754,0.976226355295031,0.022127791503714016
versicolor,versicolor,0.001727398927627241,0.9089619672006295,0.08931063387174339
versicolor,versicolor,0.02782446628631374,0.9542402004567743,0.017935333256912052
versicolor,versicolor,0.0016768433676079548,0.9814914841162368,0.01683167251615542
virginica,virginica,0.00339330314004228,0.009890334910576611,0.9867163619493811
virginica,virginica,0.003117483775479784,0.04137664288478929,0.9555058733397309
virginica,virginica,0.0031784061394793096,0.320729932986484,0.6760916608740367
virginica,virginica,0.0036705461922656706,0.005014139705362445,0.991315314102372
virginica,virginica,0.003513946001857183,0.007171807654910736,0.9893142463432321
virginica,virginica,0.003105340346415841,0.038101419601206374,0.9587932400523778
virginica,virginica,0.003238271356621876,0.4308774227654407,0.5658843058779375
virginica,virginica,0.003430971025478777,0.07403431026492233,0.9225347187095989
virginica,virginica,0.003135677879676049,0.04483314428218353,0.9520311778381404
virginica,virginica,0.003154205854473807,0.34610577187392,0.6507400222716061
