y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,0.8,0.2
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,0.8,0.2
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,versicolor,0.0,0.6,0.4
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.0,1.0
