y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,1.0,1.7209438990992511e-18,3.191596228432934e-26
setosa,setosa,1.0,4.436394630561006e-18,3.409268324407252e-26
setosa,setosa,1.0,3.693370495594634e-19,1.347339949997997e-27
setosa,setosa,1.0,5.750457494510601e-20,7.595302166850281e-29
setosa,setosa,1.0,2.920865580887955e-19,7.525704038787087e-27
setosa,setosa,1.0,2.004527203475823e-17,8.492723330739436e-25
setosa,setosa,1.0,3.5647391726373624e-17,1.6695206419760413e-25
setosa,setosa,1.0,9.862623520894436e-18,3.1138485058049814e-26
setosa,setosa,0.9999999999999956,4.781609026674828e-15,1.5510788592347765e-22
setosa,setosa,1.0,2.6768336689610256e-18,2.3768015976907184e-26
versicolor,versicolor,1.1364469312322398e-41,0.9999999121868498,8.781315000391799e-08
versicolor,versicolor,6.088497000362972e-89,0.9971322605139948,0.0028677394860050927
versicolor,versicolor,1.7321616811479324e-62,0.9999957063249697,4.293675030396327e-06
versicolor,versicolor,9.981461562859434e-108,0.9877060880474166,0.012293911952583435
versicolor,versicolor,1.2315984825526965e-56,0.9999865557005033,1.34442994964413e-05
versicolor,versicolor,1.8055426653250626e-97,0.9839844802931837,0.016015519706816098
versicolor,versicolor,1.492574207603647e-100,0.9922199416124144,0.007780058387585665
versicolor,versicolor,1.1351410950905098e-64,0.9999837746778354,1.6225322164697864e-05
versicolor,versicolor,7.408855521829594e-105,0.9969594509412489,0.003040549058750627
versicolor,versicolor,4.667666109634912e-60,0.9999951014244163,4.898575583721273e-06
virginica,virginica,8.453081424422516e-165,0.00043789029762091296,0.999562109702379
virginica,virginica,3.3620177620446194e-169,0.003729222308436212,0.9962707776915638
virginica,virginica,7.311794007761981e-198,5.92764141179984e-06,0.9999940723585882
virginica,virginica,3.69457866500324e-155,0.016272930866182478,0.9837270691338172
virginica,virginica,2.2821329568839877e-191,7.44570275138568e-07,0.9999992554297245
virginica,virginica,1.0391156822002734e-197,3.634863476051601e-07,0.9999996365136522
virginica,virginica,5.567093977479984e-175,0.0025888960615931956,0.9974111039384067
virginica,virginica,2.042902027292124e-295,7.064443783975237e-12,0.9999999999929354
virginica,virginica,7.075e-321,3.891672622371731e-12,0.999999999996108
virginica,versicolor,7.008801618849883e-128,0.9744505027902058,0.025549497209794103
