y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.96,0.0,0.04
setosa,setosa,0.93,0.03,0.04
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,1.0,0.0,0.0
setosa,setosa,0.97,0.03,0.0
setosa,setosa,0.96,0.0,0.04
setosa,setosa,0.99,0.01,0.0
setosa,setosa,0.96,0.0,0.04
setosa,setosa,0.99,0.01,0.0
versicolor,versicolor,0.02,0.8,0.18
versicolor,versicolor,0.0,0.95,0.05
versicolor,virginica,0.0,0.22,0.78
versicolor,versicolor,0.0,0.94,0.06
versicolor,versicolor,0.01,0.88,0.11
versicolor,versicolor,0.01,0.66,0.33
versicolor,virginica,0.0,0.15,0.85
versicolor,virginica,0.0,0.0,1.0
versicolor,versicolor,0.0,1.0,0.0
versicolor,versicolor,0.0,1.0,0.0
virginica,virginica,0.0,0.0,1.0
virginica,versicolor,0.01,0.74,0.25
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.01,0.04,0.95
virginica,virginica,0.01,0.0,0.99
virginica,virginica,0.01,0.0,0.99
virginica,virginica,0.0,0.12,0.88
virginica,versicolor,0.0,0.66,0.34
virginica,virginica,0.0,0.15,0.85
virginica,virginica,0.0,0.07,0.93
