y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.93,0.06,0.01
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.98,0.01,0.01
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.97,0.03,0.0
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.97,0.02,0.01
versicolor,versicolor,0.04,0.83,0.13
versicolor,versicolor,0.04,0.96,0.0
versicolor,versicolor,0.05,0.54,0.41
versicolor,versicolor,0.02,0.95,0.03
versicolor,versicolor,0.0,0.96,0.04
versicolor,versicolor,0.04,0.85,0.11
versicolor,virginica,0.0,0.17,0.83
versicolor,virginica,0.0,0.04,0.96
versicolor,versicolor,0.02,0.97,0.01
versicolor,versicolor,0.01,0.99,0.0
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.0,0.19,0.81
virginica,virginica,0.0,0.0,1.0
virginica,virginica,0.01,0.02,0.97
virginica,virginica,0.02,0.0,0.98
virginica,virginica,0.04,0.03,0.93
virginica,virginica,0.02,0.16,0.82
virginica,virginica,0.0,0.1,0.9
virginica,virginica,0.0,0.04,0.96
virginica,virginica,0.0,0.0,1.0
