y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.98,0.01,0.01
setosa,setosa,1.0,0.0,0.0
setosa,setosa,0.99,0.0,0.01
setosa,setosa,1.0,0.0,0.0
setosa,setosa,0.97,0.03,0.0
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.99,0.0,0.01
setosa,setosa,0.98,0.01,0.01
setosa,setosa,0.99,0.01,0.0
setosa,setosa,0.98,0.0,0.02
versicolor,versicolor,0.01,0.85,0.14
versicolor,versicolor,0.01,0.98,0.01
versicolor,versicolor,0.0,0.5,0.5
versicolor,versicolor,0.0,0.69,0.31
versicolor,versicolor,0.02,0.9,0.08
versicolor,versicolor,0.02,0.97,0.01
versicolor,versicolor,0.02,0.67,0.31
versicolor,virginica,0.01,0.3,0.69
versicolor,versicolor,0.0,0.71,0.29
versicolor,versicolor,0.0,1.0,0.0
virginica,virginica,0.0,0.01,0.99
virginica,virginica,0.01,0.43,0.56
virginica,virginica,0.0,0.12,0.88
virginica,virginica,0.0,0.17,0.83
virginica,virginica,0.02,0.01,0.97
virginica,virginica,0.0,0.05,0.95
virginica,virginica,0.0,0.32,0.68
virginica,versicolor,0.02,0.53,0.45
virginica,virginica,0.0,0.01,0.99
virginica,virginica,0.0,0.12,0.88
