y_true,y_pred
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
setosa,setosa
versicolor,virginica
versicolor,versicolor
versicolor,versicolor
versicolor,versicolor
versicolor,versicolor
versicolor,versicolor
versicolor,versicolor
versicolor,virginica
versicolor,versicolor
versicolor,versicolor
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
virginica,virginica
