Imagen,Clase_Real,Clase_Predicha,Probabilidad,Correcto
ISIC_0029500.jpg,AK,AK,0.7637,True
ISIC_0053597.jpg,AK,AK,0.9896,True
ISIC_0057145.jpg,AK,BCC,0.9405,False
ISIC_0060357.jpg,AK,AK,0.8748,True
ISIC_0065078.jpg,AK,SCC,0.9946,False
ISIC_0065304.jpg,AK,AK,0.8983,True
ISIC_0065992.jpg,AK,AK,0.9791,True
ISIC_0067078.jpg,AK,AK,0.9697,True
ISIC_0070895.jpg,AK,BCC,0.5059,False
ISIC_0072986.jpg,AK,AK,0.899,True
ISIC_0027858.jpg,BCC,SCC,0.4602,False
ISIC_0057748.jpg,BCC,BCC,0.676,True
ISIC_0057805.jpg,BCC,SCC,0.7022,False
ISIC_0059811.jpg,BCC,BCC,0.839,True
ISIC_0060045.jpg,BCC,VASC,0.9302,False
ISIC_0060274.jpg,BCC,BCC,0.6321,True
ISIC_0063503.jpg,BCC,BCC,0.6861,True
ISIC_0065083.jpg,BCC,BCC,0.6038,True
ISIC_0071029.jpg,BCC,SCC,0.5905,False
ISIC_0072127.jpg,BCC,BCC,0.6812,True
ISIC_0012358_downsampled.jpg,BKL,BKL,0.9976,True
ISIC_0013927_downsampled.jpg,BKL,BKL,0.982,True
ISIC_0025033.jpg,BKL,DF,0.6297,False
ISIC_0030705.jpg,BKL,BKL,0.8885,True
ISIC_0031853.jpg,BKL,BKL,0.9957,True
ISIC_0032043.jpg,BKL,NV,0.3757,False
ISIC_0055219.jpg,BKL,BKL,0.3555,True
ISIC_0056179.jpg,BKL,BCC,0.3627,False
ISIC_0065909.jpg,BKL,AK,0.4938,False
ISIC_0067913.jpg,BKL,NV,0.5241,False
ISIC_0024318.jpg,DF,DF,0.9971,True
ISIC_0024386.jpg,DF,DF,0.9975,True
ISIC_0026473.jpg,DF,DF,0.9892,True
ISIC_0031002.jpg,DF,DF,0.8936,True
ISIC_0031123.jpg,DF,DF,0.665,True
ISIC_0055308.jpg,DF,NV,0.9903,False
ISIC_0057453.jpg,DF,DF,0.9934,True
ISIC_0060129.jpg,DF,DF,0.8708,True
ISIC_0064029.jpg,DF,BCC,0.4567,False
ISIC_0072033.jpg,DF,DF,0.8123,True
ISIC_0000035_downsampled.jpg,MEL,NV,0.5785,False
ISIC_0000143_downsampled.jpg,MEL,NV,0.8481,False
ISIC_0029089.jpg,MEL,SCC,0.9275,False
ISIC_0054819.jpg,MEL,MEL,0.5867,True
ISIC_0055776.jpg,MEL,MEL,0.9774,True
ISIC_0060589.jpg,MEL,MEL,0.4232,True
ISIC_0063866.jpg,MEL,MEL,0.9345,True
ISIC_0063926.jpg,MEL,MEL,0.7817,True
ISIC_0067934.jpg,MEL,BCC,0.8835,False
ISIC_0072383.jpg,MEL,MEL,0.6234,True
ISIC_0011104.jpg,NV,NV,0.8546,True
ISIC_0013410_downsampled.jpg,NV,NV,0.4713,True
ISIC_0013801_downsampled.jpg,NV,NV,0.7965,True
ISIC_0013807_downsampled.jpg,NV,BKL,0.4521,False
ISIC_0015939_downsampled.jpg,NV,NV,0.8134,True
ISIC_0025844.jpg,NV,NV,0.9677,True
ISIC_0026641.jpg,NV,NV,0.9874,True
ISIC_0030006.jpg,NV,NV,0.82,True
ISIC_0054100.jpg,NV,NV,0.9314,True
ISIC_0055866.jpg,NV,AK,0.6788,False
ISIC_0027753.jpg,SCC,SCC,0.8671,True
ISIC_0029362.jpg,SCC,BCC,0.3072,False
ISIC_0053684.jpg,SCC,SCC,0.9914,True
ISIC_0054935.jpg,SCC,SCC,0.7821,True
ISIC_0055312.jpg,SCC,DF,0.3671,False
ISIC_0055870.jpg,SCC,SCC,0.7316,True
ISIC_0057865.jpg,SCC,SCC,0.9999,True
ISIC_0059403.jpg,SCC,AK,0.4941,False
ISIC_0063730.jpg,SCC,SCC,0.7001,True
ISIC_0071905.jpg,SCC,BCC,0.8854,False
ISIC_0027856.jpg,VASC,VASC,0.9879,True
ISIC_0030275.jpg,VASC,VASC,0.9944,True
ISIC_0031346.jpg,VASC,VASC,0.9683,True
ISIC_0031706.jpg,VASC,VASC,0.9985,True
ISIC_0033158.jpg,VASC,VASC,0.9988,True
ISIC_0054532.jpg,VASC,VASC,0.7729,True
ISIC_0059498.jpg,VASC,VASC,0.9731,True
ISIC_0071337.jpg,VASC,VASC,0.4367,True
ISIC_0071543.jpg,VASC,VASC,0.9869,True
ISIC_0072937.jpg,VASC,VASC,0.4758,True
