Imagen,Clase_Real,Clase_Predicha,Probabilidad,Correcto
ISIC_0029500.jpg,AK,AK,0.4086,True
ISIC_0053597.jpg,AK,AK,0.8107,True
ISIC_0057145.jpg,AK,BCC,0.7058,False
ISIC_0060357.jpg,AK,AK,0.854,True
ISIC_0065078.jpg,AK,AK,0.5174,True
ISIC_0065304.jpg,AK,AK,0.9606,True
ISIC_0065992.jpg,AK,AK,0.9555,True
ISIC_0067078.jpg,AK,AK,0.8994,True
ISIC_0070895.jpg,AK,BCC,0.4018,False
ISIC_0072986.jpg,AK,AK,0.6415,True
ISIC_0027858.jpg,BCC,BKL,0.4001,False
ISIC_0057748.jpg,BCC,AK,0.9211,False
ISIC_0057805.jpg,BCC,BCC,0.9321,True
ISIC_0059811.jpg,BCC,BCC,0.9607,True
ISIC_0060045.jpg,BCC,VASC,0.8601,False
ISIC_0060274.jpg,BCC,MEL,0.3768,False
ISIC_0063503.jpg,BCC,BCC,0.4696,True
ISIC_0065083.jpg,BCC,AK,0.6159,False
ISIC_0071029.jpg,BCC,MEL,0.4871,False
ISIC_0072127.jpg,BCC,BCC,0.8814,True
ISIC_0012358_downsampled.jpg,BKL,BKL,0.884,True
ISIC_0013927_downsampled.jpg,BKL,BKL,0.9648,True
ISIC_0025033.jpg,BKL,DF,0.7093,False
ISIC_0030705.jpg,BKL,BKL,0.7046,True
ISIC_0031853.jpg,BKL,BKL,0.9516,True
ISIC_0032043.jpg,BKL,BKL,0.6198,True
ISIC_0055219.jpg,BKL,MEL,0.8056,False
ISIC_0056179.jpg,BKL,BKL,0.2734,True
ISIC_0065909.jpg,BKL,BKL,0.3448,True
ISIC_0067913.jpg,BKL,DF,0.2953,False
ISIC_0024318.jpg,DF,DF,0.9985,True
ISIC_0024386.jpg,DF,DF,0.9934,True
ISIC_0026473.jpg,DF,DF,0.7341,True
ISIC_0031002.jpg,DF,DF,0.6344,True
ISIC_0031123.jpg,DF,BCC,0.3243,False
ISIC_0055308.jpg,DF,NV,0.8542,False
ISIC_0057453.jpg,DF,DF,0.9392,True
ISIC_0060129.jpg,DF,SCC,0.5579,False
ISIC_0064029.jpg,DF,BCC,0.9212,False
ISIC_0072033.jpg,DF,DF,0.6357,True
ISIC_0000035_downsampled.jpg,MEL,MEL,0.7196,True
ISIC_0000143_downsampled.jpg,MEL,MEL,0.5603,True
ISIC_0029089.jpg,MEL,SCC,0.6675,False
ISIC_0054819.jpg,MEL,MEL,0.7697,True
ISIC_0055776.jpg,MEL,MEL,0.9608,True
ISIC_0060589.jpg,MEL,MEL,0.5562,True
ISIC_0063866.jpg,MEL,MEL,0.8742,True
ISIC_0063926.jpg,MEL,VASC,0.5331,False
ISIC_0067934.jpg,MEL,MEL,0.6338,True
ISIC_0072383.jpg,MEL,MEL,0.7503,True
ISIC_0011104.jpg,NV,NV,0.5513,True
ISIC_0013410_downsampled.jpg,NV,BKL,0.433,False
ISIC_0013801_downsampled.jpg,NV,NV,0.8065,True
ISIC_0013807_downsampled.jpg,NV,BKL,0.5551,False
ISIC_0015939_downsampled.jpg,NV,BKL,0.4125,False
ISIC_0025844.jpg,NV,NV,0.9791,True
ISIC_0026641.jpg,NV,NV,0.9888,True
ISIC_0030006.jpg,NV,NV,0.4796,True
ISIC_0054100.jpg,NV,NV,0.8449,True
ISIC_0055866.jpg,NV,AK,0.4029,False
ISIC_0027753.jpg,SCC,SCC,0.8194,True
ISIC_0029362.jpg,SCC,BCC,0.3292,False
ISIC_0053684.jpg,SCC,SCC,0.9607,True
ISIC_0054935.jpg,SCC,DF,0.4042,False
ISIC_0055312.jpg,SCC,BKL,0.3266,False
ISIC_0055870.jpg,SCC,SCC,0.5538,True
ISIC_0057865.jpg,SCC,SCC,0.6293,True
ISIC_0059403.jpg,SCC,AK,0.7191,False
ISIC_0063730.jpg,SCC,SCC,0.8564,True
ISIC_0071905.jpg,SCC,BCC,0.4138,False
ISIC_0027856.jpg,VASC,VASC,0.9087,True
ISIC_0030275.jpg,VASC,VASC,0.9799,True
ISIC_0031346.jpg,VASC,VASC,0.5619,True
ISIC_0031706.jpg,VASC,VASC,0.9914,True
ISIC_0033158.jpg,VASC,VASC,0.9997,True
ISIC_0054532.jpg,VASC,VASC,0.8762,True
ISIC_0059498.jpg,VASC,VASC,0.9888,True
ISIC_0071337.jpg,VASC,MEL,0.5611,False
ISIC_0071543.jpg,VASC,VASC,0.9415,True
ISIC_0072937.jpg,VASC,VASC,0.6339,True
