Imagen,Clase_Real,Clase_Predicha,Probabilidad,Correcto
ISIC_0029500.jpg,AK,AK,0.8583,True
ISIC_0053597.jpg,AK,AK,0.923,True
ISIC_0057145.jpg,AK,BCC,0.7451,False
ISIC_0060357.jpg,AK,AK,0.9529,True
ISIC_0065078.jpg,AK,AK,0.5247,True
ISIC_0065304.jpg,AK,AK,0.9885,True
ISIC_0065992.jpg,AK,AK,0.9774,True
ISIC_0067078.jpg,AK,AK,0.8756,True
ISIC_0070895.jpg,AK,BCC,0.4825,False
ISIC_0072986.jpg,AK,AK,0.9775,True
ISIC_0027858.jpg,BCC,SCC,0.8717,False
ISIC_0057748.jpg,BCC,AK,0.5148,False
ISIC_0057805.jpg,BCC,BCC,0.9735,True
ISIC_0059811.jpg,BCC,BCC,0.9674,True
ISIC_0060045.jpg,BCC,VASC,0.998,False
ISIC_0060274.jpg,BCC,BCC,0.3172,True
ISIC_0063503.jpg,BCC,BCC,0.4969,True
ISIC_0065083.jpg,BCC,AK,0.8634,False
ISIC_0071029.jpg,BCC,BCC,0.594,True
ISIC_0072127.jpg,BCC,BCC,0.5936,True
ISIC_0012358_downsampled.jpg,BKL,BKL,0.9657,True
ISIC_0013927_downsampled.jpg,BKL,BKL,0.9978,True
ISIC_0025033.jpg,BKL,DF,0.7267,False
ISIC_0030705.jpg,BKL,BKL,0.9256,True
ISIC_0031853.jpg,BKL,BKL,0.8914,True
ISIC_0032043.jpg,BKL,BKL,0.8371,True
ISIC_0055219.jpg,BKL,BCC,0.4789,False
ISIC_0056179.jpg,BKL,DF,0.4115,False
ISIC_0065909.jpg,BKL,AK,0.5832,False
ISIC_0067913.jpg,BKL,DF,0.8409,False
ISIC_0024318.jpg,DF,DF,0.9999,True
ISIC_0024386.jpg,DF,DF,0.9999,True
ISIC_0026473.jpg,DF,DF,0.9938,True
ISIC_0031002.jpg,DF,DF,0.5847,True
ISIC_0031123.jpg,DF,DF,0.6277,True
ISIC_0055308.jpg,DF,NV,0.7358,False
ISIC_0057453.jpg,DF,DF,0.9985,True
ISIC_0060129.jpg,DF,DF,0.6229,True
ISIC_0064029.jpg,DF,DF,0.9031,True
ISIC_0072033.jpg,DF,DF,0.9763,True
ISIC_0000035_downsampled.jpg,MEL,MEL,0.9867,True
ISIC_0000143_downsampled.jpg,MEL,NV,0.9649,False
ISIC_0029089.jpg,MEL,SCC,0.5355,False
ISIC_0054819.jpg,MEL,MEL,0.9106,True
ISIC_0055776.jpg,MEL,MEL,0.9989,True
ISIC_0060589.jpg,MEL,MEL,0.3815,True
ISIC_0063866.jpg,MEL,MEL,0.9846,True
ISIC_0063926.jpg,MEL,MEL,0.7863,True
ISIC_0067934.jpg,MEL,MEL,0.834,True
ISIC_0072383.jpg,MEL,MEL,0.366,True
ISIC_0011104.jpg,NV,MEL,0.5762,False
ISIC_0013410_downsampled.jpg,NV,NV,0.4972,True
ISIC_0013801_downsampled.jpg,NV,NV,0.9683,True
ISIC_0013807_downsampled.jpg,NV,BKL,0.8228,False
ISIC_0015939_downsampled.jpg,NV,BKL,0.4758,False
ISIC_0025844.jpg,NV,NV,0.8251,True
ISIC_0026641.jpg,NV,NV,0.9907,True
ISIC_0030006.jpg,NV,NV,0.6612,True
ISIC_0054100.jpg,NV,NV,0.88,True
ISIC_0055866.jpg,NV,AK,0.555,False
ISIC_0027753.jpg,SCC,SCC,0.815,True
ISIC_0029362.jpg,SCC,AK,0.7308,False
ISIC_0053684.jpg,SCC,SCC,0.9642,True
ISIC_0054935.jpg,SCC,SCC,0.4683,True
ISIC_0055312.jpg,SCC,BKL,0.4324,False
ISIC_0055870.jpg,SCC,SCC,0.8848,True
ISIC_0057865.jpg,SCC,SCC,0.9129,True
ISIC_0059403.jpg,SCC,DF,0.5635,False
ISIC_0063730.jpg,SCC,SCC,0.9534,True
ISIC_0071905.jpg,SCC,SCC,0.6775,True
ISIC_0027856.jpg,VASC,VASC,0.983,True
ISIC_0030275.jpg,VASC,VASC,0.9991,True
ISIC_0031346.jpg,VASC,VASC,0.3017,True
ISIC_0031706.jpg,VASC,VASC,0.9993,True
ISIC_0033158.jpg,VASC,VASC,0.9992,True
ISIC_0054532.jpg,VASC,VASC,0.9965,True
ISIC_0059498.jpg,VASC,VASC,0.9952,True
ISIC_0071337.jpg,VASC,MEL,0.839,False
ISIC_0071543.jpg,VASC,VASC,0.8533,True
ISIC_0072937.jpg,VASC,VASC,0.3701,True
