Imagen,Clase_Real,Clase_Predicha,Probabilidad,Acierto
ISIC_0029500.jpg,AK,AK,0.7637,1
ISIC_0053597.jpg,AK,AK,0.9896,1
ISIC_0057145.jpg,AK,BCC,0.9405,0
ISIC_0060357.jpg,AK,AK,0.8748,1
ISIC_0065078.jpg,AK,SCC,0.9946,0
ISIC_0065304.jpg,AK,AK,0.8983,1
ISIC_0065992.jpg,AK,AK,0.9791,1
ISIC_0067078.jpg,AK,AK,0.9697,1
ISIC_0070895.jpg,AK,BCC,0.5059,0
ISIC_0072986.jpg,AK,AK,0.899,1
ISIC_0027858.jpg,BCC,SCC,0.4602,0
ISIC_0057748.jpg,BCC,BCC,0.676,1
ISIC_0057805.jpg,BCC,SCC,0.7022,0
ISIC_0059811.jpg,BCC,BCC,0.839,1
ISIC_0060045.jpg,BCC,VASC,0.9302,0
ISIC_0060274.jpg,BCC,BCC,0.6321,1
ISIC_0063503.jpg,BCC,BCC,0.6861,1
ISIC_0065083.jpg,BCC,BCC,0.6038,1
ISIC_0071029.jpg,BCC,SCC,0.5905,0
ISIC_0072127.jpg,BCC,BCC,0.6812,1
ISIC_0012358_downsampled.jpg,BKL,BKL,0.9976,1
ISIC_0013927_downsampled.jpg,BKL,BKL,0.982,1
ISIC_0025033.jpg,BKL,DF,0.6297,0
ISIC_0030705.jpg,BKL,BKL,0.8885,1
ISIC_0031853.jpg,BKL,BKL,0.9957,1
ISIC_0032043.jpg,BKL,NV,0.3757,0
ISIC_0055219.jpg,BKL,BKL,0.3555,1
ISIC_0056179.jpg,BKL,BCC,0.3627,0
ISIC_0065909.jpg,BKL,AK,0.4938,0
ISIC_0067913.jpg,BKL,NV,0.5241,0
ISIC_0024318.jpg,DF,DF,0.9971,1
ISIC_0024386.jpg,DF,DF,0.9975,1
ISIC_0026473.jpg,DF,DF,0.9892,1
ISIC_0031002.jpg,DF,DF,0.8936,1
ISIC_0031123.jpg,DF,DF,0.665,1
ISIC_0055308.jpg,DF,NV,0.9903,0
ISIC_0057453.jpg,DF,DF,0.9934,1
ISIC_0060129.jpg,DF,DF,0.8708,1
ISIC_0064029.jpg,DF,BCC,0.4567,0
ISIC_0072033.jpg,DF,DF,0.8123,1
ISIC_0000035_downsampled.jpg,MEL,NV,0.5785,0
ISIC_0000143_downsampled.jpg,MEL,NV,0.8481,0
ISIC_0029089.jpg,MEL,SCC,0.9275,0
ISIC_0054819.jpg,MEL,MEL,0.5867,1
ISIC_0055776.jpg,MEL,MEL,0.9774,1
ISIC_0060589.jpg,MEL,MEL,0.4232,1
ISIC_0063866.jpg,MEL,MEL,0.9345,1
ISIC_0063926.jpg,MEL,MEL,0.7817,1
ISIC_0067934.jpg,MEL,BCC,0.8835,0
ISIC_0072383.jpg,MEL,MEL,0.6234,1
ISIC_0011104.jpg,NV,NV,0.8546,1
ISIC_0013410_downsampled.jpg,NV,NV,0.4713,1
ISIC_0013801_downsampled.jpg,NV,NV,0.7965,1
ISIC_0013807_downsampled.jpg,NV,BKL,0.4521,0
ISIC_0015939_downsampled.jpg,NV,NV,0.8134,1
ISIC_0025844.jpg,NV,NV,0.9677,1
ISIC_0026641.jpg,NV,NV,0.9874,1
ISIC_0030006.jpg,NV,NV,0.82,1
ISIC_0054100.jpg,NV,NV,0.9314,1
ISIC_0055866.jpg,NV,AK,0.6788,0
ISIC_0027753.jpg,SCC,SCC,0.8671,1
ISIC_0029362.jpg,SCC,BCC,0.3072,0
ISIC_0053684.jpg,SCC,SCC,0.9914,1
ISIC_0054935.jpg,SCC,SCC,0.7821,1
ISIC_0055312.jpg,SCC,DF,0.3671,0
ISIC_0055870.jpg,SCC,SCC,0.7316,1
ISIC_0057865.jpg,SCC,SCC,0.9999,1
ISIC_0059403.jpg,SCC,AK,0.4941,0
ISIC_0063730.jpg,SCC,SCC,0.7001,1
ISIC_0071905.jpg,SCC,BCC,0.8854,0
ISIC_0027856.jpg,VASC,VASC,0.9879,1
ISIC_0030275.jpg,VASC,VASC,0.9944,1
ISIC_0031346.jpg,VASC,VASC,0.9683,1
ISIC_0031706.jpg,VASC,VASC,0.9985,1
ISIC_0033158.jpg,VASC,VASC,0.9988,1
ISIC_0054532.jpg,VASC,VASC,0.7729,1
ISIC_0059498.jpg,VASC,VASC,0.9731,1
ISIC_0071337.jpg,VASC,VASC,0.4367,1
ISIC_0071543.jpg,VASC,VASC,0.9869,1
ISIC_0072937.jpg,VASC,VASC,0.4758,1
