Imagen,Clase_Real,Clase_Predicha,Probabilidad,Acierto
ISIC_0029500.jpg,AK,AK,0.4086,1
ISIC_0053597.jpg,AK,AK,0.8107,1
ISIC_0057145.jpg,AK,BCC,0.7058,0
ISIC_0060357.jpg,AK,AK,0.854,1
ISIC_0065078.jpg,AK,AK,0.5174,1
ISIC_0065304.jpg,AK,AK,0.9606,1
ISIC_0065992.jpg,AK,AK,0.9555,1
ISIC_0067078.jpg,AK,AK,0.8994,1
ISIC_0070895.jpg,AK,BCC,0.4018,0
ISIC_0072986.jpg,AK,AK,0.6415,1
ISIC_0027858.jpg,BCC,BKL,0.4001,0
ISIC_0057748.jpg,BCC,AK,0.9211,0
ISIC_0057805.jpg,BCC,BCC,0.9321,1
ISIC_0059811.jpg,BCC,BCC,0.9607,1
ISIC_0060045.jpg,BCC,VASC,0.8601,0
ISIC_0060274.jpg,BCC,MEL,0.3768,0
ISIC_0063503.jpg,BCC,BCC,0.4696,1
ISIC_0065083.jpg,BCC,AK,0.6159,0
ISIC_0071029.jpg,BCC,MEL,0.4871,0
ISIC_0072127.jpg,BCC,BCC,0.8814,1
ISIC_0012358_downsampled.jpg,BKL,BKL,0.884,1
ISIC_0013927_downsampled.jpg,BKL,BKL,0.9648,1
ISIC_0025033.jpg,BKL,DF,0.7093,0
ISIC_0030705.jpg,BKL,BKL,0.7046,1
ISIC_0031853.jpg,BKL,BKL,0.9516,1
ISIC_0032043.jpg,BKL,BKL,0.6198,1
ISIC_0055219.jpg,BKL,MEL,0.8056,0
ISIC_0056179.jpg,BKL,BKL,0.2734,1
ISIC_0065909.jpg,BKL,BKL,0.3448,1
ISIC_0067913.jpg,BKL,DF,0.2953,0
ISIC_0024318.jpg,DF,DF,0.9985,1
ISIC_0024386.jpg,DF,DF,0.9934,1
ISIC_0026473.jpg,DF,DF,0.7341,1
ISIC_0031002.jpg,DF,DF,0.6344,1
ISIC_0031123.jpg,DF,BCC,0.3243,0
ISIC_0055308.jpg,DF,NV,0.8542,0
ISIC_0057453.jpg,DF,DF,0.9392,1
ISIC_0060129.jpg,DF,SCC,0.5579,0
ISIC_0064029.jpg,DF,BCC,0.9212,0
ISIC_0072033.jpg,DF,DF,0.6357,1
ISIC_0000035_downsampled.jpg,MEL,MEL,0.7196,1
ISIC_0000143_downsampled.jpg,MEL,MEL,0.5603,1
ISIC_0029089.jpg,MEL,SCC,0.6675,0
ISIC_0054819.jpg,MEL,MEL,0.7697,1
ISIC_0055776.jpg,MEL,MEL,0.9608,1
ISIC_0060589.jpg,MEL,MEL,0.5562,1
ISIC_0063866.jpg,MEL,MEL,0.8742,1
ISIC_0063926.jpg,MEL,VASC,0.5331,0
ISIC_0067934.jpg,MEL,MEL,0.6338,1
ISIC_0072383.jpg,MEL,MEL,0.7503,1
ISIC_0011104.jpg,NV,NV,0.5513,1
ISIC_0013410_downsampled.jpg,NV,BKL,0.433,0
ISIC_0013801_downsampled.jpg,NV,NV,0.8065,1
ISIC_0013807_downsampled.jpg,NV,BKL,0.5551,0
ISIC_0015939_downsampled.jpg,NV,BKL,0.4125,0
ISIC_0025844.jpg,NV,NV,0.9791,1
ISIC_0026641.jpg,NV,NV,0.9888,1
ISIC_0030006.jpg,NV,NV,0.4796,1
ISIC_0054100.jpg,NV,NV,0.8449,1
ISIC_0055866.jpg,NV,AK,0.4029,0
ISIC_0027753.jpg,SCC,SCC,0.8194,1
ISIC_0029362.jpg,SCC,BCC,0.3292,0
ISIC_0053684.jpg,SCC,SCC,0.9607,1
ISIC_0054935.jpg,SCC,DF,0.4042,0
ISIC_0055312.jpg,SCC,BKL,0.3266,0
ISIC_0055870.jpg,SCC,SCC,0.5538,1
ISIC_0057865.jpg,SCC,SCC,0.6293,1
ISIC_0059403.jpg,SCC,AK,0.7191,0
ISIC_0063730.jpg,SCC,SCC,0.8564,1
ISIC_0071905.jpg,SCC,BCC,0.4138,0
ISIC_0027856.jpg,VASC,VASC,0.9087,1
ISIC_0030275.jpg,VASC,VASC,0.9799,1
ISIC_0031346.jpg,VASC,VASC,0.5619,1
ISIC_0031706.jpg,VASC,VASC,0.9914,1
ISIC_0033158.jpg,VASC,VASC,0.9997,1
ISIC_0054532.jpg,VASC,VASC,0.8762,1
ISIC_0059498.jpg,VASC,VASC,0.9888,1
ISIC_0071337.jpg,VASC,MEL,0.5611,0
ISIC_0071543.jpg,VASC,VASC,0.9415,1
ISIC_0072937.jpg,VASC,VASC,0.6339,1
