Imagen,Clase_Real,Clase_Predicha,Probabilidad,Acierto
ISIC_0029500.jpg,AK,AK,0.8583,1
ISIC_0053597.jpg,AK,AK,0.923,1
ISIC_0057145.jpg,AK,BCC,0.7451,0
ISIC_0060357.jpg,AK,AK,0.9529,1
ISIC_0065078.jpg,AK,AK,0.5247,1
ISIC_0065304.jpg,AK,AK,0.9885,1
ISIC_0065992.jpg,AK,AK,0.9774,1
ISIC_0067078.jpg,AK,AK,0.8756,1
ISIC_0070895.jpg,AK,BCC,0.4825,0
ISIC_0072986.jpg,AK,AK,0.9775,1
ISIC_0027858.jpg,BCC,SCC,0.8716,0
ISIC_0057748.jpg,BCC,AK,0.5148,0
ISIC_0057805.jpg,BCC,BCC,0.9735,1
ISIC_0059811.jpg,BCC,BCC,0.9674,1
ISIC_0060045.jpg,BCC,VASC,0.998,0
ISIC_0060274.jpg,BCC,BCC,0.3172,1
ISIC_0063503.jpg,BCC,BCC,0.4969,1
ISIC_0065083.jpg,BCC,AK,0.8633,0
ISIC_0071029.jpg,BCC,BCC,0.594,1
ISIC_0072127.jpg,BCC,BCC,0.5936,1
ISIC_0012358_downsampled.jpg,BKL,BKL,0.9657,1
ISIC_0013927_downsampled.jpg,BKL,BKL,0.9978,1
ISIC_0025033.jpg,BKL,DF,0.7267,0
ISIC_0030705.jpg,BKL,BKL,0.9256,1
ISIC_0031853.jpg,BKL,BKL,0.8914,1
ISIC_0032043.jpg,BKL,BKL,0.8371,1
ISIC_0055219.jpg,BKL,BCC,0.4789,0
ISIC_0056179.jpg,BKL,DF,0.4115,0
ISIC_0065909.jpg,BKL,AK,0.5832,0
ISIC_0067913.jpg,BKL,DF,0.8409,0
ISIC_0024318.jpg,DF,DF,0.9999,1
ISIC_0024386.jpg,DF,DF,0.9999,1
ISIC_0026473.jpg,DF,DF,0.9938,1
ISIC_0031002.jpg,DF,DF,0.5847,1
ISIC_0031123.jpg,DF,DF,0.6277,1
ISIC_0055308.jpg,DF,NV,0.7358,0
ISIC_0057453.jpg,DF,DF,0.9985,1
ISIC_0060129.jpg,DF,DF,0.6229,1
ISIC_0064029.jpg,DF,DF,0.9031,1
ISIC_0072033.jpg,DF,DF,0.9763,1
ISIC_0000035_downsampled.jpg,MEL,MEL,0.9867,1
ISIC_0000143_downsampled.jpg,MEL,NV,0.9649,0
ISIC_0029089.jpg,MEL,SCC,0.5355,0
ISIC_0054819.jpg,MEL,MEL,0.9106,1
ISIC_0055776.jpg,MEL,MEL,0.9989,1
ISIC_0060589.jpg,MEL,MEL,0.3815,1
ISIC_0063866.jpg,MEL,MEL,0.9846,1
ISIC_0063926.jpg,MEL,MEL,0.7863,1
ISIC_0067934.jpg,MEL,MEL,0.834,1
ISIC_0072383.jpg,MEL,MEL,0.366,1
ISIC_0011104.jpg,NV,MEL,0.5762,0
ISIC_0013410_downsampled.jpg,NV,NV,0.4972,1
ISIC_0013801_downsampled.jpg,NV,NV,0.9683,1
ISIC_0013807_downsampled.jpg,NV,BKL,0.8228,0
ISIC_0015939_downsampled.jpg,NV,BKL,0.4758,0
ISIC_0025844.jpg,NV,NV,0.8251,1
ISIC_0026641.jpg,NV,NV,0.9907,1
ISIC_0030006.jpg,NV,NV,0.6612,1
ISIC_0054100.jpg,NV,NV,0.88,1
ISIC_0055866.jpg,NV,AK,0.555,0
ISIC_0027753.jpg,SCC,SCC,0.815,1
ISIC_0029362.jpg,SCC,AK,0.7308,0
ISIC_0053684.jpg,SCC,SCC,0.9642,1
ISIC_0054935.jpg,SCC,SCC,0.4683,1
ISIC_0055312.jpg,SCC,BKL,0.4324,0
ISIC_0055870.jpg,SCC,SCC,0.8848,1
ISIC_0057865.jpg,SCC,SCC,0.9129,1
ISIC_0059403.jpg,SCC,DF,0.5635,0
ISIC_0063730.jpg,SCC,SCC,0.9534,1
ISIC_0071905.jpg,SCC,SCC,0.6775,1
ISIC_0027856.jpg,VASC,VASC,0.983,1
ISIC_0030275.jpg,VASC,VASC,0.9991,1
ISIC_0031346.jpg,VASC,VASC,0.3017,1
ISIC_0031706.jpg,VASC,VASC,0.9993,1
ISIC_0033158.jpg,VASC,VASC,0.9992,1
ISIC_0054532.jpg,VASC,VASC,0.9965,1
ISIC_0059498.jpg,VASC,VASC,0.9952,1
ISIC_0071337.jpg,VASC,MEL,0.839,0
ISIC_0071543.jpg,VASC,VASC,0.8533,1
ISIC_0072937.jpg,VASC,VASC,0.3701,1
