epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.591,2.05817,0.2625,0.9375,1.88669,0.000272113,0.000272113,0.000272113
2,118.467,1.69317,0.525,0.9875,1.36279,0.000513495,0.000513495,0.000513495
3,176.331,1.36659,0.5625,0.975,1.14588,0.000718224,0.000718224,0.000718224
4,233.203,1.15424,0.6625,0.975,1.07451,0.000668066,0.000668066,0.000668066
5,290.45,0.98104,0.6625,0.975,0.92344,0.000613088,0.000613088,0.000613088
6,347.139,0.83751,0.6625,0.975,0.93031,0.00055811,0.00055811,0.00055811
7,404.15,0.77218,0.6875,1,1.02611,0.000503132,0.000503132,0.000503132
8,460.492,0.70474,0.6375,0.9875,0.98771,0.000448154,0.000448154,0.000448154
9,516.139,0.61378,0.7,1,1.02304,0.000393176,0.000393176,0.000393176
10,572.489,0.56435,0.6375,0.9875,1.047,0.000338198,0.000338198,0.000338198
11,628.029,0.48302,0.675,0.9875,1.06398,0.00028322,0.00028322,0.00028322
12,682.754,0.39464,0.6625,0.9875,1.08484,0.000228242,0.000228242,0.000228242
13,738.109,0.38601,0.6625,0.9875,1.0659,0.000173264,0.000173264,0.000173264
14,793.947,0.33768,0.6625,0.9875,1.13489,0.000118286,0.000118286,0.000118286
15,849.74,0.31934,0.675,0.9875,1.0287,6.3308e-05,6.3308e-05,6.3308e-05
