epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5132,2.05595,0.1875,0.9,1.88678,0.000272113,0.000272113,0.000272113
2,34.6276,1.77017,0.55,0.9625,1.34095,0.000513495,0.000513495,0.000513495
3,51.8281,1.46576,0.525,0.925,1.40732,0.000718224,0.000718224,0.000718224
4,68.6989,1.33036,0.55,0.9625,1.25354,0.000668066,0.000668066,0.000668066
5,85.7158,1.23752,0.5625,0.9625,1.13775,0.000613088,0.000613088,0.000613088
6,103.197,1.19662,0.5875,0.9625,1.07403,0.00055811,0.00055811,0.00055811
7,120.475,1.10907,0.6625,0.95,1.09553,0.000503132,0.000503132,0.000503132
8,137.925,1.03071,0.65,0.9375,1.1402,0.000448154,0.000448154,0.000448154
9,155.552,0.99874,0.625,0.95,1.12797,0.000393176,0.000393176,0.000393176
10,173.249,0.98544,0.6125,0.95,1.10741,0.000338198,0.000338198,0.000338198
11,190.884,0.9108,0.6375,0.975,1.09147,0.00028322,0.00028322,0.00028322
12,208.509,0.91528,0.6625,0.95,1.18747,0.000228242,0.000228242,0.000228242
13,226.312,0.80344,0.6625,0.9625,1.04431,0.000173264,0.000173264,0.000173264
14,244.228,0.8444,0.6375,0.9625,1.13084,0.000118286,0.000118286,0.000118286
15,262.576,0.81913,0.6375,0.9625,1.04515,6.3308e-05,6.3308e-05,6.3308e-05
