epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.7493,2.05626,0.4,0.8625,1.82637,0.000272113,0.000272113,0.000272113
2,59.1958,1.7443,0.5,0.925,1.40324,0.000513495,0.000513495,0.000513495
3,89.2062,1.44375,0.525,0.9625,1.42282,0.000718224,0.000718224,0.000718224
4,118.716,1.24057,0.525,0.975,1.22049,0.000668066,0.000668066,0.000668066
5,148.506,1.15499,0.6125,0.95,1.08991,0.000613088,0.000613088,0.000613088
6,178.276,0.99581,0.6125,0.975,1.21025,0.00055811,0.00055811,0.00055811
7,209.353,0.88925,0.5875,0.95,1.19475,0.000503132,0.000503132,0.000503132
8,239.173,0.7709,0.675,0.9375,1.15385,0.000448154,0.000448154,0.000448154
9,269.859,0.75752,0.6,0.95,1.23927,0.000393176,0.000393176,0.000393176
10,300.222,0.68532,0.625,0.975,1.1428,0.000338198,0.000338198,0.000338198
11,329.73,0.64516,0.6375,0.9625,1.07387,0.00028322,0.00028322,0.00028322
12,359.708,0.63001,0.65,0.975,1.19999,0.000228242,0.000228242,0.000228242
13,388.938,0.52978,0.725,0.9625,1.07804,0.000173264,0.000173264,0.000173264
14,418.137,0.51687,0.65,0.9625,1.2378,0.000118286,0.000118286,0.000118286
15,447.612,0.51374,0.65,0.9625,1.15203,6.3308e-05,6.3308e-05,6.3308e-05
